ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",0.0009,"1231","Prime",77669442219.19,"Institutional",100000000,1,1,"2025-05-31",0.0446,"2025-05-30",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",0.0009,"1231","Prime",74498670485.77,"Institutional",100000000,1,1,"2025-04-30",0.0446,"2025-04-30",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",0.0009,"1231","Prime",72311591000.4,"Institutional",100000000,1,1,"2025-03-31",0.045,"2025-03-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",0.0009,"1231","Prime",70935208039.93,"Institutional",100000000,1,1,"2025-02-28",0.045,"2025-02-28",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",0.0009,"1231","Prime",71514858300.69,"Institutional",100000000,1,1,"2025-01-31",0.0454,"2025-01-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",68070930006.36,"Institutional",100000000,1,1,"2024-12-31",0.0463,"2024-12-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",70727484461.92,"Institutional",100000000,1,1,"2024-11-30",0.0479,"2024-11-29",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",73049964230.57,"Institutional",100000000,1,1,"2024-10-31",0.0501,"2024-10-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",70232751616.27,"Institutional",100000000,1,1,"2024-09-30",0.0505,"2024-09-30",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",72248016696.49,"Institutional",100000000,1,1,"2024-08-31",0.0545,"2024-08-30",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",71286178424.76,"Institutional",100000000,1,1,"2024-07-31",0.0545,"2024-07-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",66762108177.15,"Institutional",100000000,1,1,"2024-06-30",0.0548,"2024-06-28",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",66946481278.57,"Institutional",100000000,1,1,"2024-05-31",0.0549,"2024-05-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",65637130206.5,"Institutional",100000000,1,1,"2024-04-30",0.0549,"2024-04-30",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",64174996434.24,"Institutional",100000000,1,1,"2024-03-31",0.055,"2024-03-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",68736196586.65,"Institutional",100000000,1,1,"2024-02-29",0.055,"2024-02-29",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",68462122643.89,"Institutional",100000000,1,1,"2024-01-31",0.0551,"2024-01-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",61937792031.93,"Institutional",100000000,1,1,"2023-12-31",0.0554,"2023-12-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",66191490102.87,"Institutional",100000000,1,1,"2023-11-30",0.0554,"2023-11-30",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",62022626627.6,"Institutional",100000000,1,1,"2023-10-31",0.0554,"2023-10-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",65360445766.92,"Institutional",100000000,1,1,"2023-09-30",0.0554,"2023-09-30",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",71840333523.7,"Institutional",100000000,1,1,"2023-08-31",0.0552,"2023-08-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",74449857936.48,"Institutional",100000000,1,1,"2023-07-31",0.0542,"2023-07-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",68073824326.8,"Institutional",100000000,1,1,"2023-06-30",0.0531,"2023-06-30",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",72355279867.13,"Institutional",100000000,1,1,"2023-05-31",0.0529,"2023-05-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",70593348758.65,"Institutional",100000000,1,1,"2023-04-30",0.0502,"2023-04-30",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",69842851635.49,"Institutional",100000000,1,1,"2023-03-31",0.0501,"2023-03-31",,,,,,,,,,,,,,,,,,,,,
"BISXX","parse-MFP-files.sh","Blackrock Funds Iii","Blackrock Cash Funds: Institutional","Sl Agency Shares",,"1231","Prime",73036492647.6,"Institutional",100000000,1,1,"2023-02-28",0.0481,"2023-02-28",,,,,,,,,,,,,,,,,,,,,
