ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",0.0042,"0228","SingleState",77011607.08,"Retail",1,28,28,"2026-01-31",0.0141,"2026-01-30",0,0,0,0,0,0,0,0.27058,0.31091,0,0,0,0,0,0,0.07677,0,0.34173,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",71277570.06,"Retail",1,32,32,"2025-12-31",0.0239,"2025-12-31",0,0,0,0,0,0,0,0.28047,0.27543,0,0,0,0,0,0,0.13274,0,0.31135,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",70640449.02,"Retail",1,31,31,"2025-11-30",0.0213,"2025-11-28",0,0,0,0,0,0,0,0.26387,0.29241,0,0,0,0,0,0,0.1267,0,0.31701,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",65611072.4,"Retail",1,35,35,"2025-10-31",0.0228,"2025-10-31",0,0,0,0,0,0,0,0.23487,0.31982,0,0,0,0,0,0,0.11473,0,0.33058,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",66135385.22,"Retail",1,31,31,"2025-09-30",0.0227,"2025-09-30",0,0,0,0,0,0,0,0.23905,0.29079,0,0,0,0,0,0,0.14607,0,0.32409,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",60466417.3,"Retail",1,28,28,"2025-08-31",0.0225,"2025-08-29",0,0,0,0,0,0,0,0.2391,0.29706,0,0,0,0,0,0,0.11969,0,0.34415,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",49815953.84,"Retail",1,29,29,"2025-07-31",0.0221,"2025-07-31",0,0,0,0,0,0,0,0.24321,0.31269,0,0,0,0,0,0,0.11407,0,0.33002,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",51190089.63,"Retail",1,32,32,"2025-06-30",0.0199,"2025-06-30",0,0,0,0,0,0,0,0.27727,0.27023,0,0,0,0,0,0,0.14442,0,0.30808,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",51040236.82,"Retail",1,25,25,"2025-05-31",0.0189,"2025-05-30",0,0,0,0,0,0,0,0.28336,0.28476,0,0,0,0,0,0,0.1365,0,0.29538,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",48725453.97,"Retail",1,26,27,"2025-04-30",0.026,"2025-04-30",0,0,0,0,0,0,0,0.29583,0.27937,0,0,0,0,0,0,0.14179,0,0.28302,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",72424095.28,"Retail",1,25,25,"2025-03-31",0.0233,"2025-03-31",0,0,0,0,0,0,0,0.32802,0.25183,0,0,0,0,0,0,0.14491,0,0.27525,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",75807955.91,"Retail",1,23,23,"2025-02-28",0.0155,"2025-02-28",0,0,0,0,0,0,0,0.3674,0.22825,0,0,0,0,0,0,0.14318,0,0.26117,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",79212785.96,"Retail",1,25,25,"2025-01-31",0.0188,"2025-01-31",0,0,0,0,0,0,0,0.3375,0.27454,0,0,0,0,0,0,0.15387,0,0.23409,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",74685989.09,"Retail",1,32,32,"2024-12-31",0.0294,"2024-12-31",0,0,0,0,0,0,0,0.35232,0.27501,0,0,0,0,0,0,0.13706,0,0.2356,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",66722931.81,"Retail",1,35,35,"2024-11-30",0.0233,"2024-11-29",0,0,0,0,0,0,0,0.3422,0.28134,0,0,0,0,0,0,0.13721,0,0.23924,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",48607556.65,"Retail",1,34,34,"2024-10-31",0.0265,"2024-10-31",0,0,0,0,0,0,0,0.37849,0.297,0,0,0,0,0,0,0.10796,0,0.21655,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",39633928.18,"Retail",1,32,32,"2024-09-30",0.0254,"2024-09-30",0,0,0,0,0,0,0,0.38772,0.29176,0,0,0,0,0,0,0.11505,0,0.20547,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",37975242.99,"Retail",1,35,35,"2024-08-31",0.0255,"2024-08-30",0,0,0,0,0,0,0,0.40193,0.30156,0,0,0,0,0,0,0.10347,0,0.19304,0,0,1
"FABXX","Fidelity California Municipal MM","Fidelity California Municipal Trust Ii","Fidelity California Municipal Money Market Fund","Fidelity California Municipal Money Market Fund",,"0228","SingleState",33941548.66,"Retail",1,32,32,"2024-07-31",0.0307,"2024-07-31",0,0,0,0,0,0,0,0.33188,0.35746,0,0,0,0,0,0,0.11738,0,0.19328,0,0,1
