ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"FAWXX","Fidelity New York Municipal MM","Fidelity New York Municipal Trust Ii","Fidelity New York Municipal Money Market Fund","Fidelity New York Municipal Money Market Fund",0.0042,"0131","SingleState",76701951.58,"Retail",1,28,29,"2026-01-31",0.0155,"2026-01-30",0,0,0,0,0,0,0,0.48712,0.14265,0,0,0,0,0,0,0.08303,0,0.2872,0,0,1
"FAWXX","Fidelity New York Municipal MM","Fidelity New York Municipal Trust Ii","Fidelity New York Municipal Money Market Fund","Fidelity New York Municipal Money Market Fund",,"0131","SingleState",65612771.57,"Retail",1,29,29,"2025-12-31",0.0269,"2025-12-31",0,0,0,0,0,0,0,0.49555,0.12898,0,0,0,0,0,0,0.10003,0,0.27544,0,0,1
"FAWXX","Fidelity New York Municipal MM","Fidelity New York Municipal Trust Ii","Fidelity New York Municipal Money Market Fund","Fidelity New York Municipal Money Market Fund",,"0131","SingleState",61769637.86,"Retail",1,33,34,"2025-11-30",0.0242,"2025-11-28",0,0,0,0,0,0,0,0.48364,0.14513,0,0,0,0,0,0,0.08317,0,0.28806,0,0,1
"FAWXX","Fidelity New York Municipal MM","Fidelity New York Municipal Trust Ii","Fidelity New York Municipal Money Market Fund","Fidelity New York Municipal Money Market Fund",,"0131","SingleState",61023783.34,"Retail",1,32,33,"2025-10-31",0.0263,"2025-10-31",0,0,0,0,0,0,0,0.49449,0.13366,0,0,0,0,0,0,0.08445,0,0.2874,0,0,1
"FAWXX","Fidelity New York Municipal MM","Fidelity New York Municipal Trust Ii","Fidelity New York Municipal Money Market Fund","Fidelity New York Municipal Money Market Fund",,"0131","SingleState",55751635.14,"Retail",1,34,35,"2025-09-30",0.0262,"2025-09-30",0,0,0,0,0,0,0,0.50377,0.13989,0,0,0,0,0,0,0.06731,0,0.28903,0,0,1
"FAWXX","Fidelity New York Municipal MM","Fidelity New York Municipal Trust Ii","Fidelity New York Municipal Money Market Fund","Fidelity New York Municipal Money Market Fund",,"0131","SingleState",55662021.08,"Retail",1,31,32,"2025-08-31",0.0249,"2025-08-29",0,0,0,0,0,0,0,0.50082,0.14174,0,0,0,0,0,0,0.06561,0,0.29183,0,0,1
"FAWXX","Fidelity New York Municipal MM","Fidelity New York Municipal Trust Ii","Fidelity New York Municipal Money Market Fund","Fidelity New York Municipal Money Market Fund",,"0131","SingleState",53537542.3,"Retail",1,29,30,"2025-07-31",0.0236,"2025-07-31",0,0,0,0,0,0,0,0.50349,0.14445,0,0,0,0,0,0,0.08287,0,0.26919,0,0,1
"FAWXX","Fidelity New York Municipal MM","Fidelity New York Municipal Trust Ii","Fidelity New York Municipal Money Market Fund","Fidelity New York Municipal Money Market Fund",,"0131","SingleState",54589276.79,"Retail",1,31,32,"2025-06-30",0.0201,"2025-06-30",0,0,0,0,0,0,0,0.48021,0.16068,0,0,0,0,0,0,0.10151,0,0.2576,0,0,1
"FAWXX","Fidelity New York Municipal MM","Fidelity New York Municipal Trust Ii","Fidelity New York Municipal Money Market Fund","Fidelity New York Municipal Money Market Fund",,"0131","SingleState",54385258.32,"Retail",1,25,26,"2025-05-31",0.0208,"2025-05-30",0,0,0,0,0,0,0,0.44458,0.18028,0,0,0,0,0,0,0.11941,0,0.25573,0,0,1
"FAWXX","Fidelity New York Municipal MM","Fidelity New York Municipal Trust Ii","Fidelity New York Municipal Money Market Fund","Fidelity New York Municipal Money Market Fund",,"0131","SingleState",58025907.41,"Retail",1,25,26,"2025-04-30",0.0299,"2025-04-30",0,0,0,0,0,0,0,0.43952,0.17857,0,0,0,0,0,0,0.12453,0,0.25738,0,0,1
