ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO
"FFTXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Institutional Tax-free Cash Trust","Institutional Shares",0,"0731","Other Tax Exempt",1845375718.01,"Institutional",500000,6,6,"2025-02-28",0.0203,"2025-02-28",0,0,0,0,0,0,0,0.86443,0.02972,0,0,0,0,0,0,0.10585,0,0,0,0
"FFTXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Institutional Tax-free Cash Trust","Institutional Shares",0,"0731","Other Tax Exempt",1844536222.7,"Institutional",500000,6,6,"2025-01-31",0.0222,"2025-01-31",0,0,0,0,0,0,0,0.87177,0.01993,0,0,0,0,0,0,0.1083,0,0,0,0
"FFTXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Institutional Tax-free Cash Trust","Institutional Shares",0,"0731","Other Tax Exempt",1939808672,"Institutional",500000,5,5,"2024-12-31",0.0363,"2024-12-31",0,0,0,0,0,0,0,0.89217,0.01406,0,0,0,0,0,0,0.09376,0,0,0,0
"FFTXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Institutional Tax-free Cash Trust","Institutional Shares",0,"0731","Other Tax Exempt",1920360642.42,"Institutional",500000,6,6,"2024-11-29",0.0284,"2024-11-29",0,0,0,0,0,0,0,0.88212,0.01941,0,0,0,0,0,0,0.09847,0,0,0,0
"FFTXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Institutional Tax-free Cash Trust","Institutional Shares",0,"0731","Other Tax Exempt",1816271963.49,"Institutional",500000,5,5,"2024-10-31",0.0337,"2024-10-31",0,0,0,0,0,0,0,0.89053,0.02017,0,0,0,0,0,0,0.0893,0,0,0,0
"FFTXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Institutional Tax-free Cash Trust","Institutional Shares",0,"0731","Other Tax Exempt",1915714655.45,"Institutional",500000,5,5,"2024-09-30",0.0318,"2024-09-30",0,0,0,0,0,0,0,0.8917,0.02211,0,0,0,0,0,0,0.08619,0,0,0,0
"FFTXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Institutional Tax-free Cash Trust","Institutional Shares",0,"0731","Other Tax Exempt",1688837061.6,"Institutional",500000,6,6,"2024-08-30",0.0299,"2024-08-30",0,0,0,0,0,0,0,0.89799,0.02424,0,0,0,0,0,0,0.07777,0,0,0,0
"FFTXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Institutional Tax-free Cash Trust","Institutional Shares",0,"0731","Other Tax Exempt",1838199465.74,"Institutional",500000,5,5,"2024-07-31",0.0354,"2024-07-31",0,0,0,0,0,0,0,0.91039,0.02129,0,0,0,0,0,0,0.06831,0,0,0,0
"FFTXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Institutional Tax-free Cash Trust","Institutional Shares",0,"0731","Other Tax Exempt",1914430348.6,"Institutional",500000,6,6,"2024-06-28",0.0394,"2024-06-28",0,0,0,0,0,0,0,0.91443,0.02034,0,0,0,0,0,0,0.06524,0,0,0,0
"FFTXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Institutional Tax-free Cash Trust","Institutional Shares",0,"0731","O",2017617636.75,"Institutional",500000,6,6,"2024-05-31",0.0328,"2024-05-31",0,0,0,0,0,0,0,0.92497,0.0098,0,0,0,0,0,0,0.06524,0,0,0,0
