ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",0.0014,"0331","Government",173064626473.61,"Institutional",10000000,31,82,"2025-05-31",0.0422,"2025-05-30",0.1382,0,0.27122,0.03122,0,0,0,0,0,0,0,0.31373,0.22751,0,0,0,0,0,0.01813,0.44063,0
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",0.0014,"0331","Government",164955090271.95,"Institutional",10000000,24,79,"2025-04-30",0.0426,"2025-04-30",0.18613,0,0.27927,0.04013,0,0,0,0,0,0,0,0.25888,0.20913,0,0,0,0,0,0.02646,0.50553,0
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",0.0014,"0331","Government",163465751470.67,"Institutional",10000000,25,76,"2025-03-31",0.0427,"2025-03-31",0.1742,0,0.25529,0.02649,0,0,0,0,0,0,0,0.3189,0.20281,0,0,0,0,0,0.0223,0.45598,0
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",0.0014,"0331","Government",167337936083.98,"Institutional",10000000,27,82,"2025-02-28",0.0428,"2025-02-28",0.23955,0,0.26072,0.0247,0,0,0,0,0,0,0,0.24241,0.21173,0,0,0,0,0,0.02089,0.52497,0
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",0.0014,"0331","Government",157704716363.46,"Institutional",10000000,32,91,"2025-01-31",0.0431,"2025-01-31",0.31985,0,0.26308,0.02664,0,0,0,0,0,0,0,0.20683,0.1612,0,0,0,0,0,0.0224,0.60957,0
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",,"0331","Government",158317874813.84,"Institutional",10000000,31,90,"2024-12-31",0.0442,"2024-12-31",0.29517,0,0.25986,0.02665,0,0,0,0,0,0,0,0.23788,0.15907,0,0,0,0,0,0.02137,0.58168,0
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",,"0331","Government",153442966152.46,"Institutional",10000000,38,97,"2024-11-30",0.0455,"2024-11-29",0.36635,0,0.25436,0.0332,0,0,0,0,0,0,0,0.15332,0.17697,0,0,0,0,0,0.01579,0.65391,0
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",,"0331","Government",155047034456.98,"Institutional",10000000,40,100,"2024-10-31",0.0474,"2024-10-31",0.35455,0,0.24904,0.02791,0,0,0,0,0,0,0,0.21266,0.13703,0,0,0,0,0,0.01882,0.63149,0
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",,"0331","Government",165916934103.79,"Institutional",10000000,21,75,"2024-09-30",0.0487,"2024-09-30",0.26991,0,0.22205,0.00978,0,0,0,0,0,0,0,0.30086,0.17837,0,0,0,0,0,0.01904,0.50173,0
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",,"0331","Government",164178822436.98,"Institutional",10000000,25,74,"2024-08-31",0.0525,"2024-08-30",0.3031,0,0.21768,0.01497,0,0,0,0,0,0,0,0.27101,0.17736,0,0,0,0,0,0.01589,0.53574,0
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",,"0331","Government",149618705879.52,"Institutional",10000000,26,77,"2024-07-31",0.0526,"2024-07-31",0.29473,0,0.22012,0.01889,0,0,0,0,0,0,0,0.27717,0.17255,0,0,0,0,0,0.01654,0.53374,0
"FRGXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Government Portfolio","Fidelity Investments Money Market Government Portfolio - Institutional Class",,"0331","Government",145504300413.31,"Institutional",10000000,31,80,"2024-06-30",0.0525,"2024-06-28",0.29435,0,0.21602,0.01765,0,0,0,0,0,0,0,0.29602,0.17576,0,0,0,0,0,0.0002,0.52802,0
