ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"FSJXX","Fidelity New Jersey Municipal MM Premium","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Premium Class",0.003,"1130","SingleState",645565076.72,"Retail",25000,44,44,"2026-01-31",0.0167,"2026-01-30",0,0,0,0,0,0,0,0.35247,0.25616,0,0,0,0,0,0,0.133,0,0.25837,0,0,1
"FSJXX","Fidelity New Jersey Municipal MM Premium","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Premium Class",,"1130","SingleState",655563311.53,"Retail",25000,40,41,"2025-12-31",0.0261,"2025-12-31",0,0,0,0,0,0,0,0.34781,0.24826,0,0,0,0,0,0,0.14828,0,0.25565,0,0,1
"FSJXX","Fidelity New Jersey Municipal MM Premium","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Premium Class",,"1130","SingleState",655062664.3,"Retail",25000,42,43,"2025-11-30",0.0235,"2025-11-28",0,0,0,0,0,0,0,0.34373,0.25452,0,0,0,0,0,0,0.14581,0,0.25594,0,0,1
"FSJXX","Fidelity New Jersey Municipal MM Premium","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Premium Class",,"1130","SingleState",645105809.57,"Retail",25000,46,46,"2025-10-31",0.0249,"2025-10-31",0,0,0,0,0,0,0,0.35402,0.25484,0,0,0,0,0,0,0.14294,0,0.2482,0,0,1
"FSJXX","Fidelity New Jersey Municipal MM Premium","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Premium Class",,"1130","SingleState",634442121.47,"Retail",25000,42,42,"2025-09-30",0.0254,"2025-09-30",0,0,0,0,0,0,0,0.36775,0.26823,0,0,0,0,0,0,0.13526,0,0.22877,0,0,1
"FSJXX","Fidelity New Jersey Municipal MM Premium","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Premium Class",,"1130","SingleState",633125527.52,"Retail",25000,43,43,"2025-08-31",0.0249,"2025-08-29",0,0,0,0,0,0,0,0.37694,0.27732,0,0,0,0,0,0,0.13206,0,0.21368,0,0,1
"FSJXX","Fidelity New Jersey Municipal MM Premium","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Premium Class",,"1130","SingleState",634185451.25,"Retail",25000,47,47,"2025-07-31",0.0243,"2025-07-31",0,0,0,0,0,0,0,0.37138,0.27094,0,0,0,0,0,0,0.14307,0,0.21461,0,0,1
"FSJXX","Fidelity New Jersey Municipal MM Premium","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Premium Class",,"1130","SingleState",649162612.79,"Retail",25000,47,47,"2025-06-30",0.0218,"2025-06-30",0,0,0,0,0,0,0,0.36785,0.28691,0,0,0,0,0,0,0.14356,0,0.20167,0,0,1
"FSJXX","Fidelity New Jersey Municipal MM Premium","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Premium Class",,"1130","SingleState",656037774.86,"Retail",25000,46,47,"2025-05-31",0.0208,"2025-05-30",0,0,0,0,0,0,0,0.34835,0.30353,0,0,0,0,0,0,0.14585,0,0.20227,0,0,1
"FSJXX","Fidelity New Jersey Municipal MM Premium","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Premium Class",,"1130","SingleState",644911243.95,"Retail",25000,42,42,"2025-04-30",0.0287,"2025-04-30",0,0,0,0,0,0,0,0.35422,0.28859,0,0,0,0,0,0,0.14287,0,0.21432,0,0,1
