ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",0.002,"1130","SingleState",622161400.76,"Retail",1000000,44,44,"2026-01-31",0.0176,"2026-01-30",0,0,0,0,0,0,0,0.35247,0.25616,0,0,0,0,0,0,0.133,0,0.25837,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",638941988.1,"Retail",1000000,40,41,"2025-12-31",0.027,"2025-12-31",0,0,0,0,0,0,0,0.34781,0.24826,0,0,0,0,0,0,0.14828,0,0.25565,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",627459720.17,"Retail",1000000,42,43,"2025-11-30",0.0245,"2025-11-28",0,0,0,0,0,0,0,0.34373,0.25452,0,0,0,0,0,0,0.14581,0,0.25594,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",621176332.36,"Retail",1000000,46,46,"2025-10-31",0.0258,"2025-10-31",0,0,0,0,0,0,0,0.35402,0.25484,0,0,0,0,0,0,0.14294,0,0.2482,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",593592729.53,"Retail",1000000,42,42,"2025-09-30",0.0264,"2025-09-30",0,0,0,0,0,0,0,0.36775,0.26823,0,0,0,0,0,0,0.13526,0,0.22877,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",554123725.52,"Retail",1000000,43,43,"2025-08-31",0.0258,"2025-08-29",0,0,0,0,0,0,0,0.37694,0.27732,0,0,0,0,0,0,0.13206,0,0.21368,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",549156629.9,"Retail",1000000,47,47,"2025-07-31",0.0252,"2025-07-31",0,0,0,0,0,0,0,0.37138,0.27094,0,0,0,0,0,0,0.14307,0,0.21461,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",555730178.73,"Retail",1000000,47,47,"2025-06-30",0.0228,"2025-06-30",0,0,0,0,0,0,0,0.36785,0.28691,0,0,0,0,0,0,0.14356,0,0.20167,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",576995600.53,"Retail",1000000,46,47,"2025-05-31",0.0217,"2025-05-30",0,0,0,0,0,0,0,0.34835,0.30353,0,0,0,0,0,0,0.14585,0,0.20227,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",572601181.93,"Retail",1000000,42,42,"2025-04-30",0.0297,"2025-04-30",0,0,0,0,0,0,0,0.35422,0.28859,0,0,0,0,0,0,0.14287,0,0.21432,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",571493882.25,"Retail",1000000,46,46,"2025-03-31",0.0282,"2025-03-31",0,0,0,0,0,0,0,0.33806,0.26261,0,0,0,0,0,0,0.13963,0,0.25971,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",537006547.21,"Retail",1000000,53,54,"2025-02-28",0.0223,"2025-02-28",0,0,0,0,0,0,0,0.34448,0.29928,0,0,0,0,0,0,0.09102,0,0.26523,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",587327275.46,"Retail",1000000,45,45,"2025-01-31",0.0237,"2025-01-31",0,0,0,0,0,0,0,0.3352,0.28729,0,0,0,0,0,0,0.10932,0,0.26819,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",598807922.13,"Retail",1000000,45,46,"2024-12-31",0.0327,"2024-12-31",0,0,0,0,0,0,0,0.33125,0.26682,0,0,0,0,0,0,0.13552,0,0.26642,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",595763582.65,"Retail",1000000,45,46,"2024-11-30",0.0279,"2024-11-29",0,0,0,0,0,0,0,0.33236,0.2833,0,0,0,0,0,0,0.11915,0,0.26519,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",584377814.67,"Retail",1000000,44,45,"2024-10-31",0.0317,"2024-10-31",0,0,0,0,0,0,0,0.33393,0.2671,0,0,0,0,0,0,0.13757,0,0.2614,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",562232238.45,"Retail",1000000,49,49,"2024-09-30",0.0304,"2024-09-30",0,0,0,0,0,0,0,0.35477,0.27382,0,0,0,0,0,0,0.13726,0,0.23415,0,0,1
"FSKXX","Fidelity New Jersey Municipal MM Institutional Class","Fidelity Court Street Trust Ii","Fidelity New Jersey Municipal Money Market Fund","Fidelity New Jersey Municipal Money Market Fund - Institutional Class",,"1130","SingleState",552753561.68,"Retail",1000000,53,54,"2024-08-31",0.0288,"2024-08-30",0,0,0,0,0,0,0,0.33821,0.30233,0,0,0,0,0,0,0.11941,0,0.24004,0,0,1
