ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",0.0023,"0331","Muni",31222896.13,"Retail",1000000,28,28,"2025-05-31",0.0227,"2025-05-30",0,0,0,0,0,0,0,0.47279,0.1781,0,0,0,0,0,0,0.12607,0,0.22304,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",0.0023,"0331","Muni",30724066.38,"Retail",1000000,27,27,"2025-04-30",0.0323,"2025-04-30",0,0,0,0,0,0,0,0.4551,0.16669,0,0,0,0,0,0,0.15,0,0.22821,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",0.0023,"0331","Muni",28750129.89,"Retail",1000000,27,27,"2025-03-31",0.0283,"2025-03-31",0,0,0,0,0,0,0,0.47413,0.15959,0,0,0,0,0,0,0.14021,0,0.22607,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",0.0023,"0331","Muni",27354789.99,"Retail",1000000,25,25,"2025-02-28",0.0228,"2025-02-28",0,0,0,0,0,0,0,0.48002,0.15601,0,0,0,0,0,0,0.133,0,0.23097,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",0.0023,"0331","Muni",26678196.8,"Retail",1000000,28,28,"2025-01-31",0.0251,"2025-01-31",0,0,0,0,0,0,0,0.47402,0.19244,0,0,0,0,0,0,0.09125,0,0.2423,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",,"0331","Muni",27657779.31,"Retail",1000000,30,30,"2024-12-31",0.0337,"2024-12-31",0,0,0,0,0,0,0,0.44046,0.18359,0,0,0,0,0,0,0.13564,0,0.24032,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",,"0331","Muni",30339417.25,"Retail",1000000,35,35,"2024-11-30",0.0288,"2024-11-29",0,0,0,0,0,0,0,0.41849,0.20037,0,0,0,0,0,0,0.14164,0,0.2395,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",,"0331","Muni",29302736.43,"Retail",1000000,39,39,"2024-10-31",0.0325,"2024-10-31",0,0,0,0,0,0,0,0.41501,0.22477,0,0,0,0,0,0,0.13314,0,0.22708,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",,"0331","Muni",28975890.72,"Retail",1000000,34,34,"2024-09-30",0.0312,"2024-09-30",0,0,0,0,0,0,0,0.42337,0.19454,0,0,0,0,0,0,0.15584,0,0.22625,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",,"0331","Muni",27327065.91,"Retail",1000000,29,29,"2024-08-31",0.0304,"2024-08-30",0,0,0,0,0,0,0,0.42225,0.19508,0,0,0,0,0,0,0.16026,0,0.2224,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",,"0331","Muni",26770015.98,"Retail",1000000,33,33,"2024-07-31",0.0344,"2024-07-31",0,0,0,0,0,0,0,0.41087,0.25039,0,0,0,0,0,0,0.1086,0,0.23014,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Fidelity Investments Money Market Tax-exempt Portfolio","Fidelity Investments Money Market Tax Exempt Portfolio - Select Class",,"0331","Muni",29972146.69,"Retail",1000000,34,34,"2024-06-30",0.0378,"2024-06-28",0,0,0,0,0,0,0,0.43511,0.23463,0,0,0,0,0,0,0.11468,0,0.21557,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",28565607.13,"Retail",1000000,27,28,"2024-05-31",0.0328,"2024-05-31",0,0,0,0,0,0,0,0.44309,0.21987,0,0,0,0,0,0,0.1268,0,0.21024,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",25423633.21,"Retail",1000000,31,31,"2024-04-30",0.0354,"2024-04-30",0,0,0,0,0,0,0,0.45,0.22675,0,0,0,0,0,0,0.10242,0,0.22083,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",24973772.72,"Retail",1000000,24,24,"2024-03-31",0.0331,"2024-03-31",0,0,0,0,0,0,0,0.49157,0.1786,0,0,0,0,0,0,0.11471,0,0.21512,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",24282755.31,"Retail",1000000,20,20,"2024-02-29",0.0308,"2024-02-29",0,0,0,0,0,0,0,0.52695,0.15176,0,0,0,0,0,0,0.09977,0,0.22152,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",23200081.69,"Retail",1000000,20,21,"2024-01-31",0.0418,"2024-01-31",0,0,0,0,0,0,0,0.51741,0.16902,0,0,0,0,0,0,0.08657,0,0.227,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",23109280.41,"Retail",1000000,22,22,"2023-12-31",0.0388,"2023-12-31",0,0,0,0,0,0,0,0.47943,0.14524,0,0,0,0,0,0,0.15466,0,0.22067,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",21163634.61,"Retail",1000000,23,23,"2023-11-30",0.0328,"2023-11-30",0,0,0,0,0,0,0,0.40668,0.14037,0,0,0,0,0,0,0.23665,0,0.21629,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",21079090.36,"Retail",1000000,25,25,"2023-10-31",0.0382,"2023-10-31",0,0,0,0,0,0,0,0.38889,0.15022,0,0,0,0,0,0,0.23538,0,0.22552,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",21805687.76,"Retail",1000000,27,27,"2023-09-30",0.0387,"2023-09-30",0,0,0,0,0,0,0,0.40182,0.18702,0,0,0,0,0,0,0.15962,0,0.25154,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",20779906.17,"Retail",1000000,25,25,"2023-08-31",0.0399,"2023-08-31",0,0,0,0,0,0,0,0.41598,0.19758,0,0,0,0,0,0,0.11324,0,0.2732,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",14371528.86,"Retail",1000000,26,26,"2023-07-31",0.035,"2023-07-31",0,0,0,0,0,0,0,0.4073,0.20502,0,0,0,0,0,0,0.11988,0,0.2678,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",15800366.36,"Retail",1000000,27,27,"2023-06-30",0.0381,"2023-06-30",0,0,0,0,0,0,0,0.42276,0.18719,0,0,0,0,0,0,0.10943,0,0.28062,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",14547302.06,"Retail",1000000,23,23,"2023-05-31",0.0324,"2023-05-31",0,0,0,0,0,0,0,0.41385,0.17367,0,0,0,0,0,0,0.10446,0,0.30803,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",16491801.66,"Retail",1000000,17,17,"2023-04-30",0.033,"2023-04-30",0,0,0,0,0,0,0,0.45847,0.13855,0,0,0,0,0,0,0.06939,0,0.33359,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",14545598.33,"Retail",1000000,13,13,"2023-03-31",0.0394,"2023-03-31",0,0,0,0,0,0,0,0.51792,0.09848,0,0,0,0,0,0,0.07308,0,0.31051,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",13386556.08,"Retail",1000000,13,13,"2023-02-28",0.0315,"2023-02-28",0,0,0,0,0,0,0,0.49167,0.09924,0,0,0,0,0,0,0.04402,0,0.36508,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",10974859.28,"Retail",1000000,13,13,"2023-01-31",0.0154,"2023-01-31",0,0,0,0,0,0,0,0.44469,0.11891,0,0,0,0,0,0,0.06182,0,0.37458,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",9409940.8,"Retail",1000000,14,14,"2022-12-31",0.0342,"2022-12-31",0,0,0,0,0,0,0,0.47269,0.11542,0,0,0,0,0,0,0.07382,0,0.33807,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",7164089.34,"Retail",1000000,15,15,"2022-11-30",0.0174,"2022-11-30",0,0,0,0,0,0,0,0.41086,0.15555,0,0,0,0,0,0,0.0873,0,0.34629,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",5460709.92,"Retail",1000000,16,16,"2022-10-31",0.0206,"2022-10-31",0,0,0,0,0,0,0,0.40087,0.13765,0,0,0,0,0,0,0.12824,0,0.33324,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",4000738.32,"Retail",1000000,16,16,"2022-09-30",0.0193,"2022-09-30",0,0,0,0,0,0,0,0.34165,0.13074,0,0,0,0,0,0,0.10957,0,0.41804,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",3746185.68,"Retail",1000000,18,18,"2022-08-31",0.0143,"2022-08-31",0,0,0,0,0,0,0,0.32797,0.11596,0,0,0,0,0,0,0.15255,0,0.40353,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",4741954.28,"Retail",1000000,16,16,"2022-07-31",0.0078,"2022-07-31",0,0,0,0,0,0,0,0.28914,0.15258,0,0,0,0,0,0,0.11896,0,0.43932,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",3783449.01,"Retail",1000000,19,19,"2022-06-30",0.0076,"2022-06-30",0,0,0,0,0,0,0,0.30836,0.15819,0,0,0,0,0,0,0.15786,0,0.37559,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",1172240.49,"Retail",1000000,16,16,"2022-05-31",0.0059,"2022-05-31",0,0,0,0,0,0,0,0.26827,0.15906,0,0,0,0,0,0,0.16053,0,0.41214,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",1071751.6,"Retail",1000000,15,16,"2022-04-30",0.0027,"2022-04-30",0,0,0,0,0,0,0,0.26269,0.17309,0,0,0,0,0,0,0.12621,0,0.438,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",1071736.62,"Retail",1000000,20,20,"2022-03-31",0.0028,"2022-03-31",0,0,0,0,0,0,0,0.16713,0.19688,0,0,0,0,0,0,0.08507,0,0.55091,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",1071800.04,"Retail",1000000,21,21,"2022-02-28",0.0001,"2022-02-28",0,0,0,0,0,0,0,0.13241,0.19626,0,0,0,0,0,0,0.06933,0,0.602,0,0,1
"FSXXX","parse-MFP-files.sh","Fidelity Colchester Street Trust","Tax-exempt Portfolio","Select Class",,"0331","Muni",1071806.9,"Retail",1000000,21,21,"2022-01-31",0.0001,"2022-01-31",0,0,0,0,0,0,0,0.12583,0.1828,0,0,0,0,0,0,0.05378,0,0.63759,0,0,1
