ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"FZCXX","parse-MFP-files.sh","Fidelity Hereford Street Trust","Fidelity Government Money Market Fund","Fidelity Government Money Market Fund - Premium Class",0,"0430","Government",12570604786.72,"Institutional",100000,29,80,"2025-02-28",0.041,"2025-02-28",0.28149,0,0.25116,0.02365,0,0,0,0,0,0,0,0.24203,0.18085,0,0,0,0,0,0.02082,0.5563,0
"FZCXX","parse-MFP-files.sh","Fidelity Hereford Street Trust","Fidelity Government Money Market Fund","Fidelity Government Money Market Fund - Premium Class",0,"0430","Government",12277782828.88,"Institutional",100000,34,89,"2025-01-31",0.0413,"2025-01-09",0.37496,0,0.24674,0.0245,0,0,0,0,0,0,0,0.20145,0.13033,0,0,0,0,0,0.02202,0.6462,0
"FZCXX","parse-MFP-files.sh","Fidelity Hereford Street Trust","Fidelity Government Money Market Fund","Fidelity Government Money Market Fund - Premium Class",0,"0430","Government",11979922456.33,"Institutional",100000,31,84,"2024-12-31",0.0424,"2024-12-31",0.29078,0,0.23494,0.02199,0,0,0,0,0,0,0,0.24325,0.18796,0,0,0,0,0,0.02107,0.54772,0
"FZCXX","parse-MFP-files.sh","Fidelity Hereford Street Trust","Fidelity Government Money Market Fund","Fidelity Government Money Market Fund - Premium Class",0,"0430","Government",11890062544.04,"Institutional",100000,37,90,"2024-11-30",0.0436,"2024-11-29",0.35471,0,0.23032,0.02725,0,0,0,0,0,0,0,0.19834,0.17338,0,0,0,0,0,0.016,0.61228,0
"FZCXX","parse-MFP-files.sh","Fidelity Hereford Street Trust","Fidelity Government Money Market Fund","Fidelity Government Money Market Fund - Premium Class",0,"0430","Government",11680016562.99,"Institutional",100000,39,94,"2024-10-31",0.0457,"2024-10-31",0.35921,0,0.22805,0.02299,0,0,0,0,0,0,0,0.24281,0.12869,0,0,0,0,0,0.01824,0.61025,0
"FZCXX","parse-MFP-files.sh","Fidelity Hereford Street Trust","Fidelity Government Money Market Fund","Fidelity Government Money Market Fund - Premium Class",0,"0430","Government",11406128387.36,"Institutional",100000,23,79,"2024-09-30",0.047,"2024-09-30",0.31059,0,0.22685,0.01008,0,0,0,0,0,0,0,0.25722,0.17683,0,0,0,0,0,0.01843,0.54752,0
"FZCXX","parse-MFP-files.sh","Fidelity Hereford Street Trust","Fidelity Government Money Market Fund","Fidelity Government Money Market Fund - Premium Class",0,"0430","Government",11175469704.69,"Institutional",100000,28,81,"2024-08-31",0.0506,"2024-08-30",0.34328,0,0.23265,0.01603,0,0,0,0,0,0,0,0.2175,0.17461,0,0,0,0,0,0.01593,0.59196,0
"FZCXX","parse-MFP-files.sh","Fidelity Hereford Street Trust","Fidelity Government Money Market Fund","Fidelity Government Money Market Fund - Premium Class",0,"0430","Government",11175469704.69,"Institutional",100000,28,81,"2024-08-31",0.0506,"2024-08-30",0.34328,0,0.23265,0.01603,0,0,0,0,0,0,0,0.2175,0.17461,0,0,0,0,0,0.01593,0.59196,0
"FZCXX","parse-MFP-files.sh","Fidelity Hereford Street Trust","Fidelity Government Money Market Fund","Fidelity Government Money Market Fund - Premium Class",0,"0430","Government",10953004584.28,"Institutional",100000,27,77,"2024-07-31",0.0508,"2024-07-31",0.29709,0,0.21707,0.01883,0,0,0,0,0,0,0,0.26734,0.18343,0,0,0,0,0,0.01623,0.533,0
"FZCXX","parse-MFP-files.sh","Fidelity Hereford Street Trust","Fidelity Government Money Market Fund","Fidelity Government Money Market Fund - Premium Class",0,"0430","Government",10882576615.75,"Institutional",100000,31,79,"2024-06-30",0.0507,"2024-06-28",0.28936,0,0.21714,0.0173,0,0,0,0,0,0,0,0.29957,0.17643,0,0,0,0,0,0.0002,0.5238,0
"FZCXX","parse-MFP-files.sh","Fidelity Hereford Street Trust","Fidelity Government Money Market Fund","Fidelity Government Money Market Fund - Premium Class",0,"0430","Government",10882576615.75,"Institutional",100000,31,79,"2024-06-30",0.0507,"2024-06-28",0.28936,0,0.21714,0.0173,0,0,0,0,0,0,0,0.29957,0.17643,0,0,0,0,0,0.0002,0.5238,0
