ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",103462860466.2,"Institutional",5000000,41,89,"2025-02-28",0.0426,"2025-02-28",0.24148,0,0.1874,0.00945,0,0,0,0,0,0,0,0.30157,0.2601,0,0,0,0,0,0,0.43833,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",104991881403.08,"Institutional",5000000,42,94,"2025-01-31",0.0431,"2025-01-31",0.23376,0,0.20746,0.02113,0,0,0,0,0,0,0,0.32549,0.21216,0,0,0,0,0,0,0.46235,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",106190179493.58,"Institutional",5000000,31,88,"2024-12-31",0.044,"2024-12-31",0.1938,0,0.19479,0.03168,0,0,0,0,0,0,0,0.34663,0.2331,0,0,0,0,0,0,0.42026,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",99372007721.49,"Institutional",5000000,34,97,"2024-11-29",0.0455,"2024-11-29",0.23571,0,0.22487,0.03475,0,0,0,0,0,0,0,0.23194,0.27272,0,0,0,0,0,0,0.49533,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",99551594021.05,"Institutional",5000000,35,97,"2024-10-31",0.0477,"2024-10-31",0.21807,0,0.21183,0.03658,0,0,0,0,0,0,0,0.2884,0.24512,0,0,0,0,0,0,0.46648,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",100385314749.74,"Institutional",5000000,27,92,"2024-09-30",0.0484,"2024-09-30",0.20962,0,0.21089,0.03128,0,0,0,0,0,0,0,0.3161,0.23211,0,0,0,0,0,0,0.45179,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",100781244197.17,"Institutional",5000000,35,97,"2024-08-30",0.0521,"2024-08-30",0.2154,0,0.17706,0.03656,0,0,0,0,0,0,0,0.34478,0.22619,0,0,0,0,0,0,0.42903,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",99578445955.94,"Institutional",5000000,33,86,"2024-07-31",0.0524,"2024-07-31",0.15591,0,0.14691,0.03494,0,0,0,0,0,0,0,0.42104,0.2412,0,0,0,0,0,0,0.33775,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",95901195746.81,"Institutional",5000000,36,89,"2024-06-28",0.0523,"2024-06-28",0.14952,0,0.15009,0.03455,0,0,0,0,0,0,0,0.40352,0.26232,0,0,0,0,0,0,0.33416,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",95426728433.87,"Institutional",5000000,40,88,"2024-05-31",0.0523,"2024-05-31",0.14046,0.19196,0,0,0,0,0,0,0,0,0,0.41139,0.2562,0,0,0,0,0,0,0.33241,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",87418166004.15,"Institutional",5000000,37,89,"2024-04-30",0.0522,"2024-04-30",0.14145,0.18722,0,0,0,0,0,0,0,0,0,0.43025,0.24108,0,0,0,0,0,0,0.32868,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",89194761478.18,"Institutional",5000000,40,93,"2024-03-28",0.0524,"2024-03-28",0.14413,0.21537,0,0,0,0,0,0,0,0,0,0.38769,0.25281,0,0,0,0,0,0,0.3595,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",100829378934.8,"Institutional",5000000,41,97,"2024-02-29",0.0523,"2024-02-29",0.14571,0.22627,0,0,0,0,0,0,0,0,0,0.35033,0.27769,0,0,0,0,0,0,0.37199,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",101551094103.87,"Institutional",5000000,35,95,"2024-01-31",0.0526,"2024-01-31",0.1738,0.24032,0,0,0,0,0,0,0,0,0,0.2718,0.31408,0,0,0,0,0,0,0.41412,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",100377291164.55,"Institutional",5000000,34,99,"2023-12-29",0.0528,"2023-12-29",0.15903,0.23902,0,0,0,0,0,0,0,0,0,0.30593,0.29602,0,0,0,0,0,0,0.39805,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",97167938033.2,"Institutional",5000000,35,97,"2023-11-30",0.0528,"2023-11-30",0.18776,0.24418,0,0,0,0,0,0,0,0,0,0.23587,0.3322,0,0,0,0,0,0,0.43194,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",95204011107.05,"Institutional",5000000,31,91,"2023-10-31",0.0526,"2023-10-31",0.17517,0.21351,0,0,0,0,0,0,0,0,0,0.26251,0.34882,0,0,0,0,0,0,0.38868,0
"GOFXX","parse-MFP-files.sh","Federated Hermes Money Market Obligations Trust","Federated Hermes Government Obligations Fund","Premier Shares",0,"0731","Government",93843674053.07,"Institutional",5000000,27,91,"2023-09-29",0.0525,"2023-09-29",0.13319,0.20359,0,0,0,0,0,0,0,0,0,0.27843,0.38478,0,0,0,0,0,0,0.33678,0
