ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",0.002,"0930","Prime",714000043.28,"Retail",2000000,46,69,"2025-08-31",0.0426,"2025-08-29",0.01343,0,0,0,0.00251,0.2147,0.14025,0.00293,0,0.09601,0,0.09012,0.21292,0,0,0.22713,0,0,0,0.01343,0.00293
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",0.002,"0930","Prime",704242706.1,"Retail",2000000,39,67,"2025-07-31",0.0428,"2025-07-31",0.0149,0,0,0,0.00256,0.20881,0.15266,0.003,0,0.08703,0,0.11152,0.24168,0,0,0.17784,0,0,0,0.0149,0.003
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",0.002,"0930","Prime",612504502.86,"Retail",2000000,37,66,"2025-06-30",0.0429,"2025-06-30",0.01547,0,0,0,0.00666,0.22539,0.11841,0.00312,0,0.08643,0,0.03606,0.32822,0,0,0.18022,0,0,0,0.01547,0.00312
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",0.002,"0930","Prime",606853068.68,"Retail",2000000,41,73,"2025-05-31",0.0427,"2025-05-30",0.00637,0,0,0,0.00405,0.24676,0.1352,0.00317,0,0.08322,0,0.0061,0.32615,0,0,0.18899,0,0,0,0.00637,0.00317
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",0.002,"0930","Prime",728664851.42,"Retail",2000000,34,68,"2025-04-30",0.043,"2025-04-30",0.00631,0,0,0,0.035,0.22616,0.14293,0.00315,0,0.08359,0,0.00606,0.30443,0,0,0.18693,0.00545,0,0,0.00631,0.00315
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",0.002,"0930","Prime",607568596.5,"Retail",2000000,40,69,"2025-03-31",0.0432,"2025-03-31",0.01456,0,0,0,0.02536,0.21571,0.16343,0.00324,0,0.07823,0,0,0.30276,0,0,0.19113,0.00558,0,0,0.01456,0.00324
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",0.002,"0930","Prime",592340743.67,"Retail",2000000,44,70,"2025-02-28",0.0433,"2025-02-28",0.00488,0,0,0,0.0265,0.2084,0.1626,0.0034,0,0.11176,0,0.00653,0.29142,0,0,0.17867,0.00583,0,0,0.00488,0.0034
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",0.002,"0930","Prime",569752945.06,"Retail",2000000,40,66,"2025-01-31",0.0437,"2025-01-31",0.00809,0,0,0,0.02234,0.21791,0.13643,0.00352,0,0.09532,0,0,0.31924,0,0,0.19112,0.00603,0,0,0.00809,0.00352
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",568950452.22,"Retail",2000000,33,57,"2024-12-31",0.0446,"2024-12-31",0.01588,0,0,0,0.04704,0.18915,0.0536,0.00363,0,0.11505,0,0,0.36637,0,0,0.18213,0.02714,0,0,0.01588,0.00363
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",552338407.92,"Retail",2000000,37,64,"2024-11-30",0.0461,"2024-11-29",0.0137,0,0,0,0.04065,0.17408,0.14593,0.00375,0,0.12107,0,0,0.30306,0,0,0.18349,0.01428,0,0,0.0137,0.00375
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",536435978.64,"Retail",2000000,35,64,"2024-10-31",0.0483,"2024-10-31",0.0142,0,0,0,0.04541,0.15396,0.1357,0.00391,0,0.13717,0,0,0.32533,0,0,0.17861,0.00433,0,0.00139,0.0142,0.00391
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",530066075.68,"Retail",2000000,35,50,"2024-09-30",0.0489,"2024-09-30",0.01132,0,0,0,0.04397,0.14119,0.09466,0.00416,0,0.16844,0,0,0.34983,0,0,0.18495,0,0,0.00148,0.01132,0.00416
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",491442704.42,"Retail",2000000,42,55,"2024-08-31",0.0525,"2024-08-30",0.0119,0,0,0,0.03367,0.15451,0.12412,0.00439,0,0.14663,0,0,0.31463,0,0,0.2086,0,0,0.00156,0.0119,0.00439
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",486559291.46,"Retail",2000000,46,59,"2024-07-31",0.0527,"2024-07-31",0.01246,0,0.00416,0,0.03335,0.14654,0.09579,0.00462,0,0.15479,0,0,0.35188,0,0,0.19093,0.00384,0,0.00164,0.01662,0.00462
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",462488905.83,"Retail",2000000,30,45,"2024-06-30",0.0527,"2024-06-28",0.01303,0,0.00438,0,0.02764,0.16245,0.08436,0.00485,0,0.14269,0,0,0.41466,0,0,0.14173,0.00248,0,0.00172,0.01741,0.00485
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",455825209.66,"Retail",2000000,30,50,"2024-05-31",0.0529,"2024-05-31",0.01349,0.0047,0,0,0.02352,0.17563,0.10169,0.00505,0,0.13302,0,0,0.35851,0,0,0.16726,0.01534,0,0.00179,0.0182,0.00505
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",457220090.46,"Retail",2000000,34,56,"2024-04-30",0.0529,"2024-04-30",0.0156,0.00495,0,0,0.03017,0.17954,0.08207,0.00531,0,0.14674,0,0,0.36094,0,0,0.16038,0.01241,0,0.00189,0.02055,0.00531
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",472916790.85,"Retail",2000000,42,60,"2024-03-31",0.0531,"2024-03-31",0.02336,0.00504,0,0,0.03583,0.18971,0.07075,0.00541,0,0.13392,0,0,0.39187,0,0,0.13529,0.0069,0,0.00192,0.0284,0.00541
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",494803360.95,"Retail",2000000,41,62,"2024-02-29",0.0531,"2024-02-29",0.01032,0.00544,0,0,0.05619,0.20635,0.0706,0.00565,0,0.12752,0,0,0.33176,0,0,0.1668,0.01735,0,0.00201,0.01576,0.00565
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",505212865,"Retail",2000000,42,54,"2024-01-31",0.0533,"2024-01-31",0.00298,0.00575,0,0,0.0814,0.17316,0.06016,0.00597,0,0.11916,0,0,0.35618,0,0,0.17927,0.01282,0,0.00316,0.00873,0.00597
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",497796628.53,"Retail",2000000,46,54,"2023-12-31",0.0538,"2023-12-31",0.03314,0.00595,0,0,0.05231,0.16097,0.02933,0.00618,0,0.15786,0,0,0.37851,0,0,0.17248,0,0,0.00327,0.03909,0.00618
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",471078857.02,"Retail",2000000,46,57,"2023-11-30",0.0536,"2023-11-30",0.01149,0.00647,0,0,0.04977,0.16657,0.04793,0.00652,0,0.12058,0,0,0.41601,0,0,0.17121,0,0,0.00345,0.01796,0.00652
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",647497546.75,"Retail",2000000,34,48,"2023-10-31",0.0534,"2023-10-31",0.00836,0.00625,0,0,0.05264,0.16354,0.05271,0.00629,0,0.13184,0,0,0.43386,0,0,0.1434,0,0,0.0011,0.01461,0.00629
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",491160909.59,"Retail",2000000,37,55,"2023-09-30",0.0534,"2023-09-30",0.00495,0.00697,0,0,0.01532,0.18678,0.03959,0.00702,0,0.11308,0,0,0.46202,0,0,0.15611,0.00694,0,0.00122,0.01192,0.00702
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",455758136.6,"Retail",2000000,27,44,"2023-08-31",0.053,"2023-08-31",0.00528,0.00766,0,0,0.04406,0.18348,0.05372,0.00749,0,0.12212,0,0,0.44269,0,0,0.13218,0,0,0.00131,0.01294,0.00749
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",439537292.39,"Retail",2000000,24,45,"2023-07-31",0.0521,"2023-07-31",0.014,0.00798,0,0,0.00832,0.19215,0.04946,0.0078,0,0.10812,0,0,0.45578,0,0,0.14805,0.00697,0,0.00136,0.02198,0.0078
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",450119520.16,"Retail",2000000,32,52,"2023-06-30",0.0511,"2023-06-30",0.01484,0.00848,0,0,0.03445,0.19931,0.05502,0.00829,0,0.0867,0,0,0.42897,0,0,0.14662,0.01589,0,0.00145,0.02332,0.00829
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",557217870.32,"Retail",2000000,29,48,"2023-05-31",0.0506,"2023-05-31",0,0.0089,0,0,0.01997,0.19526,0.0638,0.00845,0,0.06576,0,0,0.44528,0,0,0.18298,0.00812,0,0.00147,0.0089,0.00845
"PNIXX","Blackrock Wealth Liquid Environmentally Aware Fund Institutional Shares","Blackrock Funds","Blackrock Wealth Liquid Environmentally Aware Fund","Institutional",,"0930","Prime",564383466.33,"Retail",2000000,18,32,"2023-04-30",0.048,"2023-04-30",0,0.00934,0,0,0.03913,0.17681,0.08005,0.00886,0,0.0698,0,0,0.47001,0,0,0.12813,0.01633,0,0.00154,0.00934,0.00886
