ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0.0019,"1231","SingleState",6310716437.51,"Retail",1000000,25,26,"2025-03-31",0.0246,"2025-03-31",0,0,0,0,0,0,0,0.47363,0.04617,0,0,0,0,0,0,0,0.38568,0.09452,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0.0019,"1231","SingleState",6465332995.7,"Retail",1000000,26,27,"2025-02-28",0.0194,"2025-02-28",0,0,0,0,0,0,0,0.462,0.04265,0,0,0,0,0,0,0,0.40299,0.09235,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0.0019,"1231","SingleState",6232902611.77,"Retail",1000000,29,29,"2025-01-31",0.0215,"2025-01-31",0,0,0,0,0,0,0,0.44335,0.04161,0,0,0,0,0,0,0,0.42151,0.09353,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",,"1231","SingleState",6359614144.12,"Retail",1000000,26,26,"2024-12-31",0.0294,"2024-12-31",0,0,0,0,0,0,0,0.45524,0.0414,0,0,0,0,0,0,0,0.40925,0.0941,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6442616557.77,"Retail",1000000,29,29,"2024-11-30",0.0249,"2024-11-29",0,0,0,0,0,0,0,0.46517,0.03836,0,0,0,0,0,0,0,0.40075,0.09573,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6364256658.74,"Retail",1000000,30,30,"2024-10-31",0.0277,"2024-10-31",0,0,0,0,0,0,0,0.47943,0.04115,0,0,0,0,0,0,0,0.3826,0.09682,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6405569418.12,"Retail",1000000,28,28,"2024-09-30",0.0269,"2024-09-30",0,0,0,0,0,0,0,0.49232,0.03719,0,0,0,0,0,0,0,0.37235,0.09813,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6596347289.37,"Retail",1000000,27,28,"2024-08-31",0.0286,"2024-08-30",0,0,0,0,0,0,0,0.49643,0.03717,0,0,0,0,0,0,0,0.36532,0.10108,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6363371820.9,"Retail",1000000,27,28,"2024-07-31",0.0327,"2024-07-31",0,0,0,0,0,0,0,0.44222,0.04778,0,0,0,0,0,0,0,0.40483,0.10516,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6291312140.29,"Retail",1000000,35,36,"2024-06-30",0,"2024-06-30",0,0,0,0,0,0,0,0.4564,0.05352,0,0,0,0,0,0,0,0.38838,0.10169,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6401219689.19,"Retail",1000000,25,26,"2024-05-31",0.0318,"2024-05-31",0,0,0,0,0,0,0,0.44174,0.07634,0,0,0,0,0,0,0,0.37695,0.10497,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",5967990305.68,"Retail",1000000,20,20,"2024-04-30",0.0322,"2024-04-30",0,0,0,0,0,0,0,0.44379,0.08445,0,0,0,0,0,0,0,0.34935,0.12241,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",5775526757.84,"Retail",1000000,23,23,"2024-03-31",0.0319,"2024-03-31",0,0,0,0,0,0,0,0.41137,0.06868,0,0,0,0,0,0,0,0.39503,0.12491,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",5651775401.1,"Retail",1000000,28,29,"2024-02-29",0.0286,"2024-02-29",0,0,0,0,0,0,0,0.38972,0.06685,0,0,0,0,0,0,0,0.41558,0.12785,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",5570035039.47,"Retail",1000000,25,26,"2024-01-31",0.0349,"2024-01-31",0,0,0,0,0,0,0,0.35929,0.07453,0,0,0,0,0,0,0,0.43464,0.13153,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",5515351678.27,"Retail",1000000,31,33,"2023-12-31",0.0332,"2023-12-31",0,0,0,0,0,0,0,0.37893,0.07627,0,0,0,0,0,0,0,0.4169,0.1279,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",5459150659.42,"Retail",1000000,36,37,"2023-11-30",0.0278,"2023-11-30",0,0,0,0,0,0,0,0.38044,0.08377,0,0,0,0,0,0,0,0.41318,0.12262,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",5432775661.44,"Retail",1000000,30,31,"2023-10-31",0.0296,"2023-10-31",0,0,0,0,0,0,0,0.40384,0.08318,0,0,0,0,0,0,0,0.39019,0.12279,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6070846387.52,"Retail",1000000,27,29,"2023-09-30",0.0296,"2023-09-30",0,0,0,0,0,0,0,0.44545,0.05955,0,0,0,0,0,0,0,0.3816,0.1134,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6215189981.6,"Retail",1000000,22,24,"2023-08-31",0.0308,"2023-08-31",0,0,0,0,0,0,0,0.45386,0.04146,0,0,0,0,0,0,0,0.38824,0.11644,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6504303840.82,"Retail",1000000,23,26,"2023-07-31",0.0301,"2023-07-31",0,0,0,0,0,0,0,0.46171,0.03979,0,0,0,0,0,0,0,0.37614,0.12236,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",7022670431.94,"Retail",1000000,25,27,"2023-06-30",0.0302,"2023-06-30",0,0,0,0,0,0,0,0.49231,0.03717,0,0,0,0,0,0,0,0.34767,0.12286,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6953467700.58,"Retail",1000000,15,17,"2023-05-31",0.0287,"2023-05-31",0,0,0,0,0,0,0,0.47275,0.04095,0,0,0,0,0,0,0,0.36704,0.11927,0,0,1
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6636952777.36,"Retail",1000000,15,17,"2023-04-30",0.0308,"2023-04-30",0,0.09554,0,0,0,0,0,0.41342,0.02773,0,0,0,0,0,0,0,0.33461,0.1287,0,0.09554,0.90446
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",6290039454.78,"Retail",1000000,19,21,"2023-03-31",0.0328,"2023-03-31",0.10604,0,0,0,0,0,0,0.34986,0.01939,0,0,0,0,0,0,0,0.39526,0.12945,0,0.10604,0.89396
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",5982835931.18,"Retail",1000000,16,19,"2023-02-28",0.0275,"2023-02-28",0.01149,0.11407,0,0,0,0,0,0.31944,0.02025,0,0,0,0,0,0,0,0.38531,0.14944,0,0.12556,0.87444
"SCAXX","parse-MFP-files.sh","Charles Schwab Family Of Funds","Schwab California Municipal Money Fund","Ultra Shares",0,"1231","SingleState",5810753524.61,"Retail",1000000,17,18,"2023-01-31",0.0201,"2023-01-31",0,0.14274,0,0,0,0,0,0.31005,0.02315,0,0,0,0,0,0,0,0.37017,0.1539,0,0.14274,0.85726
