ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"SIGXX","Blackrock Liquid Federal Trust Fund Stern Brothers Shares","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Stern Brothers Shares",0.0017,"1031","Government",200105198.32,"Institutional",3000000,42,81,"2025-08-31",0.0415,"2025-08-29",0.8399,0,0.0941,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SIGXX","Blackrock Liquid Federal Trust Fund Stern Brothers Shares","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Stern Brothers Shares",0.0017,"1031","Government",200106966.7,"Institutional",3000000,45,92,"2025-07-31",0.0418,"2025-07-31",0.73473,0,0.16643,0.09884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SIGXX","Blackrock Liquid Federal Trust Fund Stern Brothers Shares","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Stern Brothers Shares",0.0017,"1031","Government",200106167.4,"Institutional",3000000,54,104,"2025-06-30",0.0416,"2025-06-30",0.59747,0,0.21784,0.18469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SIGXX","Blackrock Liquid Federal Trust Fund Stern Brothers Shares","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Stern Brothers Shares",0.0017,"1031","Government",200101852.53,"Institutional",3000000,48,98,"2025-05-31",0.0417,"2025-05-30",0.66527,0,0.21711,0.11762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SIGXX","Blackrock Liquid Federal Trust Fund Stern Brothers Shares","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Stern Brothers Shares",0.0017,"1031","Government",200100983.36,"Institutional",3000000,46,105,"2025-04-30",0.0418,"2025-04-30",0.67965,0,0.18727,0.13308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SIGXX","Blackrock Liquid Federal Trust Fund Stern Brothers Shares","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Stern Brothers Shares",0.0017,"1031","Government",57141.85,"Institutional",3000000,31,95,"2025-03-31",0.0418,"2025-03-31",0.77046,0,0.17765,0.0519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SIGXX","Blackrock Liquid Federal Trust Fund Stern Brothers Shares","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Stern Brothers Shares",0.0017,"1031","Government",56958.09,"Institutional",3000000,33,93,"2025-02-28",0.042,"2025-02-28",0.7595,0,0.18049,0.06001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SIGXX","Blackrock Liquid Federal Trust Fund Stern Brothers Shares","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Stern Brothers Shares",0.0017,"1031","Government",56754.96,"Institutional",3000000,40,98,"2025-01-31",0.0422,"2025-01-31",0.80995,0,0.13583,0.05423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SIGXX","Blackrock Liquid Federal Trust Fund Stern Brothers Shares","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Stern Brothers Shares",,"1031","Government",56541.64,"Institutional",3000000,50,98,"2024-12-31",0.0431,"2024-12-31",0.84721,0,0.08325,0.06954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SIGXX","Blackrock Liquid Federal Trust Fund Stern Brothers Shares","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Stern Brothers Shares",,"1031","Government",56329.88,"Institutional",3000000,41,82,"2024-11-30",0.0449,"2024-11-29",0.84765,0,0.08502,0.06734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
