ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",0.0019,"1231","Prime",143048791695.72,"Retail",1000000,30,53,"2026-01-31",0.0367,"2026-01-30",0,0,0,0,0.00932,0.2371,0.04501,0.00684,0,0.08006,0,0.24254,0.17117,0.06599,0,0.11374,0.0184,0,0.00984,0,0.00684
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",,"1231","Prime",142002503314.16,"Retail",1000000,26,50,"2025-12-31",0.0376,"2025-12-31",0,0,0,0,0.00946,0.22453,0.04256,0.00693,0,0.07825,0,0.24361,0.20431,0.06356,0,0.11511,0.00349,0,0.00817,0,0.00693
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",,"1231","Prime",139928795580.99,"Retail",1000000,26,51,"2025-11-30",0.0398,"2025-11-28",0,0,0,0,0.00632,0.22077,0.037,0.00639,0,0.08145,0,0.24648,0.20387,0.06323,0,0.11966,0.0093,0,0.00554,0,0.00639
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",,"1231","Prime",137717471194.39,"Retail",1000000,28,53,"2025-10-31",0.0413,"2025-10-31",0,0,0,0,0.00389,0.22974,0.04004,0.00631,0,0.09604,0,0.23415,0.19351,0.06267,0,0.11551,0.01254,0,0.0056,0,0.00631
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",,"1231","Prime",136309491993.47,"Retail",1000000,26,52,"2025-09-30",0.0413,"2025-09-30",0,0,0,0,0.00261,0.22537,0.05851,0.00629,0,0.09387,0,0.23648,0.19232,0.05649,0,0.11613,0.00656,0,0.00537,0,0.00629
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",,"1231","Prime",135609335009.68,"Retail",1000000,31,54,"2025-08-31",0.043,"2025-08-29",0,0,0,0,0,0.23477,0.07819,0.00641,0,0.09761,0,0.20094,0.17301,0.05857,0,0.12923,0.01586,0,0.00541,0,0.00641
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",,"1231","Prime",133122390467.73,"Retail",1000000,27,52,"2025-07-31",0.043,"2025-07-31",0,0,0,0,0,0.24422,0.09546,0.00624,0,0.09699,0,0.19303,0.16082,0.06007,0,0.12933,0.00941,0,0.00443,0,0.00624
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",,"1231","Prime",129867978734.34,"Retail",1000000,21,51,"2025-06-30",0.0431,"2025-06-30",0,0,0,0,0,0.24239,0.09779,0.0061,0,0.09742,0,0.20445,0.16388,0.05463,0,0.1206,0.0085,0,0.00423,0,0.0061
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",,"1231","Prime",127074523348.17,"Retail",1000000,23,53,"2025-05-31",0.043,"2025-05-30",0,0,0,0,0.00028,0.24165,0.10478,0.00607,0,0.0935,0,0.18786,0.16976,0.05681,0,0.12056,0.0173,0,0.00142,0,0.00607
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",,"1231","Prime",124213380600.08,"Retail",1000000,23,52,"2025-04-30",0.0431,"2025-04-30",0,0,0,0,0.00029,0.23534,0.10157,0.00576,0,0.09129,0,0.20887,0.1467,0.05479,0,0.12959,0.0258,0,0,0,0.00576
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Value Advantage Money Fund","Ultra Shares",,"1231","Prime",128107521545.59,"Retail",1000000,26,50,"2025-03-31",0.0432,"2025-03-31",0,0,0,0,0.00028,0.22152,0.10565,0.00558,0,0.08751,0,0.22632,0.13979,0.05545,0,0.14167,0.01393,0,0.0023,0,0.00558
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",,"1231","Prime",48983239171.01,"Retail",1000000,36,64,"2020-01-31",0.0163,"2020-01-31",0,0,0,0,0.00152,0.38584,0.05503,0.00203,0,0.10332,0,0.1052,0.14151,0.03459,0,0.11927,0.02882,0,0.02286,0,0.00203
"SNAXX","Schwab Prime Advantage MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Prime Advantage Money Fund","Ultra Shares",,"1231","Prime",47176185683.63,"Retail",1000000,35,64,"2019-12-31",0.0168,"2019-12-31",0,0,0,0,0,0.36993,0.03891,0.00207,0,0.1205,0,0.15314,0.11521,0.03627,0,0.12081,0.01972,0,0.02344,0,0.00207
