ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"SWOXX","Schwab Municipal MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Ultra Shares",0.0019,"1231","Muni",12794729043.3,"Retail",1000000,33,34,"2025-06-30",0.0244,"2025-06-30",0,0,0,0,0,0,0,0.51178,0.09677,0,0,0,0,0,0,0,0.21784,0.17361,0,0,1
"SWOXX","Schwab Municipal MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Ultra Shares",0.0019,"1231","Muni",13079352518.08,"Retail",1000000,27,29,"2025-05-31",0.0237,"2025-05-30",0,0,0,0,0,0,0,0.50402,0.11914,0,0,0,0,0,0,0,0.21026,0.16658,0,0,1
"SWOXX","Schwab Municipal MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Ultra Shares",0.0019,"1231","Muni",13697830208.73,"Retail",1000000,24,25,"2025-04-30",0.0318,"2025-04-30",0,0,0,0,0,0,0,0.54665,0.10639,0,0,0,0,0,0,0,0.19587,0.15109,0,0,1
"SWOXX","Schwab Municipal MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Ultra Shares",0.0019,"1231","Muni",12926766301.98,"Retail",1000000,25,26,"2025-03-31",0.0291,"2025-03-31",0,0,0,0,0,0,0,0.55148,0.09251,0,0,0,0,0,0,0,0.19932,0.15668,0,0,1
"SWOXX","Schwab Municipal MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Ultra Shares",0.0019,"1231","Muni",12404240464.88,"Retail",1000000,26,27,"2025-02-28",0.0212,"2025-02-28",0,0,0,0,0,0,0,0.56277,0.08913,0,0,0,0,0,0,0,0.19414,0.15396,0,0,1
"SWOXX","Schwab Municipal MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Ultra Shares",0.0019,"1231","Muni",12359041109.89,"Retail",1000000,24,25,"2025-01-31",0.0234,"2025-01-31",0,0,0,0,0,0,0,0.57921,0.09463,0,0,0,0,0,0,0,0.17881,0.14735,0,0,1
"SWOXX","Schwab Municipal MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Ultra Shares",,"1231","Muni",13049595521.47,"Retail",1000000,26,28,"2024-12-31",0.0344,"2024-12-31",0,0,0,0,0,0,0,0.59368,0.08943,0,0,0,0,0,0,0,0.17897,0.13792,0,0,1
"SWOXX","Schwab Municipal MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Ultra Shares",,"1231","Muni",13111118153.6,"Retail",1000000,29,31,"2024-11-30",0.0291,"2024-11-29",0,0,0,0,0,0,0,0.57463,0.09069,0,0,0,0,0,0,0,0.19314,0.14153,0,0,1
"SWOXX","Schwab Municipal MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Ultra Shares",,"1231","Muni",13372799788.56,"Retail",1000000,30,31,"2024-10-31",0.033,"2024-10-31",0,0,0,0,0,0,0,0.59897,0.08528,0,0,0,0,0,0,0,0.18001,0.13575,0,0,1
"SWOXX","Schwab Municipal MM Ultra Shares","Charles Schwab Family Of Funds","Schwab Municipal Money Fund","Ultra Shares",,"1231","Muni",13245300812.74,"Retail",1000000,29,30,"2024-09-30",0.0317,"2024-09-30",0,0,0,0,0,0,0,0.61023,0.07309,0,0,0,0,0,0,0,0.17485,0.14183,0,0,1
