ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"SWWXX","Schwab Amt Tax-free MM Investor","Charles Schwab Family Of Funds","Schwab Amt Tax-free Money Fund","Investor Shares",0.0034,"1231","Muni",1228773309.95,"Retail",0,30,33,"2026-01-31",0.0198,"2026-01-30",0,0,0,0,0,0,0,0.27772,0.11525,0,0,0,0,0,0,0,0.22856,0.37847,0,0,1
"SWWXX","Schwab Amt Tax-free MM Investor","Charles Schwab Family Of Funds","Schwab Amt Tax-free Money Fund","Investor Shares",,"1231","Muni",1320416200.35,"Retail",0,29,32,"2025-12-31",0.0272,"2025-12-31",0.00984,0,0,0,0,0,0,0.36883,0.09876,0,0,0,0,0,0,0,0.19712,0.32546,0,0.00984,0.99016
"SWWXX","Schwab Amt Tax-free MM Investor","Charles Schwab Family Of Funds","Schwab Amt Tax-free Money Fund","Investor Shares",,"1231","Muni",1229531535.94,"Retail",0,33,35,"2025-11-30",0.0248,"2025-11-28",0,0,0,0,0,0,0,0.36569,0.10227,0,0,0,0,0,0,0,0.20933,0.3227,0,0,1
"SWWXX","Schwab Amt Tax-free MM Investor","Charles Schwab Family Of Funds","Schwab Amt Tax-free Money Fund","Investor Shares",,"1231","Muni",1217071008.21,"Retail",0,31,34,"2025-10-31",0.0271,"2025-10-31",0,0,0,0,0,0,0,0.33373,0.09345,0,0,0,0,0,0,0,0.21989,0.35293,0,0,1
"SWWXX","Schwab Amt Tax-free MM Investor","Charles Schwab Family Of Funds","Schwab Amt Tax-free Money Fund","Investor Shares",,"1231","Muni",1203883227.82,"Retail",0,29,31,"2025-09-30",0.0265,"2025-09-30",0,0,0,0,0,0,0,0.37048,0.0818,0,0,0,0,0,0,0,0.2105,0.33722,0,0,1
"SWWXX","Schwab Amt Tax-free MM Investor","Charles Schwab Family Of Funds","Schwab Amt Tax-free Money Fund","Investor Shares",,"1231","Muni",1198343878.78,"Retail",0,32,34,"2025-08-31",0.0262,"2025-08-29",0,0,0,0,0,0,0,0.33349,0.07029,0,0,0,0,0,0,0,0.25962,0.33661,0,0,1
"SWWXX","Schwab Amt Tax-free MM Investor","Charles Schwab Family Of Funds","Schwab Amt Tax-free Money Fund","Investor Shares",,"1231","Muni",1202803464.11,"Retail",0,31,33,"2025-07-31",0.0253,"2025-07-31",0,0,0,0,0,0,0,0.35739,0.08762,0,0,0,0,0,0,0,0.24637,0.30863,0,0,1
"SWWXX","Schwab Amt Tax-free MM Investor","Charles Schwab Family Of Funds","Schwab Amt Tax-free Money Fund","Investor Shares",,"1231","Muni",1223488421.04,"Retail",0,32,34,"2025-06-30",0.0232,"2025-06-30",0,0,0,0,0,0,0,0.32727,0.09965,0,0,0,0,0,0,0,0.26192,0.31116,0,0,1
"SWWXX","Schwab Amt Tax-free MM Investor","Charles Schwab Family Of Funds","Schwab Amt Tax-free Money Fund","Investor Shares",,"1231","Muni",1241893550.93,"Retail",0,28,31,"2025-05-31",0.0223,"2025-05-30",0,0,0,0,0,0,0,0.32699,0.11809,0,0,0,0,0,0,0,0.25174,0.30319,0,0,1
"SWWXX","Schwab Amt Tax-free MM Investor","Charles Schwab Family Of Funds","Schwab Amt Tax-free Money Fund","Investor Shares",,"1231","Muni",1280291022.19,"Retail",0,32,38,"2020-01-31",0.0069,"2020-01-31",0,0,0,0,0,0,0,0.29533,0.15012,0,0,0,0,0,0,0,0.17935,0.3752,0,0,1
"SWWXX","Schwab Amt Tax-free MM Investor","Charles Schwab Family Of Funds","Schwab Amt Tax-free Money Fund","Investor Shares",,"1231","Muni",1266369113.07,"Retail",0,34,37,"2019-12-31",0.0126,"2019-12-31",0,0,0,0,0,0,0,0.30463,0.15354,0,0,0,0,0,0,0,0.16113,0.3807,0,0,1
