ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital",0.0023,"1031","Prime",18703439.62,"Institutional",50000,44,73,"2026-02-28",0.0365,"2026-02-27",0.0109,0,0,0,0.00569,0.18193,0.09684,0.00359,0,0.15501,0,0.10724,0.09602,0.15626,0.00095,0.18331,0,0.00226,0,0.0109,0.00585
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital",0.0023,"1031","Prime",14326877.63,"Institutional",50000,39,63,"2026-01-31",0.0367,"2026-01-30",0.01308,0,0,0,0.00278,0.19812,0.06011,0.00365,0,0.12576,0,0.12802,0.11474,0.15604,0.00096,0.19248,0,0.00229,0.00196,0.01308,0.00594
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital",,"1031","Prime",12714601.82,"Institutional",50000,36,60,"2025-12-31",0.0374,"2025-12-31",0.00205,0,0,0,0.00478,0.19927,0.0407,0.00365,0,0.13094,0,0.14091,0.1282,0.15649,0.00096,0.1878,0,0.0023,0.00196,0.00205,0.00595
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital",,"1031","Prime",13700999.84,"Institutional",50000,40,70,"2025-11-30",0.0393,"2025-11-28",0.01002,0,0,0,0.00732,0.20652,0.04031,0.00387,0,0.14159,0,0.14231,0.1155,0.14801,0.00097,0.1793,0,0.00231,0.00197,0.01002,0.00618
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital",,"1031","Prime",10508722.65,"Institutional",50000,37,65,"2025-10-31",0.0411,"2025-10-31",0.00199,0,0,0,0.00742,0.20389,0.0552,0.00379,0,0.14173,0,0.10827,0.15167,0.1428,0.00094,0.17813,0,0.00225,0.00192,0.00199,0.00604
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital",,"1031","Prime",5173709.67,"Institutional",50000,40,62,"2025-09-30",0.0409,"2025-09-30",0.00605,0,0,0,0.0074,0.18942,0.08809,0.0038,0,0.12644,0,0.07652,0.1892,0.12515,0.00094,0.18282,0,0.00225,0.00192,0.00605,0.00605
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital",,"1031","Prime",1618736.73,"Institutional",50000,46,68,"2025-08-31",0.0426,"2025-08-29",0.01088,0,0,0,0.0077,0.20202,0.12908,0.00401,0,0.1332,0,0.07526,0.12317,0.12816,0.00098,0.18117,0,0.00235,0.00201,0.01088,0.00636
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital",,"1031","Prime",2011655.73,"Institutional",50000,39,69,"2025-07-31",0.0428,"2025-07-31",0.01587,0,0,0,0.00808,0.2132,0.15541,0.00422,0,0.12992,0,0.05772,0.11619,0.12028,0.00104,0.17349,0,0.00248,0.00211,0.01587,0.00669
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital",,"1031","Prime",475356.94,"Institutional",50000,35,62,"2025-06-30",0.0429,"2025-06-30",0.01595,0,0,0,0.00745,0.21021,0.12929,0.00425,0,0.11615,0,0.0742,0.1407,0.12214,0,0.17513,0,0.00239,0.00213,0.01595,0.00664
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital",,"1031","Prime",50100.24,"Institutional",50000,39,70,"2025-05-31",0.0432,"2025-05-30",0.0068,0,0,0,0.00338,0.23132,0.19132,0.00455,0,0.10773,0,0.03916,0.09624,0.12555,0,0.1893,0,0.00246,0.00219,0.0068,0.00701
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital",,"1031","Prime",50001.8,"Institutional",50000,34,66,"2025-04-30",0.0434,"2025-04-30",0.0099,0,0,0,0.01017,0.21997,0.20661,0.00461,0,0.13084,0,0.04124,0.07236,0.12143,0,0.17817,0,0.00249,0.00221,0.0099,0.0071
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital Shares",,"1031","Prime",0,"Institutional",50000,47,69,"2021-04-30",0,"2021-04-30",0.00543,0.00104,0,0,0.00695,0.2636,0.25498,0,0,0.0909,0,0.02989,0.01098,0.11269,0,0.1966,0,0.02445,0.0025,0.00647,0.02445
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital Shares",,"1031","Prime",0,"Institutional",50000,42,67,"2021-03-31",0,"2021-03-31",0.03782,0.00093,0,0,0.0062,0.25415,0.19852,0,0,0.10993,0,0.05458,0.04093,0.09806,0,0.17737,0.00087,0.0184,0.00223,0.03875,0.0184
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital Shares",,"1031","Prime",0,"Institutional",50000,48,71,"2021-02-28",0,"2021-02-28",0.06255,0.00088,0,0,0.01764,0.22285,0.21975,0,0,0.10957,0,0.02822,0.03575,0.08826,0,0.19594,0,0.01646,0.00212,0.06343,0.01646
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital Shares",,"1031","Prime",0,"Institutional",50000,47,69,"2021-01-31",0,"2021-01-31",0.0701,0.00083,0,0,0.01215,0.22033,0.22643,0,0,0.10877,0,0.02308,0.04926,0.08736,0,0.18533999999999998,0,0.01435,0.002,0.07093,0.01435
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital Shares",,"1031","Prime",0,"Institutional",50000,44,69,"2020-12-31",0,"2020-12-31",0.14409,0.00423,0,0,0.01144,0.24877,0.15204,0,0,0.0828,0,0.02173,0.08502,0.08298,0,0.14778,0,0.01358,0.00554,0.14832,0.01358
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital Shares",,"1031","Prime",0,"Institutional",50000,41,67,"2020-11-30",0,"2020-11-30",0.10135,0.00072,0,0,0.01274,0.23726,0.26563,0,0,0.06746,0,0.02005,0.03923,0.07429,0,0.16542,0,0.01249,0.00336,0.10207,0.01249
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital Shares",,"1031","Prime",0,"Institutional",50000,42,70,"2020-10-31",0,"2020-10-31",0.11282,0.00072,0,0,0.0227,0.19659,0.30493,0,0,0.04911,0,0.01986,0.02817,0.07396,0,0.17584,0,0.01195,0.00334,0.11353,0.01195
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital Shares",,"1031","Prime",0,"Institutional",50000,39,72,"2020-09-30",0,"2020-09-30",0.09003,0.00068,0,0,0.03635,0.22017,0.20388,0,0,0.08653,0,0.01896,0.10593,0.0727,0,0.15102,0,0.01055,0.00319,0.09071,0.01055
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital Shares",,"1031","Prime",0,"Institutional",50000,46,78,"2020-08-31",0,"2020-08-31",0.06054,0.00067,0,0,0.05277,0.23813,0.22248,0,0,0.08415,0,0.01005,0.0962,0.07322,0,0.15084,0,0.00784,0.00311,0.0612,0.00784
"TPCXX","Blackrock Liquidity Funds Tempcash Capital Shares","Blackrock Liquidity Funds","Tempcash","Capital Shares",,"1031","Prime",0,"Institutional",50000,53,78,"2020-07-31",0,"2020-07-31",0.06223,0.00069,0,0,0.04037,0.23953,0.19735,0,0,0.08635,0,0.01033,0.13181,0.07966,0,0.14552,0,0.00229,0.00387,0.06292,0.00229
