ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",121868930690.46,"Institutional",3000,27,58,"2025-02-28",0.0427,"2025-02-28",0.37013,0,0.25557,0.08038,0,0,0,0,0,0,0,0.29392,0,0,0,0,0,0,0,0.70608
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",120350621476.13,"Institutional",3000,25,55,"2025-01-31",0.043,"2025-01-31",0.33008,0,0.2641,0.11403,0,0,0,0,0,0,0,0.29179,0,0,0,0,0,0,0,0.70821
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",120041401003.01,"Institutional",3000,26,54,"2024-12-31",0.0442,"2024-12-31",0.34719,0,0.2732,0.10818,0,0,0,0,0,0,0,0.27143,0,0,0,0,0,0,0,0.72857
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",119611883009.77,"Institutional",3000,30,54,"2024-11-30",0.0459,"2024-11-29",0.40335,0,0.24839,0.09119,0,0,0,0,0,0,0,0.25707,0,0,0,0,0,0,0,0.74293
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",119368065711.2,"Institutional",3000,39,65,"2024-10-31",0.0476,"2024-10-31",0.40862,0,0.2766,0.05932,0,0,0,0,0,0,0,0.25546,0,0,0,0,0,0,0,0.74454
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",119584080126.08,"Institutional",3000,31,58,"2024-09-30",0.0488,"2024-09-30",0.31102,0,0.2823,0.04303,0,0,0,0,0,0,0,0.36365,0,0,0,0,0,0,0,0.63635
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",119591882458.7,"Institutional",3000,23,56,"2024-08-31",0.0526,"2024-08-30",0.27513,0,0.2689,0.0775,0,0,0,0,0,0,0,0.37847,0,0,0,0,0,0,0,0.62153
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",118670918351.42,"Institutional",3000,12,52,"2024-07-31",0.053,"2024-07-31",0.24761,0,0.28915,0.07407,0,0,0,0,0,0,0,0.38917,0,0,0,0,0,0,0,0.61083
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",117758899041.92,"Institutional",3000,13,43,"2024-06-30",0,"2024-06-30",0.27528,0,0.28221,0.07804,0,0,0,0,0,0,0,0.36447,0,0,0,0,0,0,0,0.63553
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",117474025893.02,"Institutional",3000,14,43,"2024-05-31",0.0529,"2024-05-31",0.2628,0.35397,0,0,0,0,0,0,0,0,0,0.38323,0,0,0,0,0,0,0,0.61677
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",117105506533.99,"Institutional",3000,11,40,"2024-04-30",0.0529,"2024-04-30",0.15419,0.34181,0,0,0,0,0,0,0,0,0,0.504,0,0,0,0,0,0,0,0.496
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",117365991310.5,"Institutional",3000,19,51,"2024-03-31",0.0529,"2024-03-31",0.24591,0.3359,0,0,0,0,0,0,0,0,0,0.41819,0,0,0,0,0,0,0,0.58181
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",117057110875.29,"Institutional",3000,22,52,"2024-02-29",0.0529,"2024-02-29",0.32363,0.35665,0,0,0,0,0,0,0,0,0,0.31971,0,0,0,0,0,0,0,0.68029
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",116451642403.12,"Institutional",3000,18,48,"2024-01-31",0.053,"2024-01-31",0.31024,0.36298,0,0,0,0,0,0,0,0,0,0.32678,0,0,0,0,0,0,0,0.67322
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",114625917738.99,"Institutional",3000,28,48,"2023-12-31",0.0532,"2023-12-31",0.35301,0.30375,0,0,0,0,0,0,0,0,0,0.34324,0,0,0,0,0,0,0,0.65676
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",112539646855.84,"Institutional",3000,29,53,"2023-11-30",0.0532,"2023-11-30",0.34506,0.32815,0,0,0,0,0,0,0,0,0,0.32679,0,0,0,0,0,0,0,0.67321
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",112108167578.13,"Institutional",3000,20,49,"2023-10-31",0.0531,"2023-10-31",0.29449,0.36424,0,0,0,0,0,0,0,0,0,0.34127,0,0,0,0,0,0,0,0.65873
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",109848553997.88,"Institutional",3000,21,44,"2023-09-30",0.053,"2023-09-30",0.2787,0.34811,0,0,0,0,0,0,0,0,0,0.37319,0,0,0,0,0,0,0,0.62681
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",108547734877.11,"Institutional",3000,23,51,"2023-08-31",0.0529,"2023-08-31",0.27735,0.331,0,0,0,0,0,0,0,0,0,0.39165,0,0,0,0,0,0,0,0.60835
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",106746789463.03,"Institutional",3000,21,48,"2023-07-31",0.0522,"2023-07-31",0.2261,0.29944,0,0,0,0,0,0,0,0,0,0.47446,0,0,0,0,0,0,0,0.52554
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",105703416657.39,"Institutional",3000,15,48,"2023-06-30",0.0506,"2023-06-30",0.09539,0.32282,0,0,0,0,0,0,0,0,0,0.58179,0,0,0,0,0,0,0,0.41821
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",105367763579.43,"Institutional",3000,13,56,"2023-05-31",0.0505,"2023-05-31",0.02526,0.37322,0,0,0,0,0,0,0,0,0,0.60152,0,0,0,0,0,0,0,0.39848
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",103042212208.63,"Institutional",3000,11,51,"2023-04-30",0.0479,"2023-04-30",0.0192,0.35212,0,0,0,0,0,0,0,0,0,0.62868,0,0,0,0,0,0,0,0.37132
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",100693411544.8,"Institutional",3000,14,54,"2023-03-31",0.0478,"2023-03-31",0.02256,0.41742,0,0,0,0,0,0,0,0,0,0.56002,0,0,0,0,0,0,0,0.43998
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",98048147162.06,"Institutional",3000,13,41,"2023-02-28",0.0453,"2023-02-28",0.04807,0.38581,0,0,0,0,0,0,0,0,0,0.56613,0,0,0,0,0,0,0,0.43387
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",96451122603.82,"Institutional",3000,11,46,"2023-01-31",0.0431,"2023-01-31",0.05036,0.42684,0,0,0,0,0,0,0,0,0,0.52281,0,0,0,0,0,0,0,0.47719
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",93839144234.59,"Institutional",3000,10,47,"2022-12-31",0.0423,"2022-12-31",0.03863,0.40469,0,0,0,0,0,0,0,0,0,0.55668,0,0,0,0,0,0,0,0.44332
