recordDate,exDividendDate,payableDate,totalDistribution,ordinaryIncome,stcg,ltcg,returnOfCapital
"2026-02-02","2026-02-02","2026-02-04",0.24547,0.24547,,,
"2025-12-18","2025-12-18","2025-12-22",0.246638,0.246638,,,
"2025-12-01","2025-12-01","2025-12-03",0.238572,0.238572,,,
"2025-11-03","2025-11-03","2025-11-05",0.243631,0.243631,,,
"2025-10-01","2025-10-01","2025-10-03",0.237328,0.237328,,,
"2025-09-02","2025-09-02","2025-09-04",0.242759,0.242759,,,
"2025-08-01","2025-08-01","2025-08-05",0.241866,0.241866,,,
"2025-07-01","2025-07-01","2025-07-03",0.235347,0.235347,,,
"2025-06-02","2025-06-02","2025-06-04",0.240315,0.240315,,,
"2025-05-01","2025-05-01","2025-05-05",0.236371,0.236371,,,
"2025-04-01","2025-04-01","2025-04-03",0.240374,0.240374,,,
"2025-03-03","2025-03-03","2025-03-05",0.21946,0.21946,,,
"2025-02-03","2025-02-03","2025-02-05",0.234799,0.234799,,,
"2024-12-24","2024-12-24","2024-12-27",0.233378,0.233378,,,
"2024-12-02","2024-12-02","2024-12-04",0.222928,0.222928,,,
"2024-11-01","2024-11-01","2024-11-05",0.227631,0.227631,,,
"2024-10-01","2024-10-01","2024-10-03",0.220705,0.220705,,,
"2024-09-03","2024-09-03","2024-09-05",0.225518,0.225518,,,
"2024-08-01","2024-08-01","2024-08-05",0.223909,0.223909,,,
"2024-07-01","2024-07-01","2024-07-03",0.220702,0.220702,,,
