recordDate,exDividendDate,payableDate,totalDistribution,ordinaryIncome,stcg,ltcg,returnOfCapital
"2025-12-18","2025-12-18","2025-12-22",0.7817,0.7817,,,
"2025-12-01","2025-12-01","2025-12-03",0.1867,0.1867,,,
"2025-11-03","2025-11-03","2025-11-05",0.1921,0.1921,,,
"2025-10-01","2025-10-01","2025-10-03",0.184,0.184,,,
"2025-09-02","2025-09-02","2025-09-04",0.1938,0.1938,,,
"2025-08-01","2025-08-01","2025-08-05",0.187,0.187,,,
"2025-07-01","2025-07-01","2025-07-03",0.1844,0.1844,,,
"2025-06-02","2025-06-02","2025-06-04",0.1879,0.1879,,,
"2025-05-01","2025-05-01","2025-05-05",0.1857,0.1857,,,
"2025-04-01","2025-04-01","2025-04-03",0.1902,0.1902,,,
"2025-03-03","2025-03-03","2025-03-05",0.1717,0.1717,,,
"2025-02-03","2025-02-03","2025-02-05",0.1855,0.1855,,,
"2024-12-24","2024-12-24","2024-12-27",0.7894,0.7894,,,
"2024-12-02","2024-12-02","2024-12-04",0.1761,0.1761,,,
"2024-11-01","2024-11-01","2024-11-05",0.1767,0.1767,,,
"2024-10-01","2024-10-01","2024-10-03",0.1727,0.1727,,,
"2024-09-03","2024-09-03","2024-09-05",0.18,0.18,,,
"2024-08-01","2024-08-01","2024-08-05",0.1759,0.1759,,,
"2024-07-01","2024-07-01","2024-07-03",0.1703,0.1703,,,
