asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-02-24","GOVT",,,0.0384,,35958244759,0.0346,0.0381,,,0.0311,5.7,7.5,0.0005,,"BlackRock"
"2026-02-25","GOVT",,,0.0384,,36062330819,0.0346,0.0382,,,0.0311,5.69,7.55,0.0005,,"BlackRock"
"2026-02-26","GOVT",,,0.0383,,36179089271,0.0346,0.0374,,,0.0311,5.8,7.7,0.0005,,"BlackRock"
"2026-02-27","GOVT",,,0.0381,23.2,35916350679,0.0345,0.0383,,,0.0311,5.79,7.69,0.0005,,"BlackRock"
"2026-03-02","GOVT",,,0.0383,23.18,35906879503,0.0375,0.0385,,,0.0311,5.78,7.69,0.0005,,"BlackRock"
"2026-03-03","GOVT",,,0.0383,23.14,35831194362,0.0375,0.0389,,,0.0311,5.77,7.68,0.0005,,"BlackRock"
"2026-03-04","GOVT",,,0.0383,23.1,35814306348,0.0349,0.0389,,,0.0311,5.77,7.68,0.0005,,"BlackRock"
"2026-03-05","GOVT",,,0.0384,23.08,35807126278,0.035,0.0392,,,0.0311,5.74,7.65,0.0005,,"BlackRock"
"2026-03-12","GOVT",,,0.0388,22.9,38973290144,0.0353,,,,0.0311,5.67,7.57,0.0005,,"BlackRock"
"2026-03-13","GOVT",,,0.039,22.98,39574179287,0.0353,,,,0.0311,5.68,7.58,0.0005,,"BlackRock"
"2026-03-19","GOVT",,,0.0392,22.78,40057120901,0.0352,,,,0.0311,5.63,7.54,0.0005,,"BlackRock"
"2026-03-20","GOVT",,,0.0396,22.84,40201231607,0.0355,,,,0.0311,5.64,7.54,0.0005,,"BlackRock"
"2026-03-23","GOVT",,,0.0398,22.79,40102353372,0.0354,,,,0.0311,5.62,7.53,0.0005,,"BlackRock"
"2026-03-24","GOVT",,,0.0399,22.87,40313578031,0.0355,,,,0.0311,5.64,7.55,0.0005,,"BlackRock"
"2026-03-25","GOVT",,,0.0399,22.76,40144461305,0.0353,,,,0.0311,5.62,7.53,0.0005,,"BlackRock"
"2026-03-26","GOVT",,,0.0403,22.76,40193359709,0.0355,,,,0.0311,5.6,7.51,0.0005,,"BlackRock"
"2026-03-27","GOVT",,,0.0404,22.88,40448950880,0.0355,,,,0.0311,5.63,7.54,0.0005,,"BlackRock"
"2026-03-30","GOVT",,,0.0405,22.9,40681287670,0.0353,,,,0.0311,5.67,7.59,0.0005,,"BlackRock"
"2026-03-31","GOVT",,,0.0406,22.82,40572927179,0.0353,,,,0.0311,5.67,7.59,0.0005,,"BlackRock"
"2026-04-01","GOVT",,,0.0408,22.86,40764055400,0.0384,,,,0.0311,5.7,7.62,0.0005,,"BlackRock"
"2026-04-02","GOVT",,,0.0408,22.83,40756599334,0.0352,,,,0.0311,5.68,7.6,0.0005,,"BlackRock"
"2026-04-06","GOVT",,,0.0411,22.86,40880970964,0.0352,,,,0.0311,5.68,7.6,0.0005,,"BlackRock"
"2026-04-07","GOVT",,,0.0411,22.9,40962490838,0.0352,,,,0.0311,5.68,7.6,0.0005,,"BlackRock"
"2026-04-08","GOVT",,,0.0411,22.89,40983352297,0.0351,,,,0.0311,5.67,7.59,0.0005,,"BlackRock"
"2026-04-09","GOVT",,,0.0411,22.86,40929939399,0.0351,,,,0.0311,5.66,7.58,0.0005,,"BlackRock"
"2026-04-10","GOVT",,,0.0412,22.9,41001134676,0.0352,,,,0.0311,5.66,7.58,0.0005,,"BlackRock"
"2026-04-13","GOVT",,,0.0412,22.96,40945894225,0.0351,,,,0.0311,5.67,7.59,0.0005,,"BlackRock"
"2026-04-14","GOVT",,,0.0411,22.92,40902608137,0.035,,,,0.0311,5.66,7.58,0.0005,,"BlackRock"
"2026-04-15","GOVT",,,0.0412,22.89,40864844955,0.0351,,,,0.0311,5.64,7.56,0.0005,,"BlackRock"
"2026-04-16","GOVT",,,0.0413,22.98,41049820597,0.0352,,,,0.0311,5.66,7.57,0.0005,,"BlackRock"
"2026-04-17","GOVT",,,0.0411,22.97,41078569270,0.035,,,,0.0311,5.65,7.57,0.0005,,"BlackRock"
"2026-04-20","GOVT",,,0.041,22.9,40950918611,0.035,,,,0.0311,5.63,7.55,0.0005,,"BlackRock"
"2026-04-21","GOVT",,,0.0411,22.92,40995707918,0.0351,,,,0.0311,5.64,7.56,0.0005,,"BlackRock"
"2026-04-22","GOVT",,,0.0411,22.89,40948251036,0.0351,,,,0.0311,5.63,7.55,0.0005,,"BlackRock"
"2026-04-23","GOVT",,,0.0411,22.92,41093733585,0.0352,,,,0.0311,5.63,7.55,0.0005,,"BlackRock"
"2026-04-24","GOVT",,,0.041,22.89,41063500333,0.0351,,,,0.0311,5.63,7.55,0.0005,,"BlackRock"
