asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-02-24","TIP",,,-0.0007,,14329177476,0.0342,,,,0.012,6.5,7.2,0.0018,,"BlackRock"
"2026-02-25","TIP",,,0.0011,,14336507297,0.0342,,,,,,,0.0018,,"BlackRock"
"2026-02-26","TIP",,,0.0027,,14353089515,0.0341,,,,,,,0.0018,,"BlackRock"
"2026-02-27","TIP",,,0.0044,111.5,14294039291,0.034,0.0381,,,0.0121,6.56,7.34,0.0018,,"BlackRock"
"2026-03-02","TIP",,,0.0126,111.42,14284472286,0.0341,0.0383,,,0.0121,6.55,7.33,0.0018,,"BlackRock"
"2026-03-03","TIP",,,0.0141,111.19,14321113359,0.0341,0.0386,,,0.0121,6.54,7.32,0.0018,,"BlackRock"
"2026-03-04","TIP",,,0.0158,111.16,14317122400,0.0342,0.0386,,,0.0121,6.54,7.32,0.0018,,"BlackRock"
"2026-03-05","TIP",,,0.0174,111.32,14326793804,0.0342,0.039,,,0.0121,6.51,7.29,0.0018,,"BlackRock"
"2026-03-12","TIP",,,0.0285,110.61,14258249661,0.0343,0.0405,,,0.0121,6.44,7.23,0.0018,,"BlackRock"
"2026-03-13","TIP",,,0.0302,110.96,14280227463,0.0344,0.0398,,,0.0121,6.45,7.24,0.0018,,"BlackRock"
"2026-03-19","TIP",,,0.0397,110.14,14109498322,0.0343,0.0418,,,0.0121,6.4,7.19,0.0018,,"BlackRock"
"2026-03-20","TIP",,,0.0417,110.12,14139333465,0.0345,0.0413,,,0.0121,6.41,7.2,0.0018,,"BlackRock"
"2026-03-23","TIP",,,0.0466,109.8,14075832859,0.0345,0.0418,,,0.0121,6.39,7.18,0.0018,,"BlackRock"
"2026-03-24","TIP",,,0.0483,110.08,14023809297,0.0346,0.0412,,,0.0121,6.41,7.2,0.0018,,"BlackRock"
"2026-03-25","TIP",,,0.05,109.73,13869248576,0.0345,0.0412,,,0.0121,6.41,7.2,0.0018,,"BlackRock"
"2026-03-26","TIP",,,0.0519,109.59,13940245135,0.0347,0.042,,,0.0121,6.36,7.15,0.0018,,"BlackRock"
"2026-03-27","TIP",,,0.0536,110.28,13950516019,0.0347,0.0411,,,0.0121,6.38,7.17,0.0018,,"BlackRock"
"2026-03-30","TIP",,,0.0584,110.3,13898044515,0.0345,0.041,,,0.0122,6.41,7.2,0.0018,,"BlackRock"
"2026-03-31","TIP",,,0.0584,110.24,13912628219,0.0345,0.041,,,0.0122,6.41,7.2,0.0018,,"BlackRock"
"2026-04-01","TIP",,,0.0591,110.66,13987005298,0.0345,0.041,,,0.0122,6.43,7.22,0.0018,,"BlackRock"
"2026-04-02","TIP",,,0.0594,110.66,13987165214,0.028,0.0414,,,0.0122,6.41,7.21,0.0018,,"BlackRock"
"2026-04-06","TIP",,,0.0615,110.84,14010344618,0.028,0.0412,,,0.0122,6.41,7.2,0.0018,,"BlackRock"
"2026-04-07","TIP",,,0.0619,110.81,14006223661,0.0279,0.0407,,,0.0122,6.41,7.21,0.0018,,"BlackRock"
"2026-04-08","TIP",,,0.0626,110.89,14105461747,0.0279,0.0407,,,0.0122,6.41,7.2,0.0018,,"BlackRock"
"2026-04-09","TIP",,,0.0631,110.85,14121956418,0.0279,0.0411,,,0.0122,6.4,7.2,0.0018,,"BlackRock"
"2026-04-10","TIP",,,0.0636,111.22,14280768399,0.0279,0.0409,,,0.0122,6.4,7.19,0.0018,,"BlackRock"
"2026-04-13","TIP",,,0.0648,111.43,14330170922,0.0278,0.0404,,,0.0122,6.41,7.2,0.0018,,"BlackRock"
"2026-04-14","TIP",,,0.0651,111.35,14397868826,0.0278,0.0407,,,0.0122,6.4,7.19,0.0018,,"BlackRock"
"2026-04-15","TIP",,,0.0658,111.12,14501361429,0.0278,0.0409,,,0.0122,6.38,7.16,0.0018,,"BlackRock"
"2026-04-16","TIP",,,0.0665,111.34,14584943454,0.0278,0.0403,,,0.0122,6.39,7.18,0.0018,,"BlackRock"
"2026-04-17","TIP",,,0.0669,111.33,14583598454,0.0278,0.0404,,,0.0122,6.38,7.16,0.0018,,"BlackRock"
"2026-04-20","TIP",,,0.0683,111.1,14620727395,0.0278,0.041,,,0.0122,6.37,7.16,0.0018,,"BlackRock"
"2026-04-21","TIP",,,0.0689,111.32,14650069599,0.0278,0.0409,,,0.0122,6.37,7.16,0.0018,,"BlackRock"
"2026-04-22","TIP",,,0.0694,111.44,14665479641,0.0278,0.0411,,,0.0122,6.37,7.16,0.0018,,"BlackRock"
"2026-04-23","TIP",,,0.0698,111.66,14683261408,0.0278,0.041,,,0.0122,6.36,7.15,0.0018,,"BlackRock"
