recordDate,exDividendDate,payableDate,totalDistribution,ordinaryIncome,stcg,ltcg,returnOfCapital
"2025-12-18","2025-12-18","2025-12-22",0.2315,0.2315,,,
"2025-12-01","2025-12-01","2025-12-03",0.2286,0.2286,,,
"2025-11-03","2025-11-03","2025-11-05",0.238,0.238,,,
"2025-10-01","2025-10-01","2025-10-03",0.2438,0.2438,,,
"2025-09-02","2025-09-02","2025-09-04",0.2544,0.2544,,,
"2025-08-01","2025-08-01","2025-08-05",0.2481,0.2481,,,
"2025-07-01","2025-07-01","2025-07-03",0.2411,0.2411,,,
"2025-06-02","2025-06-02","2025-06-04",0.2231,0.2231,,,
"2025-05-01","2025-05-01","2025-05-05",0.2145,0.2145,,,
"2025-04-01","2025-04-01","2025-04-03",0.227,0.227,,,
