recordDate,exDividendDate,payableDate,totalDistribution,ordinaryIncome,stcg,ltcg,returnOfCapital
"2025-12-18","2025-12-18","2025-12-22",0.2542,0.2542,,,
"2025-12-01","2025-12-01","2025-12-03",0.2426,0.2426,,,
"2025-11-03","2025-11-03","2025-11-05",0.2475,0.2475,,,
"2025-10-01","2025-10-01","2025-10-03",0.2066,0.2066,,,
"2025-09-02","2025-09-02","2025-09-04",0.247,0.247,,,
"2025-08-01","2025-08-01","2025-08-05",0.2487,0.2487,,,
"2025-07-01","2025-07-01","2025-07-03",0.2438,0.2438,,,
"2025-06-02","2025-06-02","2025-06-04",0.2503,0.2503,,,
"2025-05-01","2025-05-01","2025-05-05",0.2444,0.2444,,,
"2025-04-01","2025-04-01","2025-04-03",0.2501,0.2501,,,
"2025-03-03","2025-03-03","2025-03-05",0.2253,0.2253,,,
"2025-02-03","2025-02-03","2025-02-05",0.2475,0.2475,,,
"2024-12-24","2024-12-24","2024-12-27",0.2375,0.2375,,,
"2024-12-02","2024-12-02","2024-12-04",0.2354,0.2354,,,
"2024-11-01","2024-11-01","2024-11-05",0.2408,0.2408,,,
"2024-10-01","2024-10-01","2024-10-03",0.2305,0.2305,,,
"2024-09-03","2024-09-03","2024-09-05",0.2384,0.2384,,,
"2024-08-01","2024-08-01","2024-08-05",0.2355,0.2355,,,
"2024-07-01","2024-07-01","2024-07-03",0.2295,0.2295,,,
