asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-02-19","VCLT",,,0.056,,,,,,,,,,0.0003,,"advisors.vanguard.com"
"2026-02-20","VCLT",,,0.0559,,,,,,,,,,0.0003,,"advisors.vanguard.com"
"2026-02-23","VCLT",,,0.0559,,7700000000,,0.0554,0.0554,0.036,0.0481,12.1,22,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-02-24","VCLT",,,0.0559,,7700000000,,0.0554,0.0554,0.036,0.0481,12.1,22.1,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-02-25","VCLT",,,0.0559,,7700000000,,0.0554,0.0554,0.036,0.0481,12.1,22.1,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-02-26","VCLT",,,0.0559,,7700000000,,0.0554,0.0554,0.036,0.0481,12.1,22,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-02-27","VCLT",,,0.0559,,7700000000,,0.0556,0.0556,0.036,0.0481,12.2,22.2,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-02","VCLT",,,0.0558,76.47,7800000000,,0.0561,0.0561,0.036,0.0481,12.2,22.2,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-03","VCLT",,,0.0564,76.13,7800000000,,0.0561,0.0561,0.036,0.0481,12.2,22.2,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-04","VCLT",,,0.0564,75.79,7800000000,,0.0561,0.0561,0.054,0.0481,12.2,22.1,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-05","VCLT",,,0.0564,75.79,7800000000,,0.0565,0.0565,0.054,0.048,12.1,22.1,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-11","VCLT",,,0.057,73.83,7800000000,,0.0581,0.0582,0.054,0.048,12,22.1,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-12","VCLT",,,0.0578,74.3,7800000000,,0.0587,0.0587,0.054,0.048,12,22.1,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-13","VCLT",,,0.0582,74.3,7800000000,,0.0591,0.0591,0.054,0.048,11.9,22.1,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-19","VCLT",,,0.0581,74.27,7800000000,,0.0593,0.0593,0.054,0.0478,11.9,22,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-20","VCLT",,,0.0579,74.27,7800000000,,0.0593,0.0593,0.054,0.0478,11.9,22,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-23","VCLT",,,0.059,74.66,7800000000,,0.0587,0.0587,0.054,0.0478,12,22,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-24","VCLT",,,0.0585,73.9,7800000000,,0.0583,0.0584,0.054,0.0478,12,22,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-25","VCLT",,,0.0587,73.9,7800000000,,0.0583,0.0584,0.054,0.0478,12,22,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-26","VCLT",,,0.0583,74.14,7800000000,,0.0597,0.0597,0.054,0.0478,11.9,22,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-27","VCLT",,,0.059,74.14,7800000000,,0.0597,0.0597,0.054,0.0478,11.9,22,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-30","VCLT",,,0.0595,74.37,7800000000,,0.0587,0.0587,0.054,0.0479,12.1,22.2,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-03-31","VCLT",,,0.059,74.8,7800000000,,0.0585,0.0585,0.054,0.0479,12.1,22.2,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-04-01","VCLT",,,0.0586,74.87,7400000000,,0.0585,0.0585,0.054,0.0479,12.1,22.2,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-04-02","VCLT",,,0.0588,74.87,7400000000,,0.058,0.058,0.054,0.0478,12.1,22.1,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-04-06","VCLT",,,0.0586,75.21,7400000000,,0.058,0.058,0.0579,0.0478,12.1,22.1,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-04-07","VCLT",,,0.0585,75.14,7400000000,,0.0576,0.0577,0.0579,0.0478,12.1,22.2,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-04-08","VCLT",,,0.0586,75.14,7400000000,,0.0576,0.0577,0.0579,0.0478,12.1,22.2,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-04-09","VCLT",,,0.0583,75.26,7400000000,,0.0577,0.0577,0.0579,0.0478,12.1,22.2,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
"2026-04-10","VCLT",,,0.0584,75.26,7400000000,,0.0579,0.0579,0.0579,0.0478,12.1,22.2,0.0003,"Long-Term Corporate Bond ETF","advisors.vanguard.com"
