asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-02-20","VSDB",,,0.0426,,,,,,,,,,0.0015,,"advisors.vanguard.com"
"2026-02-23","VSDB",,,0.0426,,263600000,,0.0444,0.0452,,0.0455,2.5,3.2,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-02-24","VSDB",,,0.0424,,263600000,,0.0444,0.0452,,0.0455,2.5,3.2,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-02-25","VSDB",,,0.0424,,263600000,,0.0444,0.0452,,0.0455,2.5,3.2,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-02-26","VSDB",,,0.0418,,263600000,,0.0444,0.0452,,0.0455,2.5,3.2,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-02-27","VSDB",,,0.0418,76.63,263600000,,0.0444,0.0452,,0.0455,2.5,3.2,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-02","VSDB",,,0.042,76.59,430200000,,,,,,,,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-03","VSDB",,,0.0421,76.52,430200000,,0.0453,0.0461,,0.0435,2.6,3.3,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-04","VSDB",,,0.0421,76.52,430200000,,0.0453,0.0461,,0.0435,2.6,3.3,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-05","VSDB",,,0.0421,76.46,430200000,,0.0458,0.0465,,0.0435,2.6,3.3,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-11","VSDB",,,0.0421,76.11,430200000,,0.0482,0.0488,,0.0449,2.6,3.5,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-12","VSDB",,,0.0422,76.24,430200000,,0.0486,0.0492,,0.0449,2.6,3.5,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-13","VSDB",,,0.0424,76.24,430200000,,0.0486,0.0492,,0.0449,2.6,3.5,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-19","VSDB",,,0.0431,75.87,430200000,,0.0491,0.0495,,0.0449,2.6,3.5,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-20","VSDB",,,0.0432,75.9,430200000,,0.0504,0.0508,,0.0449,2.6,3.6,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-23","VSDB",,,0.0435,76.05,430200000,,0.0497,0.0502,,0.0451,2.6,3.5,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-24","VSDB",,,0.0438,76.05,430200000,,0.0505,0.0508,,0.0451,2.6,3.6,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-25","VSDB",,,0.044,75.81,430200000,,0.0498,0.0502,,0.0451,2.6,3.5,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-26","VSDB",,,0.044,75.96,430200000,,0.0519,0.0522,,0.0451,2.6,3.6,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-27","VSDB",,,0.0443,76.11,430200000,,0.0502,0.0505,,0.0451,2.6,3.5,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-30","VSDB",,,0.0448,76.11,430200000,,0.0502,0.0505,,0.0451,2.6,3.5,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-03-31","VSDB",,,0.0449,75.95,430200000,,0.0495,0.0499,,0.0451,2.6,3.5,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-04-01","VSDB",,,0.045,75.94,458600000,,0.0493,0.0497,,0.0452,2.7,3.5,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-04-02","VSDB",,,0.0452,75.94,458600000,,0.0491,0.0495,,0.0451,2.7,3.5,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-04-06","VSDB",,,0.0453,76.18,458600000,,0.0494,0.0498,0.0445,0.0451,2.6,3.4,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-04-07","VSDB",,,0.0458,76.18,458600000,,0.0491,0.0495,0.0445,0.0451,2.6,3.4,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-04-08","VSDB",,,0.0458,76.21,458600000,,0.0483,0.0487,0.0445,0.0452,2.6,3.4,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-04-09","VSDB",,,0.0458,76.28,458600000,,0.0483,0.0487,0.0445,0.0451,2.6,3.3,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
"2026-04-10","VSDB",,,0.0458,76.39,458600000,,0.0483,0.0487,0.0445,0.0451,2.6,3.3,0.0015,"Short Duration Bond ETF","advisors.vanguard.com"
