recordDate,exDividendDate,payableDate,totalDistribution,ordinaryIncome,stcg,ltcg,returnOfCapital
"2026-02-02","2026-02-02","2026-02-04",0.1913,0.1913,,,
"2025-12-18","2025-12-18","2025-12-22",0.2043,0.2043,,,
"2025-12-01","2025-12-01","2025-12-03",0.2034,0.2034,,,
"2025-11-03","2025-11-03","2025-11-05",0.1961,0.1961,,,
"2025-10-01","2025-10-01","2025-10-03",0.2032,0.2032,,,
"2025-09-02","2025-09-02","2025-09-04",0.1992,0.1992,,,
"2025-08-01","2025-08-01","2025-08-05",0.1891,0.1891,,,
"2025-07-01","2025-07-01","2025-07-03",0.1945,0.1945,,,
"2025-06-02","2025-06-02","2025-06-04",0.1963,0.1963,,,
"2025-05-01","2025-05-01","2025-05-05",0.1933,0.1933,,,
"2025-04-01","2025-04-01","2025-04-03",0.158,0.158,,,
"2025-03-03","2025-03-03","2025-03-05",0.2032,0.2032,,,
"2025-02-03","2025-02-03","2025-02-05",0.1958,0.1958,,,
"2024-12-24","2024-12-24","2024-12-27",0.2636,0.2636,,,
