asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-01-31","VTC",,,0.0483,77.92,1600000000,,0.0474,0.0478,0.033,0.0459,6.7,10.4,0.0003,"Total Corporate Bond ETF","advisors.vanguard.com"
"2026-02-28","VTC",,,0.0476,76.48,1600000000,,0.0514,0.0517,0.0486,0.0459,6.6,10.4,0.0003,"Total Corporate Bond ETF","advisors.vanguard.com"
"2026-03-31","VTC",,,0.0508,76.52,1600000000,,0.0513,0.0517,0.0511,0.0462,6.6,10.4,0.0003,"Total Corporate Bond ETF","advisors.vanguard.com"
"2026-04-30","VTC",,,0.0508,76.63,1700000000,,0.0513,0.0516,0.0496,0.0463,6.7,10.5,0.0003,"Total Corporate Bond ETF","advisors.vanguard.com"
"2026-05-31","VTC",,,0.0515,76.54,1800000000,,0.0519,0.0522,0.0491,0.0465,6.7,10.5,0.0003,"Total Corporate Bond ETF","advisors.vanguard.com"
"2026-06-30","VTC",,,0.0519,76.03,1800000000,,,,,,6.6,6.6,0.0003,"Vanguard Total Corporate Bond ETF","advisors.vanguard.com"
"2026-07-10","VTC",,,,75.91,1800000000,,,,,,6.6,6.6,,"Vanguard Total Corporate Bond ETF","advisors.vanguard.com"
"2026-07-13","VTC",,,,75.64,1800000000,,,,,,6.6,6.6,,"Vanguard Total Corporate Bond ETF","advisors.vanguard.com"
"2026-07-14","VTC",,,,75.74,1800000000,,,,,,6.5,6.5,,"Vanguard Total Corporate Bond ETF","advisors.vanguard.com"
"2026-07-15","VTC",,,,75.93,1800000000,,,,,,6.5,6.5,,"Vanguard Total Corporate Bond ETF","advisors.vanguard.com"
"2026-07-16","VTC",,,,75.95,1800000000,,,,,,6.5,6.5,,"Vanguard Total Corporate Bond ETF","advisors.vanguard.com"
"2026-07-17","VTC",,,,75.96,1800000000,,,,,,6.5,6.5,,"Vanguard Total Corporate Bond ETF","advisors.vanguard.com"
"2026-07-20","VTC",,,,75.77,1800000000,,,,,,6.5,6.5,,"Vanguard Total Corporate Bond ETF","advisors.vanguard.com"
"2026-07-21","VTC",,,,75.59,1800000000,,,,,,6.5,6.5,,"Vanguard Total Corporate Bond ETF","advisors.vanguard.com"
