asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-02-19","VTEB",,,0.0331,,,,,,,,,,0.0003,,"advisors.vanguard.com"
"2026-02-20","VTEB",,,0.033,,,,,,,,,,0.0003,,"advisors.vanguard.com"
"2026-02-23","VTEB",,,0.033,,43500000000,,0.0327,,0.022,0.043899999999999995,7.1,14,0.0003,,"advisors.vanguard.com"
"2026-02-24","VTEB",,,0.0329,,43500000000,,0.0325,,0.022,0.044000000000000004,7.1,14,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-02-25","VTEB",,,0.0328,,43500000000,,0.0325,,0.022,0.0442,7.1,14,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-02-26","VTEB",,,0.0327,,43500000000,,0.0324,,0.022,0.0444,7.1,14,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-02-27","VTEB",,,0.0327,50.86,43500000000,,0.0324,,0.022,0.0444,7.1,14,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-02","VTEB",,,0.0326,50.61,42200000000,,0.0322,,0.022,0.0439,7,14,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-03","VTEB",,,0.0327,50.57,42200000000,,0.0336,,0.022,0.0438,7.1,14,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-04","VTEB",,,0.0328,50.57,42200000000,,0.0336,,0.022,0.0438,7.1,14,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-05","VTEB",,,0.0328,50.51,42200000000,,0.0336,,0.0381,0.044,7.1,14.1,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-12","VTEB",,,0.033,50.25,42200000000,,0.0351,,0.0381,0.0443,7.1,13.9,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-13","VTEB",,,0.0332,50.3,42200000000,,0.0358,,0.0381,0.0445,7.1,14,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-19","VTEB",,,0.0334,49.89,42200000000,,0.0355,,0.0381,0.0437,7,13.9,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-20","VTEB",,,0.0335,49.66,42200000000,,0.036,,0.0381,0.0437,7.1,13.9,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-23","VTEB",,,0.0338,49.71,42200000000,,0.0371,,0.0381,0.0432,7.1,13.8,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-24","VTEB",,,0.0341,49.68,42200000000,,0.0371,,0.0381,0.0432,7.1,13.8,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-25","VTEB",,,0.0343,49.63,42200000000,,0.0381,,0.0381,0.0435,7.1,13.9,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-26","VTEB",,,0.0344,49.73,42200000000,,0.0381,,0.0381,0.0435,7.1,13.9,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-27","VTEB",,,0.0346,49.86,42200000000,,0.0385,,0.0381,0.0439,7.1,13.9,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-30","VTEB",,,0.0347,49.85,42200000000,,0.0385,,0.0381,0.0439,7.1,13.9,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-31","VTEB",,,0.035,49.85,42200000000,,0.038,,0.0381,0.0442,7.1,13.9,0.0003,"Tax-Exempt Bond ETF","advisors.vanguard.com"
