asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2025-05-22","BFBXX",,0.033668,,"moneymarket.fun"
"2025-05-23","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-05-24","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-05-25","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-05-26","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-05-27","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-05-28","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-05-29","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-05-30","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-05-31","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-06-01","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-06-02","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-06-03","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-06-04","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-06-05","BFBXX",,0.033668,,"gapFiller (moneymarket.fun)"
"2025-06-06","BFBXX",,0.03351,0.03364,"BlackRock"
