asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-01-31","BSLXX",,0.0066,,"EDGAR MFP-2"
"2020-02-01","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-04","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-05","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-06","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-07","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-08","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-09","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-10","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-11","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-12","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-13","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-14","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-15","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-16","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-17","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-18","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-19","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-20","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-21","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-22","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-23","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-24","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-25","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-26","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-27","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-28","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-02-29","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-01","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-02","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-03","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-04","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-05","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-06","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-07","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-08","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-09","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-10","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-11","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-12","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-13","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-14","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-15","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-16","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-17","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-18","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-19","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-20","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-21","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-22","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-23","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-24","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-25","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-26","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-27","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-28","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-29","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-30","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-03-31","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-01","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-02","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-03","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-04","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-05","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-06","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-07","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-08","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-09","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-10","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-11","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-12","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-13","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-14","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-15","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-16","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-17","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-18","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-19","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-20","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-21","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-22","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-23","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-24","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-25","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-26","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-27","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-28","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-29","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-04-30","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-01","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-02","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-03","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-04","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-05","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-06","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-07","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-08","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-09","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-10","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-11","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-12","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-13","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-14","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-15","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-16","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-17","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-18","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-19","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-20","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-21","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-22","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-23","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-24","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-25","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-26","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-27","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-28","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-29","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-30","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-05-31","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-01","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-02","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-03","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-04","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-05","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-06","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-07","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-08","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-09","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-10","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-11","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-12","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-13","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-14","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-15","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-16","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-17","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-18","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-19","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-20","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-21","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-22","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-23","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-24","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-25","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-26","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-27","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-28","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-29","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-06-30","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-01","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-02","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-03","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-04","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-05","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-06","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-07","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-08","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-09","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-10","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-11","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-12","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-13","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-14","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-15","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-16","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-17","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-18","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-19","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-20","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-21","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-22","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-23","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-24","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-25","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-26","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-27","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-28","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-29","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-30","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
"2020-07-31","BSLXX",,0.0066,,"gapFiller (EDGAR MFP-2)"
