asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2025-03-14","BTFXX",,0.038065,,"moneymarket.fun"
"2025-03-15","BTFXX",,0.038065,,"gapFiller (moneymarket.fun)"
"2025-03-16","BTFXX",,0.038065,,"gapFiller (moneymarket.fun)"
"2025-03-17","BTFXX",,0.038065,,"gapFiller (moneymarket.fun)"
"2025-03-18","BTFXX",,0.038065,,"gapFiller (moneymarket.fun)"
"2025-03-19","BTFXX",,0.038065,,"gapFiller (moneymarket.fun)"
"2025-03-20","BTFXX",,0.038065,,"gapFiller (moneymarket.fun)"
"2025-03-21","BTFXX",,0.038065,,"gapFiller (moneymarket.fun)"
"2025-03-22","BTFXX",,0.038065,,"gapFiller (moneymarket.fun)"
"2025-03-23","BTFXX",,0.038065,,"gapFiller (moneymarket.fun)"
"2025-03-24","BTFXX",,0.038065,,"moneymarket.fun"
"2025-03-25","BTFXX",,0.038046,,"moneymarket.fun"
"2025-03-26","BTFXX",,0.038011,,"moneymarket.fun"
"2025-03-27","BTFXX",,0.037961,,"moneymarket.fun"
