asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-10-31","BUPXX",,-0.0001,,"EDGAR MFP-2"
"2020-11-01","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-02","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-03","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-04","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-05","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-06","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-07","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-08","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-09","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-10","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-11","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-12","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-13","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-14","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-15","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-16","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-17","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-18","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-19","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-20","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-21","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-22","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-23","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-24","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-25","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-26","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-27","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-28","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-29","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-11-30","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-12-01","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-12-02","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-12-03","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-12-04","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-12-05","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-12-06","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-12-07","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-12-08","BUPXX",,-0.0001,,"gapFiller (EDGAR MFP-2)"
