asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-10-15","BISOX",,0.00568,0.0058,"BlackRock"
"2020-10-15","BBSOX",,0.00599,0.00612,"BlackRock"
"2020-10-15","BASOX",,0.00306,0.0032,"BlackRock"
"2026-04-28","MSAXX",,0.03287,0.03274,"BlackRock"
"2026-04-28","BRIXX",,0.03583,0.03577,"BlackRock"
"2026-04-28","BISXX",,0.0381,0.03789,"BlackRock"
"2026-04-28","XTSLA",,0.03613,0.03607,"BlackRock"
"2026-04-28","MCBXX",,0.02536,0.02524,"BlackRock"
"2026-04-28","MSIXX",,0.03286,0.03274,"BlackRock"
"2026-04-29","TFDXX",,0.03543,0.03535,"BlackRock"
"2026-04-29","TTDXX",,0.03282,0.03284,"BlackRock"
"2026-04-29","BSLXX",,0.02709,0.02704,"BlackRock"
"2026-04-29","BFTXX",,0.03424,0.03411,"BlackRock"
"2026-04-29","TCDXX",,0.03447,0.0344,"BlackRock"
"2026-04-29","BRPXX",,0.03033,0.03025,"BlackRock"
"2026-04-29","BFRXX",,0.03143,0.03135,"BlackRock"
"2026-04-29","BITXX",,0.03435,0.03436,"BlackRock"
"2026-04-29","BTRXX",,0.0314,0.03135,"BlackRock"
"2026-04-29","BPTXX",,0.0304,0.03035,"BlackRock"
"2026-04-29","TTTXX",,0.03532,0.03534,"BlackRock"
"2026-04-29","BFMXX",,0.03021,0.03008,"BlackRock"
"2026-04-29","TMCXX",,0.03678,0.03672,"BlackRock"
"2026-04-29","TFEXX",,0.03289,0.03284,"BlackRock"
"2026-04-29","TSDXX",,0.03275,0.03262,"BlackRock"
"2026-04-29","BLFXX",,0.03443,0.03435,"BlackRock"
"2026-04-29","BUPXX",,0.03543,0.03535,"BlackRock"
"2026-04-29","BFBXX",,0.02713,0.02705,"BlackRock"
"2026-04-29","TSLXX",,0.02702,0.02704,"BlackRock"
"2026-04-29","BTFXX",,0.03132,0.03134,"BlackRock"
"2026-04-29","BTAXX",,0.03439,0.03434,"BlackRock"
"2026-04-29","BEMXX",,0.03539,0.03534,"BlackRock"
"2026-04-29","TSTXX",,0.03539,0.03534,"BlackRock"
"2026-04-29","TFFXX",,0.03524,0.03511,"BlackRock"
"2026-04-29","MCSXX",,0.0337,0.02841,"BlackRock"
"2026-04-29","BFFXX",,0.03047,0.03039,"BlackRock"
"2026-04-29","BTCXX",,0.03032,0.03034,"BlackRock"
"2026-04-29","TDDXX",,0.03293,0.03285,"BlackRock"
"2026-04-29","BMCXX",,0.02531,0.0252,"BlackRock"
"2026-04-29","PNPXX",,0.03358,0.03347,"BlackRock"
"2026-04-29","MNRSV",,0.03282,0.03269,"BlackRock"
"2026-04-29","DMMKI",,0.03412,0.03401,"BlackRock"
"2026-04-29","PNIXX",,0.03631,0.0362,"BlackRock"
"2026-04-29","PINXX",,0.03352,0.03341,"BlackRock"
"2026-04-29","BFCXX",,0.03493,0.03486,"BlackRock"
"2026-04-29","TPCXX",,0.03628,0.03622,"BlackRock"
"2026-04-29","BUCXX",,0.03482,0.03484,"BlackRock"
"2026-04-29","BCHXX",,0.03489,0.03484,"BlackRock"
"2026-04-29","BMMXX",,0.03631,0.0362,"BlackRock"
"2026-04-29","TCPXX",,0.03681,0.03672,"BlackRock"
"2026-04-29","HUAXX",,0.03543,0.03535,"BlackRock"
"2026-04-29","EDUXX",,0.03523,0.03511,"BlackRock"
"2026-04-29","SIGXX",,0.03524,0.03511,"BlackRock"
"2026-04-29","SBIXX",,0.03543,0.03535,"BlackRock"
"2026-04-29","WSTXX",,0.03543,0.03535,"BlackRock"
"2026-04-29","USDXX",,0.03603,0.0359,"BlackRock"
"2026-04-29","EVEXX",,0.03524,0.03511,"BlackRock"
"2026-04-29","TIGXX",,0.03543,0.03535,"BlackRock"
"2026-04-29","GPCXX",,0.03678,0.03672,"BlackRock"
"2026-04-29","GPAXX",,0.03544,0.03536,"BlackRock"
"2026-04-29","PSFXX",,0.03543,0.03535,"BlackRock"
"2026-04-29","DGLXX",,0.03536,0.03536,"BlackRock"
