asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2022-09-30","FAYXX",,0.0162,,"EDGAR MFP-2"
"2022-10-01","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-02","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-03","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-04","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-05","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-06","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-07","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-08","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-09","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-10","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-11","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-12","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-13","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-14","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-15","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-16","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-17","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-18","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-19","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-20","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-21","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-22","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-23","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-24","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-25","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-26","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-27","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-28","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-29","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-30","FAYXX",,0.0162,,"gapFiller (EDGAR MFP-2)"
"2022-10-31","FAYXX",,0.0161,,"EDGAR MFP-2"
"2022-11-01","FAYXX",,0.0161,,"gapFiller (EDGAR MFP-2)"
"2022-11-02","FAYXX",,0.0161,,"gapFiller (EDGAR MFP-2)"
"2022-11-03","FAYXX",,0.0161,,"gapFiller (EDGAR MFP-2)"
