asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2019-12-31","FCGXX",,0.0124,,"EDGAR MFP-2"
"2020-01-02","FCGXX",,0.0124,,"moneymarket.fun"
"2020-01-03","FCGXX",,0.0124,,"moneymarket.fun"
"2020-01-04","FCGXX",,0.0124,,"gapFiller (moneymarket.fun)"
"2020-01-05","FCGXX",,0.0124,,"gapFiller (moneymarket.fun)"
"2020-01-06","FCGXX",,0.0124,,"moneymarket.fun"
"2020-01-07","FCGXX",,0.0124,,"moneymarket.fun"
"2020-01-08","FCGXX",,0.0124,,"moneymarket.fun"
"2020-01-09","FCGXX",,0.0124,,"moneymarket.fun"
"2020-01-10","FCGXX",,0.0124,,"moneymarket.fun"
"2020-01-11","FCGXX",,0.0124,,"gapFiller (moneymarket.fun)"
"2020-01-12","FCGXX",,0.0124,,"gapFiller (moneymarket.fun)"
"2020-01-13","FCGXX",,0.0124,,"moneymarket.fun"
"2020-01-14","FCGXX",,0.0123,,"moneymarket.fun"
"2020-01-15","FCGXX",,0.0123,,"moneymarket.fun"
"2020-01-16","FCGXX",,0.0123,,"moneymarket.fun"
"2020-01-17","FCGXX",,0.0123,,"moneymarket.fun"
"2020-01-18","FCGXX",,0.0123,,"gapFiller (moneymarket.fun)"
"2020-01-19","FCGXX",,0.0123,,"gapFiller (moneymarket.fun)"
"2020-01-20","FCGXX",,0.0123,,"gapFiller (moneymarket.fun)"
"2020-01-21","FCGXX",,0.0122,,"moneymarket.fun"
"2020-01-22","FCGXX",,0.0122,,"moneymarket.fun"
"2020-01-23","FCGXX",,0.0122,,"moneymarket.fun"
"2020-01-24","FCGXX",,0.0122,,"moneymarket.fun"
"2020-01-25","FCGXX",,0.0122,,"gapFiller (moneymarket.fun)"
"2020-01-26","FCGXX",,0.0122,,"gapFiller (moneymarket.fun)"
"2020-01-27","FCGXX",,0.0121,,"moneymarket.fun"
"2020-01-28","FCGXX",,0.0121,,"moneymarket.fun"
"2020-01-29","FCGXX",,0.0121,,"moneymarket.fun"
"2020-01-30","FCGXX",,0.0121,,"moneymarket.fun"
"2020-01-31","FCGXX",,0.0121,,"EDGAR MFP-2"
"2020-02-01","FCGXX",,0.0121,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","FCGXX",,0.0121,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-04","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-05","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-06","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-07","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-08","FCGXX",,0.0122,,"gapFiller (moneymarket.fun)"
"2020-02-09","FCGXX",,0.0122,,"gapFiller (moneymarket.fun)"
"2020-02-10","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-11","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-12","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-13","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-14","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-15","FCGXX",,0.0122,,"gapFiller (moneymarket.fun)"
"2020-02-16","FCGXX",,0.0122,,"gapFiller (moneymarket.fun)"
"2020-02-17","FCGXX",,0.0122,,"gapFiller (moneymarket.fun)"
"2020-02-18","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-19","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-20","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-21","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-22","FCGXX",,0.0122,,"gapFiller (moneymarket.fun)"
"2020-02-23","FCGXX",,0.0122,,"gapFiller (moneymarket.fun)"
"2020-02-24","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-25","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-26","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-27","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-28","FCGXX",,0.0122,,"moneymarket.fun"
"2020-02-29","FCGXX",,0.0121,,"EDGAR MFP-2"
"2020-03-01","FCGXX",,0.0121,,"gapFiller (EDGAR MFP-2)"
"2020-03-02","FCGXX",,0.0121,,"moneymarket.fun"
"2020-03-03","FCGXX",,0.0121,,"moneymarket.fun"
"2020-03-04","FCGXX",,0.012,,"moneymarket.fun"
"2020-03-05","FCGXX",,0.0117,,"moneymarket.fun"
"2020-03-06","FCGXX",,0.0113,,"moneymarket.fun"
"2020-03-07","FCGXX",,0.0113,,"gapFiller (moneymarket.fun)"
"2020-03-08","FCGXX",,0.0113,,"gapFiller (moneymarket.fun)"
"2020-03-09","FCGXX",,0.0101,,"moneymarket.fun"
"2020-03-10","FCGXX",,0.0097,,"moneymarket.fun"
"2020-03-11","FCGXX",,0.0093,,"moneymarket.fun"
"2020-03-12","FCGXX",,0.0091,,"moneymarket.fun"
"2020-03-13","FCGXX",,0.009,,"moneymarket.fun"
"2020-03-14","FCGXX",,0.009,,"gapFiller (moneymarket.fun)"
"2020-03-15","FCGXX",,0.009,,"gapFiller (moneymarket.fun)"
"2020-03-16","FCGXX",,0.0081,,"moneymarket.fun"
"2020-03-17","FCGXX",,0.0074,,"moneymarket.fun"
