asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-01-02","FCOXX",,0.015,,"moneymarket.fun"
"2020-01-03","FCOXX",,0.0149,,"moneymarket.fun"
"2020-01-04","FCOXX",,0.0149,,"gapFiller (moneymarket.fun)"
"2020-01-05","FCOXX",,0.0149,,"gapFiller (moneymarket.fun)"
"2020-01-06","FCOXX",,0.0148,,"moneymarket.fun"
"2020-01-07","FCOXX",,0.0148,,"moneymarket.fun"
"2020-01-08","FCOXX",,0.0148,,"moneymarket.fun"
"2020-01-09","FCOXX",,0.0147,,"moneymarket.fun"
"2020-01-10","FCOXX",,0.0147,,"moneymarket.fun"
"2020-01-11","FCOXX",,0.0147,,"gapFiller (moneymarket.fun)"
"2020-01-12","FCOXX",,0.0147,,"gapFiller (moneymarket.fun)"
"2020-01-13","FCOXX",,0.0146,,"moneymarket.fun"
"2020-01-14","FCOXX",,0.0146,,"moneymarket.fun"
"2020-01-15","FCOXX",,0.0146,,"moneymarket.fun"
"2020-01-16","FCOXX",,0.0146,,"moneymarket.fun"
"2020-01-17","FCOXX",,0.0146,,"moneymarket.fun"
"2020-01-18","FCOXX",,0.0146,,"gapFiller (moneymarket.fun)"
"2020-01-19","FCOXX",,0.0146,,"gapFiller (moneymarket.fun)"
"2020-01-20","FCOXX",,0.0146,,"gapFiller (moneymarket.fun)"
"2020-01-21","FCOXX",,0.0145,,"moneymarket.fun"
"2020-01-22","FCOXX",,0.0144,,"moneymarket.fun"
"2020-01-23","FCOXX",,0.0144,,"moneymarket.fun"
"2020-01-24","FCOXX",,0.0144,,"moneymarket.fun"
"2020-01-25","FCOXX",,0.0144,,"gapFiller (moneymarket.fun)"
"2020-01-26","FCOXX",,0.0144,,"gapFiller (moneymarket.fun)"
"2020-01-27","FCOXX",,0.0144,,"moneymarket.fun"
"2020-01-28","FCOXX",,0.0144,,"moneymarket.fun"
"2020-01-29","FCOXX",,0.0143,,"moneymarket.fun"
"2020-01-30","FCOXX",,0.0143,,"moneymarket.fun"
"2020-01-31","FCOXX",,0.0143,,"EDGAR MFP-2"
"2020-02-01","FCOXX",,0.0143,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","FCOXX",,0.0143,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","FCOXX",,0.0143,,"moneymarket.fun"
"2020-02-04","FCOXX",,0.0143,,"moneymarket.fun"
"2020-02-05","FCOXX",,0.0143,,"moneymarket.fun"
"2020-02-06","FCOXX",,0.0143,,"moneymarket.fun"
"2020-02-07","FCOXX",,0.0143,,"moneymarket.fun"
"2020-02-08","FCOXX",,0.0143,,"gapFiller (moneymarket.fun)"
"2020-02-09","FCOXX",,0.0143,,"gapFiller (moneymarket.fun)"
"2020-02-10","FCOXX",,0.0142,,"moneymarket.fun"
"2020-02-11","FCOXX",,0.0141,,"moneymarket.fun"
"2020-02-12","FCOXX",,0.0141,,"moneymarket.fun"
"2020-02-13","FCOXX",,0.0141,,"moneymarket.fun"
"2020-02-14","FCOXX",,0.0141,,"moneymarket.fun"
"2020-02-15","FCOXX",,0.0141,,"gapFiller (moneymarket.fun)"
"2020-02-16","FCOXX",,0.0141,,"gapFiller (moneymarket.fun)"
"2020-02-17","FCOXX",,0.0141,,"gapFiller (moneymarket.fun)"
"2020-02-18","FCOXX",,0.014,,"moneymarket.fun"
"2020-02-19","FCOXX",,0.014,,"moneymarket.fun"
"2020-02-20","FCOXX",,0.014,,"moneymarket.fun"
"2020-02-21","FCOXX",,0.014,,"moneymarket.fun"
"2020-02-22","FCOXX",,0.014,,"gapFiller (moneymarket.fun)"
"2020-02-23","FCOXX",,0.014,,"gapFiller (moneymarket.fun)"
"2020-02-24","FCOXX",,0.014,,"moneymarket.fun"
"2020-02-25","FCOXX",,0.014,,"moneymarket.fun"
"2020-02-26","FCOXX",,0.014,,"moneymarket.fun"
"2020-02-27","FCOXX",,0.0138,,"moneymarket.fun"
"2020-02-28","FCOXX",,0.0138,,"moneymarket.fun"
