asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2025-02-27","FCSXX",0.0397,0.0398,0.0399,"Fidelity.com"
"2025-02-28","FCSXX",0.0398,0.0398,0.0399,"Fidelity.com"
"2025-03-01","FCSXX",0.0398,0.0398,0.0399,"Fidelity.com"
"2025-03-02","FCSXX",0.0398,0.0398,0.0399,"Fidelity.com"
"2025-03-03","FCSXX",0.0396,0.0397,0.0399,"Fidelity.com"
"2025-03-04","FCSXX",0.0396,0.0397,0.0399,"Fidelity.com"
"2025-03-05","FCSXX",0.0397,0.0397,0.0399,"Fidelity.com"
"2025-03-06","FCSXX",0.0397,0.0397,0.0399,"Fidelity.com"
"2025-03-07","FCSXX",0.0396,0.0397,0.0398,"Fidelity.com"
"2025-03-08","FCSXX",0.0396,0.0397,0.0398,"Fidelity.com"
"2025-03-09","FCSXX",0.0396,0.0396,0.0398,"Fidelity.com"
"2025-03-10","FCSXX",0.0396,0.0396,0.0398,"Fidelity.com"
"2025-03-11","FCSXX",0.0395,0.0396,0.0398,"Fidelity.com"
"2025-03-12","FCSXX",0.0395,0.0396,0.0398,"Fidelity.com"
"2025-03-13","FCSXX",0.0395,0.0396,0.0397,"Fidelity.com"
"2025-03-14","FCSXX",0.0395,0.0395,0.0397,"Fidelity.com"
"2025-03-15","FCSXX",0.0395,0.0395,0.0397,"Fidelity.com"
"2025-03-16","FCSXX",0.0395,0.0395,0.0397,"Fidelity.com"
"2025-03-17","FCSXX",0.0396,0.0395,0.0397,"Fidelity.com"
