asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2019-12-31","FDUXX",,0.0098,,"EDGAR MFP-2"
"2020-01-02","FDUXX",,0.0097,,"moneymarket.fun"
"2020-01-03","FDUXX",,0.0097,,"moneymarket.fun"
"2020-01-04","FDUXX",,0.0097,,"gapFiller (moneymarket.fun)"
"2020-01-05","FDUXX",,0.0097,,"gapFiller (moneymarket.fun)"
"2020-01-06","FDUXX",,0.0096,,"moneymarket.fun"
"2020-01-07","FDUXX",,0.0096,,"moneymarket.fun"
"2020-01-08","FDUXX",,0.0096,,"moneymarket.fun"
"2020-01-09","FDUXX",,0.0096,,"moneymarket.fun"
"2020-01-10","FDUXX",,0.0096,,"moneymarket.fun"
"2020-01-11","FDUXX",,0.0096,,"gapFiller (moneymarket.fun)"
"2020-01-12","FDUXX",,0.0096,,"gapFiller (moneymarket.fun)"
"2020-01-13","FDUXX",,0.0096,,"moneymarket.fun"
"2020-01-14","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-15","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-16","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-17","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-18","FDUXX",,0.0095,,"gapFiller (moneymarket.fun)"
"2020-01-19","FDUXX",,0.0095,,"gapFiller (moneymarket.fun)"
"2020-01-20","FDUXX",,0.0095,,"gapFiller (moneymarket.fun)"
"2020-01-21","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-22","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-23","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-24","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-25","FDUXX",,0.0095,,"gapFiller (moneymarket.fun)"
"2020-01-26","FDUXX",,0.0095,,"gapFiller (moneymarket.fun)"
"2020-01-27","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-28","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-29","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-30","FDUXX",,0.0095,,"moneymarket.fun"
"2020-01-31","FDUXX",,0.0095,,"EDGAR MFP-2"
"2020-02-01","FDUXX",,0.0095,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","FDUXX",,0.0095,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-04","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-05","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-06","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-07","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-08","FDUXX",,0.0096,,"gapFiller (moneymarket.fun)"
"2020-02-09","FDUXX",,0.0096,,"gapFiller (moneymarket.fun)"
"2020-02-10","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-11","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-12","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-13","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-14","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-15","FDUXX",,0.0096,,"gapFiller (moneymarket.fun)"
"2020-02-16","FDUXX",,0.0096,,"gapFiller (moneymarket.fun)"
"2020-02-17","FDUXX",,0.0096,,"gapFiller (moneymarket.fun)"
"2020-02-18","FDUXX",,0.0095,,"moneymarket.fun"
"2020-02-19","FDUXX",,0.0095,,"moneymarket.fun"
"2020-02-20","FDUXX",,0.0095,,"moneymarket.fun"
"2020-02-21","FDUXX",,0.0095,,"moneymarket.fun"
"2020-02-22","FDUXX",,0.0095,,"gapFiller (moneymarket.fun)"
"2020-02-23","FDUXX",,0.0095,,"gapFiller (moneymarket.fun)"
"2020-02-24","FDUXX",,0.0095,,"moneymarket.fun"
"2020-02-25","FDUXX",,0.0095,,"moneymarket.fun"
"2020-02-26","FDUXX",,0.0095,,"moneymarket.fun"
"2020-02-27","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-28","FDUXX",,0.0096,,"moneymarket.fun"
"2020-02-29","FDUXX",,0.0094,,"EDGAR MFP-2"
"2020-03-01","FDUXX",,0.0094,,"gapFiller (EDGAR MFP-2)"
"2020-03-02","FDUXX",,0.0093,,"moneymarket.fun"
"2020-03-03","FDUXX",,0.0093,,"moneymarket.fun"
