asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2019-12-31","FSIXX",,0.0144,,"EDGAR MFP-2"
"2020-01-02","FSIXX",,0.0143,,"moneymarket.fun"
"2020-01-03","FSIXX",,0.0143,,"moneymarket.fun"
"2020-01-04","FSIXX",,0.0143,,"gapFiller (moneymarket.fun)"
"2020-01-05","FSIXX",,0.0143,,"gapFiller (moneymarket.fun)"
"2020-01-06","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-07","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-08","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-09","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-10","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-11","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-01-12","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-01-13","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-14","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-15","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-16","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-17","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-18","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-01-19","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-01-20","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-01-21","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-22","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-23","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-24","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-25","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-01-26","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-01-27","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-28","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-29","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-30","FSIXX",,0.0142,,"moneymarket.fun"
"2020-01-31","FSIXX",,0.0142,,"EDGAR MFP-2"
"2020-02-01","FSIXX",,0.0142,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","FSIXX",,0.0142,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-04","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-05","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-06","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-07","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-08","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-02-09","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-02-10","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-11","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-12","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-13","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-14","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-15","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-02-16","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-02-17","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-02-18","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-19","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-20","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-21","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-22","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-02-23","FSIXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-02-24","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-25","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-26","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-27","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-28","FSIXX",,0.0142,,"moneymarket.fun"
"2020-02-29","FSIXX",,0.0142,,"EDGAR MFP-2"
"2020-03-01","FSIXX",,0.0142,,"gapFiller (EDGAR MFP-2)"
"2020-03-02","FSIXX",,0.0142,,"moneymarket.fun"
"2020-03-03","FSIXX",,0.0141,,"moneymarket.fun"
"2020-03-04","FSIXX",,0.014,,"moneymarket.fun"
"2020-03-05","FSIXX",,0.0139,,"moneymarket.fun"
"2020-03-06","FSIXX",,0.0138,,"moneymarket.fun"
"2020-03-07","FSIXX",,0.0138,,"gapFiller (moneymarket.fun)"
"2020-03-08","FSIXX",,0.0138,,"gapFiller (moneymarket.fun)"
"2020-03-09","FSIXX",,0.0135,,"moneymarket.fun"
"2020-03-10","FSIXX",,0.0132,,"moneymarket.fun"
"2020-03-11","FSIXX",,0.0129,,"moneymarket.fun"
"2020-03-12","FSIXX",,0.0125,,"moneymarket.fun"
"2020-03-13","FSIXX",,0.0121,,"moneymarket.fun"
"2020-03-14","FSIXX",,0.0121,,"gapFiller (moneymarket.fun)"
"2020-03-15","FSIXX",,0.0121,,"gapFiller (moneymarket.fun)"
"2020-03-16","FSIXX",,0.0109,,"moneymarket.fun"
"2020-03-17","FSIXX",,0.0106,,"moneymarket.fun"
"2020-03-18","FSIXX",,0.0102,,"moneymarket.fun"
"2020-03-19","FSIXX",,0.0098,,"moneymarket.fun"
"2020-03-20","FSIXX",,0.0094,,"moneymarket.fun"
"2020-03-21","FSIXX",,0.0094,,"gapFiller (moneymarket.fun)"
"2020-03-22","FSIXX",,0.0094,,"gapFiller (moneymarket.fun)"
