asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2025-02-27","FSPXX",0.0127,0.0178,0.0198,"Fidelity.com"
"2025-02-28","FSPXX",0.0136,0.0168,0.0196,"Fidelity.com"
"2025-03-01","FSPXX",0.0136,0.0159,0.0195,"Fidelity.com"
"2025-03-02","FSPXX",0.0136,0.0149,0.0194,"Fidelity.com"
"2025-03-03","FSPXX",0.0155,0.0146,0.0193,"Fidelity.com"
"2025-03-04","FSPXX",0.0132,0.014,0.0191,"Fidelity.com"
"2025-03-05","FSPXX",0.0147,0.0138,0.019,"Fidelity.com"
"2025-03-06","FSPXX",0.0181,0.0146,0.0191,"Fidelity.com"
"2025-03-07","FSPXX",0.0208,0.0156,0.0193,"Fidelity.com"
"2025-03-08","FSPXX",0.0209,0.0167,0.0195,"Fidelity.com"
"2025-03-09","FSPXX",0.0209,0.0177,0.0196,"Fidelity.com"
"2025-03-10","FSPXX",0.0243,0.019,0.0199,"Fidelity.com"
"2025-03-11","FSPXX",0.0217,0.0202,0.02,"Fidelity.com"
"2025-03-12","FSPXX",0.0228,0.0213,0.0201,"Fidelity.com"
"2025-03-13","FSPXX",0.028,0.0228,0.0204,"Fidelity.com"
"2025-03-14","FSPXX",0.0285,0.0239,0.0207,"Fidelity.com"
"2025-03-15","FSPXX",0.0285,0.025,0.0207,"Fidelity.com"
"2025-03-16","FSPXX",0.0285,0.026,0.0208,"Fidelity.com"
"2025-03-17","FSPXX",0.0267,0.0264,0.0208,"Fidelity.com"
