asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2025-04-14","FTXXX",,0.035726,,"deep"
"2025-04-15","FTXXX",,0.03681,,"deep"
"2025-04-16","FTXXX",,0.037253,,"deep"
"2025-04-17","FTXXX",,0.037042,,"deep"
"2025-04-18","FTXXX",,0.037042,,"gapFiller (deep)"
"2025-04-19","FTXXX",,0.037042,,"gapFiller (deep)"
"2025-04-20","FTXXX",,0.037042,,"gapFiller (deep)"
"2025-04-21","FTXXX",,0.035892,,"deep"
"2025-04-22","FTXXX",,0.035627,,"deep"
"2025-04-23","FTXXX",,0.035216,,"deep"
"2025-04-24","FTXXX",,0.034618,,"deep"
"2025-04-25","FTXXX",,0.034002,,"deep"
"2025-04-26","FTXXX",,0.034002,,"gapFiller (deep)"
"2025-04-27","FTXXX",,0.034002,,"gapFiller (deep)"
"2025-04-28","FTXXX",,0.032135,,"deep"
"2025-04-29","FTXXX",,0.031478,,"deep"
"2025-04-30","FTXXX",,0.030762,,"deep"
"2025-05-01","FTXXX",,0.030255,,"deep"
"2025-05-02","FTXXX",,0.029822,,"deep"
"2025-05-03","FTXXX",,0.029822,,"gapFiller (deep)"
"2025-05-04","FTXXX",,0.029822,,"gapFiller (deep)"
"2025-05-05","FTXXX",,0.028579,,"deep"
"2025-05-06","FTXXX",,0.028259,,"deep"
"2025-05-07","FTXXX",,0.027997,,"deep"
"2025-05-08","FTXXX",,0.02746,,"deep"
"2025-05-09","FTXXX",,0.026909,,"deep"
"2025-05-10","FTXXX",,0.026909,,"gapFiller (deep)"
"2025-05-11","FTXXX",,0.026909,,"gapFiller (deep)"
"2025-05-12","FTXXX",,0.025226,,"deep"
"2025-05-13","FTXXX",,0.024541,,"deep"
"2025-05-14","FTXXX",,0.024475,,"deep"
"2025-05-15","FTXXX",,0.025321,,"deep"
"2025-05-16","FTXXX",,0.026111,,"deep"
"2025-05-17","FTXXX",,0.026111,,"gapFiller (deep)"
"2025-05-18","FTXXX",,0.026111,,"gapFiller (deep)"
"2025-05-19","FTXXX",,0.028491,,"deep"
"2025-05-20","FTXXX",,0.029453,,"deep"
"2025-05-21","FTXXX",,0.029816,,"deep"
"2025-05-22","FTXXX",,0.029305,,"deep"
"2025-05-23","FTXXX",,0.028768,,"deep"
"2025-05-24","FTXXX",,0.028768,,"gapFiller (deep)"
"2025-05-25","FTXXX",,0.028768,,"gapFiller (deep)"
"2025-05-26","FTXXX",,0.028768,,"gapFiller (deep)"
"2025-05-27","FTXXX",,0.026633,,"deep"
"2025-05-28","FTXXX",,0.02614,,"deep"
"2025-05-29","FTXXX",,0.025848,,"deep"
"2025-05-30","FTXXX",,0.025668,,"deep"
"2025-05-31","FTXXX",,0.025668,,"gapFiller (deep)"
"2025-06-01","FTXXX",,0.025668,,"gapFiller (deep)"
"2025-06-02","FTXXX",,0.025092,,"deep"
"2025-06-03","FTXXX",,0.024877,,"deep"
"2025-06-04","FTXXX",,0.024908,,"deep"
"2025-06-05","FTXXX",,0.024928,,"deep"
"2025-06-06","FTXXX",,0.024796,,"deep"
"2025-06-07","FTXXX",,0.024796,,"gapFiller (deep)"
"2025-06-08","FTXXX",,0.024796,,"gapFiller (deep)"
"2025-06-09","FTXXX",,0.024382,,"deep"
"2025-06-10","FTXXX",,0.024222,,"deep"
