asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2021-03-31","FZEXX",,0.0001,,"EDGAR MFP-2"
"2021-04-01","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-02","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-03","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-04","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-05","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-06","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-07","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-08","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-09","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-10","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-11","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-12","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-13","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-14","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-15","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-16","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-17","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-18","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-19","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-20","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-21","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-22","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-23","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-24","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-25","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-26","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-27","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-28","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-29","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-04-30","FZEXX",,0.0001,,"EDGAR MFP-2"
"2021-05-01","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-02","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-03","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-04","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-05","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-06","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-07","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-08","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-09","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-10","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-11","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-12","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-13","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-14","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-15","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-16","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-17","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-18","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-19","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-20","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-21","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-22","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-23","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-24","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-25","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-26","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-27","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-28","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-29","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-30","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-05-31","FZEXX",,0.0001,,"EDGAR MFP-2"
"2021-06-01","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-02","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-03","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-04","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-05","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-06","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-07","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-08","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-09","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-10","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-11","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-12","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-13","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-14","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-15","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-16","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-17","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-18","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-19","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-20","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-21","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-22","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-23","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-24","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-25","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2021-06-26","FZEXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
