asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield
"2025-10-09","FSBXX",0.0219,0.0229,0.0233
"2025-10-10","FSBXX",0.0217,0.0227,0.0233
"2025-10-11","FSBXX",0.0217,0.0225,0.0232
"2025-10-12","FSBXX",0.0217,0.0224,0.0232
"2025-10-13","FSBXX",0.0217,0.0221,0.0231
"2025-10-14","FSBXX",0.0215,0.0219,0.0231
"2025-10-15","FSBXX",0.021,0.0216,0.023
"2025-10-16","FSBXX",0.0197,0.0213,0.0229
"2025-10-17","FSBXX",0.0194,0.021,0.0228
"2025-10-18","FSBXX",0.0194,0.0206,0.0227
"2025-10-19","FSBXX",0.0194,0.0203,0.0226
"2025-10-20","FSBXX",0.0193,0.0199,0.0225
"2025-10-21","FSBXX",0.0193,0.0196,0.0224
"2025-10-22","FSBXX",0.0201,0.0195,0.0223
"2025-10-23","FSBXX",0.0228,0.0199,0.0223
"2025-10-24","FSBXX",0.0235,0.0205,0.0224
"2025-10-25","FSBXX",0.0236,0.0211,0.0223
"2025-10-26","FSBXX",0.0236,0.0217,0.0223
"2025-10-09","FSPXX",0.0209,0.0219,0.0223
"2025-10-10","FSPXX",0.0208,0.0218,0.0223
"2025-10-11","FSPXX",0.0208,0.0216,0.0222
"2025-10-12","FSPXX",0.0208,0.0214,0.0222
"2025-10-13","FSPXX",0.0208,0.0212,0.0221
"2025-10-14","FSPXX",0.0206,0.021,0.0221
"2025-10-15","FSPXX",0.0201,0.0207,0.022
"2025-10-16","FSPXX",0.0187,0.0204,0.0219
"2025-10-17","FSPXX",0.0185,0.02,0.0219
"2025-10-18","FSPXX",0.0185,0.0197,0.0218
"2025-10-19","FSPXX",0.0185,0.0194,0.0217
"2025-10-20","FSPXX",0.0184,0.019,0.0216
"2025-10-21","FSPXX",0.0183,0.0187,0.0214
"2025-10-22","FSPXX",0.0192,0.0186,0.0213
"2025-10-23","FSPXX",0.0218,0.019,0.0214
"2025-10-24","FSPXX",0.0226,0.0196,0.0214
"2025-10-25","FSPXX",0.0227,0.0202,0.0214
"2025-10-26","FSPXX",0.0227,0.0208,0.0213
"2025-10-09","FTCXX",0.0251,0.0264,0.0266
"2025-10-10","FTCXX",0.025,0.0262,0.0266
"2025-10-11","FTCXX",0.025,0.026,0.0265
"2025-10-12","FTCXX",0.025,0.0258,0.0265
"2025-10-13","FTCXX",0.0255,0.0255,0.0265
"2025-10-14","FTCXX",0.025,0.0253,0.0265
"2025-10-15","FTCXX",0.0239,0.0249,0.0264
"2025-10-16","FTCXX",0.0221,0.0245,0.0263
"2025-10-17","FTCXX",0.0221,0.0241,0.0262
"2025-10-18","FTCXX",0.0221,0.0237,0.0261
"2025-10-19","FTCXX",0.0221,0.0233,0.0259
"2025-10-20","FTCXX",0.0223,0.0228,0.0258
"2025-10-21","FTCXX",0.022,0.0224,0.0257
"2025-10-22","FTCXX",0.0226,0.0222,0.0256
"2025-10-23","FTCXX",0.025,0.0226,0.0255
"2025-10-24","FTCXX",0.0262,0.0232,0.0256
"2025-10-25","FTCXX",0.0262,0.0238,0.0255
"2025-10-26","FTCXX",0.0262,0.0244,0.0254
"2025-10-09","FSXXX",0.0246,0.0259,0.0261
"2025-10-10","FSXXX",0.0245,0.0257,0.0261
"2025-10-11","FSXXX",0.0245,0.0255,0.026
"2025-10-12","FSXXX",0.0245,0.0253,0.026
"2025-10-13","FSXXX",0.025,0.025,0.026
"2025-10-14","FSXXX",0.0245,0.0248,0.026
"2025-10-15","FSXXX",0.0234,0.0244,0.0259
"2025-10-16","FSXXX",0.0216,0.024,0.0258
"2025-10-17","FSXXX",0.0216,0.0236,0.0257
"2025-10-18","FSXXX",0.0216,0.0232,0.0256
"2025-10-19","FSXXX",0.0216,0.0228,0.0254
"2025-10-20","FSXXX",0.0218,0.0223,0.0253
"2025-10-21","FSXXX",0.0215,0.0219,0.0252
"2025-10-22","FSXXX",0.0221,0.0217,0.0251
"2025-10-23","FSXXX",0.0245,0.0221,0.025
"2025-10-24","FSXXX",0.0257,0.0227,0.0251
"2025-10-25","FSXXX",0.0257,0.0233,0.025
"2025-10-26","FSXXX",0.0257,0.0239,0.0249
"2025-10-09","FSIXX",0.0395,0.0396,0.0401
"2025-10-10","FSIXX",0.0395,0.0396,0.0401
"2025-10-11","FSIXX",0.0395,0.0396,0.0401
"2025-10-12","FSIXX",0.0395,0.0396,0.04
"2025-10-13","FSIXX",0.0396,0.0396,0.04
"2025-10-14","FSIXX",0.0395,0.0395,0.0399
"2025-10-15","FSIXX",0.0394,0.0395,0.0399
"2025-10-16","FSIXX",0.0394,0.0395,0.0399
"2025-10-17","FSIXX",0.0394,0.0395,0.0398
"2025-10-18","FSIXX",0.0394,0.0394,0.0398
"2025-10-19","FSIXX",0.0394,0.0394,0.0397
"2025-10-20","FSIXX",0.0394,0.0394,0.0397
"2025-10-21","FSIXX",0.0393,0.0394,0.0397
"2025-10-22","FSIXX",0.0393,0.0393,0.0396
"2025-10-23","FSIXX",0.0391,0.0393,0.0396
"2025-10-24","FSIXX",0.0391,0.0393,0.0396
"2025-10-25","FSIXX",0.0391,0.0392,0.0395
"2025-10-26","FSIXX",0.0391,0.0392,0.0395
"2025-10-09","FTEXX",0.0237,0.0251,0.0251
"2025-10-10","FTEXX",0.0237,0.0249,0.0251
"2025-10-11","FTEXX",0.0237,0.0247,0.0251
"2025-10-12","FTEXX",0.0237,0.0245,0.025
"2025-10-13","FTEXX",0.0238,0.0241,0.025
"2025-10-14","FTEXX",0.0236,0.0239,0.025
