asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2019-12-31","GABXX",,0.016,,"EDGAR MFP-2"
"2020-01-02","GABXX",,0.015805,,"deep"
"2020-01-03","GABXX",,0.015667,,"deep"
"2020-01-04","GABXX",,0.015667,,"gapFiller (deep)"
"2020-01-05","GABXX",,0.015667,,"gapFiller (deep)"
"2020-01-06","GABXX",,0.01562,,"deep"
"2020-01-07","GABXX",,0.01557,,"deep"
"2020-01-08","GABXX",,0.01552,,"deep"
"2020-01-09","GABXX",,0.015494,,"deep"
"2020-01-10","GABXX",,0.015426,,"deep"
"2020-01-11","GABXX",,0.015426,,"gapFiller (deep)"
"2020-01-12","GABXX",,0.015426,,"gapFiller (deep)"
"2020-01-13","GABXX",,0.015409,,"deep"
"2020-01-14","GABXX",,0.015392,,"deep"
"2020-01-15","GABXX",,0.015376,,"deep"
"2020-01-16","GABXX",,0.015371,,"deep"
"2020-01-17","GABXX",,0.015346,,"deep"
"2020-01-18","GABXX",,0.015346,,"gapFiller (deep)"
"2020-01-19","GABXX",,0.015346,,"gapFiller (deep)"
"2020-01-20","GABXX",,0.015346,,"gapFiller (deep)"
"2020-01-21","GABXX",,0.015341,,"deep"
"2020-01-22","GABXX",,0.015336,,"deep"
"2020-01-23","GABXX",,0.01533,,"deep"
"2020-01-24","GABXX",,0.015311,,"deep"
"2020-01-25","GABXX",,0.015311,,"gapFiller (deep)"
"2020-01-26","GABXX",,0.015311,,"gapFiller (deep)"
"2020-01-27","GABXX",,0.015305,,"deep"
"2020-01-28","GABXX",,0.015299,,"deep"
"2020-01-29","GABXX",,0.015292,,"deep"
"2020-01-30","GABXX",,0.015269,,"deep"
"2020-01-31","GABXX",,0.0153,,"EDGAR MFP-2"
"2020-02-01","GABXX",,0.0153,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","GABXX",,0.0153,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","GABXX",,0.015167,,"deep"
"2020-02-04","GABXX",,0.015144,,"deep"
"2020-02-05","GABXX",,0.01512,,"deep"
"2020-02-06","GABXX",,0.015122,,"deep"
"2020-02-07","GABXX",,0.01514,,"deep"
"2020-02-08","GABXX",,0.01514,,"gapFiller (deep)"
"2020-02-09","GABXX",,0.01514,,"gapFiller (deep)"
"2020-02-10","GABXX",,0.015143,,"deep"
"2020-02-11","GABXX",,0.015147,,"deep"
"2020-02-12","GABXX",,0.015151,,"deep"
"2020-02-13","GABXX",,0.015148,,"deep"
"2020-02-14","GABXX",,0.015133,,"deep"
"2020-02-15","GABXX",,0.015133,,"gapFiller (deep)"
"2020-02-16","GABXX",,0.015133,,"gapFiller (deep)"
"2020-02-17","GABXX",,0.015133,,"gapFiller (deep)"
"2020-02-18","GABXX",,0.015128,,"deep"
"2020-02-19","GABXX",,0.015122,,"deep"
"2020-02-20","GABXX",,0.015117,,"deep"
"2020-02-21","GABXX",,0.015099,,"deep"
"2020-02-22","GABXX",,0.015099,,"gapFiller (deep)"
"2020-02-23","GABXX",,0.015099,,"gapFiller (deep)"
"2020-02-24","GABXX",,0.015093,,"deep"
"2020-02-25","GABXX",,0.015087,,"deep"
"2020-02-26","GABXX",,0.015078,,"deep"
"2020-02-27","GABXX",,0.015065,,"deep"
"2020-02-28","GABXX",,0.0151,,"EDGAR MFP-2"
"2020-02-29","GABXX",,0.0151,,"gapFiller (EDGAR MFP-2)"
"2020-03-01","GABXX",,0.0151,,"gapFiller (EDGAR MFP-2)"
"2020-03-02","GABXX",,0.015011,,"deep"
"2020-03-03","GABXX",,0.014994,,"deep"
"2020-03-04","GABXX",,0.014946,,"deep"
"2020-03-05","GABXX",,0.01488,,"deep"
"2020-03-06","GABXX",,0.014683,,"deep"
"2020-03-07","GABXX",,0.014683,,"gapFiller (deep)"
"2020-03-08","GABXX",,0.014683,,"gapFiller (deep)"
"2020-03-09","GABXX",,0.014612,,"deep"
"2020-03-10","GABXX",,0.01451,,"deep"
"2020-03-11","GABXX",,0.014381,,"deep"
"2020-03-12","GABXX",,0.01423,,"deep"
"2020-03-13","GABXX",,0.013802,,"deep"
"2020-03-14","GABXX",,0.013802,,"gapFiller (deep)"
"2020-03-15","GABXX",,0.013802,,"gapFiller (deep)"
"2020-03-16","GABXX",,0.013667,,"deep"
"2020-03-17","GABXX",,0.013485,,"deep"
"2020-03-18","GABXX",,0.013342,,"deep"
"2020-03-19","GABXX",,0.013223,,"deep"
"2020-03-20","GABXX",,0.012729,,"deep"
"2020-03-21","GABXX",,0.012729,,"gapFiller (deep)"
"2020-03-22","GABXX",,0.012729,,"gapFiller (deep)"
"2020-03-23","GABXX",,0.012537,,"deep"
"2020-03-24","GABXX",,0.012412,,"deep"
"2020-03-25","GABXX",,0.012279,,"deep"
"2020-03-26","GABXX",,0.012122,,"deep"
"2020-03-27","GABXX",,0.01176,,"deep"
"2020-03-28","GABXX",,0.01176,,"gapFiller (deep)"
"2020-03-29","GABXX",,0.01176,,"gapFiller (deep)"
"2020-03-30","GABXX",,0.011657,,"deep"
"2020-03-31","GABXX",,0.0116,,"EDGAR MFP-2"
"2020-04-01","GABXX",,0.011449,,"deep"
"2020-04-02","GABXX",,0.011191,,"deep"
