asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2019-12-31","GOTXX",,0.0146,,"EDGAR MFP-2"
"2020-01-02","GOTXX",,0.014557,,"deep"
"2020-01-03","GOTXX",,0.014536,,"deep"
"2020-01-04","GOTXX",,0.014536,,"gapFiller (deep)"
"2020-01-05","GOTXX",,0.014536,,"gapFiller (deep)"
"2020-01-06","GOTXX",,0.014473,,"deep"
"2020-01-07","GOTXX",,0.014488,,"deep"
"2020-01-08","GOTXX",,0.014524,,"deep"
"2020-01-09","GOTXX",,0.014541,,"deep"
"2020-01-10","GOTXX",,0.014562,,"deep"
"2020-01-11","GOTXX",,0.014562,,"gapFiller (deep)"
"2020-01-12","GOTXX",,0.014562,,"gapFiller (deep)"
"2020-01-13","GOTXX",,0.014604,,"deep"
"2020-01-14","GOTXX",,0.014596,,"deep"
"2020-01-15","GOTXX",,0.014567,,"deep"
"2020-01-16","GOTXX",,0.014551,,"deep"
"2020-01-17","GOTXX",,0.014516,,"deep"
"2020-01-18","GOTXX",,0.014516,,"gapFiller (deep)"
"2020-01-19","GOTXX",,0.014516,,"gapFiller (deep)"
"2020-01-20","GOTXX",,0.014516,,"gapFiller (deep)"
"2020-01-21","GOTXX",,0.014406,,"deep"
"2020-01-22","GOTXX",,0.014375,,"deep"
"2020-01-23","GOTXX",,0.014342,,"deep"
"2020-01-24","GOTXX",,0.014326,,"deep"
"2020-01-25","GOTXX",,0.014326,,"gapFiller (deep)"
"2020-01-26","GOTXX",,0.014326,,"gapFiller (deep)"
"2020-01-27","GOTXX",,0.014279,,"deep"
"2020-01-28","GOTXX",,0.014261,,"deep"
"2020-01-29","GOTXX",,0.014249,,"deep"
"2020-01-30","GOTXX",,0.01424,,"deep"
"2020-01-31","GOTXX",,0.0142,,"EDGAR MFP-2"
"2020-02-01","GOTXX",,0.0142,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","GOTXX",,0.0142,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","GOTXX",,0.014244,,"deep"
"2020-02-04","GOTXX",,0.01427,,"deep"
"2020-02-05","GOTXX",,0.014292,,"deep"
"2020-02-06","GOTXX",,0.014317,,"deep"
"2020-02-07","GOTXX",,0.014328,,"deep"
"2020-02-08","GOTXX",,0.014328,,"gapFiller (deep)"
"2020-02-09","GOTXX",,0.014328,,"gapFiller (deep)"
"2020-02-10","GOTXX",,0.014344,,"deep"
"2020-02-11","GOTXX",,0.014334,,"deep"
"2020-02-12","GOTXX",,0.014331,,"deep"
