asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-01-03","HTSXX",,0.0103,,"gapFiller"
"2020-01-04","HTSXX",,0.01025,,"gapFiller"
"2020-01-05","HTSXX",,0.01024,,"moneymarket.fun"
"2020-01-06","HTSXX",,0.01024,,"moneymarket.fun"
"2020-01-09","HTSXX",,0.01024,,"gapFiller"
"2020-01-09","HTSXX",,0.01024,,"gapFiller"
"2020-01-09","HTSXX",,0.01024,,"gapFiller"
"2020-01-10","HTSXX",,0.01023,,"gapFiller"
"2020-01-11","HTSXX",,0.01021,,"gapFiller"
"2020-01-12","HTSXX",,0.01021,,"moneymarket.fun"
"2020-01-13","HTSXX",,0.0102,,"moneymarket.fun"
"2020-01-17","HTSXX",,0.01019,,"gapFiller"
"2020-01-17","HTSXX",,0.01019,,"gapFiller"
"2020-01-17","HTSXX",,0.01019,,"gapFiller"
"2020-01-17","HTSXX",,0.01019,,"gapFiller"
"2020-01-18","HTSXX",,0.01018,,"gapFiller"
"2020-01-19","HTSXX",,0.01016,,"gapFiller"
"2020-01-20","HTSXX",,0.01016,,"moneymarket.fun"
"2020-01-23","HTSXX",,0.01016,,"gapFiller"
"2020-01-23","HTSXX",,0.01016,,"gapFiller"
"2020-01-23","HTSXX",,0.01016,,"gapFiller"
"2020-01-24","HTSXX",,0.01016,,"gapFiller"
"2020-01-25","HTSXX",,0.01015,,"gapFiller"
"2020-01-26","HTSXX",,0.01015,,"moneymarket.fun"
"2020-01-27","HTSXX",,0.01013,,"moneymarket.fun"
"2020-01-30","HTSXX",,0.01012,,"gapFiller"
"2020-01-30","HTSXX",,0.01012,,"gapFiller"
"2020-01-30","HTSXX",,0.01012,,"gapFiller"
"2020-01-31","HTSXX",,0.0101,,"gapFiller"
"2020-02-01","HTSXX",,0.01007,,"gapFiller"
"2020-02-02","HTSXX",,0.01006,,"moneymarket.fun"
"2020-02-03","HTSXX",,0.01007,,"moneymarket.fun"
"2020-02-06","HTSXX",,0.01009,,"gapFiller"
"2020-02-06","HTSXX",,0.01009,,"gapFiller"
"2020-02-06","HTSXX",,0.01009,,"gapFiller"
"2020-02-07","HTSXX",,0.01011,,"gapFiller"
"2020-02-08","HTSXX",,0.01016,,"gapFiller"
"2020-02-09","HTSXX",,0.01017,,"moneymarket.fun"
"2020-02-10","HTSXX",,0.01019,,"moneymarket.fun"
"2020-02-14","HTSXX",,0.01021,,"gapFiller"
"2020-02-14","HTSXX",,0.01021,,"gapFiller"
"2020-02-14","HTSXX",,0.01021,,"gapFiller"
"2020-02-14","HTSXX",,0.01021,,"gapFiller"
"2020-02-15","HTSXX",,0.01022,,"gapFiller"
"2020-02-16","HTSXX",,0.0103,,"gapFiller"
"2020-02-17","HTSXX",,0.01031,,"moneymarket.fun"
"2020-02-20","HTSXX",,0.01032,,"gapFiller"
"2020-02-20","HTSXX",,0.01032,,"gapFiller"
"2020-02-20","HTSXX",,0.01032,,"gapFiller"
"2020-02-21","HTSXX",,0.01032,,"gapFiller"
"2020-02-22","HTSXX",,0.01033,,"gapFiller"
"2020-02-23","HTSXX",,0.01034,,"moneymarket.fun"
"2020-02-24","HTSXX",,0.01033,,"moneymarket.fun"
"2020-02-27","HTSXX",,0.01033,,"gapFiller"
"2020-02-27","HTSXX",,0.01033,,"gapFiller"
"2020-02-27","HTSXX",,0.01033,,"gapFiller"
"2020-02-28","HTSXX",,0.01033,,"gapFiller"
"2020-02-29","HTSXX",,0.01033,,"gapFiller"
"2020-03-01","HTSXX",,0.01033,,"moneymarket.fun"
"2020-03-02","HTSXX",,0.01024,,"moneymarket.fun"
"2020-03-05","HTSXX",,0.01014,,"gapFiller"
"2020-03-05","HTSXX",,0.01014,,"gapFiller"
"2020-03-05","HTSXX",,0.01014,,"gapFiller"
