asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-01-31","MCBXX",,0.005,,"EDGAR MFP-2"
"2020-02-01","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-04","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-05","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-06","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-07","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-08","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-09","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-10","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-11","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-12","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-13","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-14","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-15","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-16","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-17","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-18","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-19","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-20","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-21","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-22","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-23","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-24","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-25","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-26","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-27","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-28","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-02-29","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-01","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-02","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-03","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-04","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-05","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-06","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-07","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-08","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-09","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-10","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-11","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-12","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-13","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-14","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-15","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-16","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-17","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-18","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-19","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-20","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-21","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-22","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-23","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-24","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-25","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-26","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-27","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-28","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-29","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-30","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-03-31","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-01","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-02","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-03","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-04","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-05","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-06","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-07","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-08","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-09","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-10","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-11","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-12","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-13","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-14","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-15","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-16","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
"2020-04-17","MCBXX",,0.005,,"gapFiller (EDGAR MFP-2)"
