asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2019-12-31","MCSXX",,0.0134,,"EDGAR MFP-2"
"2020-01-02","MCSXX",,0.01325,,"moneymarket.fun"
"2020-01-03","MCSXX",,0.01175,,"moneymarket.fun"
"2020-01-04","MCSXX",,0.01175,,"gapFiller (moneymarket.fun)"
"2020-01-05","MCSXX",,0.01175,,"gapFiller (moneymarket.fun)"
"2020-01-06","MCSXX",,0.01125,,"moneymarket.fun"
"2020-01-07","MCSXX",,0.01076,,"moneymarket.fun"
"2020-01-08","MCSXX",,0.01015,,"moneymarket.fun"
"2020-01-09","MCSXX",,0.00961,,"moneymarket.fun"
"2020-01-10","MCSXX",,0.00838,,"moneymarket.fun"
"2020-01-11","MCSXX",,0.00838,,"gapFiller (moneymarket.fun)"
"2020-01-12","MCSXX",,0.00838,,"gapFiller (moneymarket.fun)"
"2020-01-13","MCSXX",,0.00797,,"moneymarket.fun"
"2020-01-14","MCSXX",,0.00757,,"moneymarket.fun"
"2020-01-15","MCSXX",,0.00724,,"moneymarket.fun"
"2020-01-16","MCSXX",,0.00716,,"moneymarket.fun"
"2020-01-17","MCSXX",,0.00688,,"moneymarket.fun"
"2020-01-18","MCSXX",,0.00688,,"gapFiller (moneymarket.fun)"
"2020-01-19","MCSXX",,0.00688,,"gapFiller (moneymarket.fun)"
"2020-01-20","MCSXX",,0.00688,,"gapFiller (moneymarket.fun)"
"2020-01-21","MCSXX",,0.00681,,"moneymarket.fun"
"2020-01-22","MCSXX",,0.00683,,"moneymarket.fun"
"2020-01-23","MCSXX",,0.00692,,"moneymarket.fun"
"2020-01-24","MCSXX",,0.00714,,"moneymarket.fun"
"2020-01-25","MCSXX",,0.00714,,"gapFiller (moneymarket.fun)"
"2020-01-26","MCSXX",,0.00714,,"gapFiller (moneymarket.fun)"
"2020-01-27","MCSXX",,0.00723,,"moneymarket.fun"
"2020-01-28","MCSXX",,0.00734,,"moneymarket.fun"
"2020-01-29","MCSXX",,0.00744,,"moneymarket.fun"
"2020-01-30","MCSXX",,0.00761,,"moneymarket.fun"
"2020-01-31","MCSXX",,0.0078,,"EDGAR MFP-2"
"2020-02-01","MCSXX",,0.0078,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","MCSXX",,0.0078,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","MCSXX",,0.00826,,"moneymarket.fun"
"2020-02-04","MCSXX",,0.00835,,"moneymarket.fun"
"2020-02-05","MCSXX",,0.00843,,"moneymarket.fun"
"2020-02-06","MCSXX",,0.00843,,"moneymarket.fun"
"2020-02-07","MCSXX",,0.00842,,"moneymarket.fun"
"2020-02-08","MCSXX",,0.00842,,"gapFiller (moneymarket.fun)"
"2020-02-09","MCSXX",,0.00842,,"gapFiller (moneymarket.fun)"
"2020-02-10","MCSXX",,0.00845,,"moneymarket.fun"
"2020-02-11","MCSXX",,0.00851,,"moneymarket.fun"
"2020-02-12","MCSXX",,0.0086,,"moneymarket.fun"
"2020-02-13","MCSXX",,0.00873,,"moneymarket.fun"
"2020-02-14","MCSXX",,0.00939,,"moneymarket.fun"
"2020-02-15","MCSXX",,0.00939,,"gapFiller (moneymarket.fun)"
"2020-02-16","MCSXX",,0.00939,,"gapFiller (moneymarket.fun)"
"2020-02-17","MCSXX",,0.00939,,"gapFiller (moneymarket.fun)"
"2020-02-18","MCSXX",,0.00953,,"moneymarket.fun"
"2020-02-19","MCSXX",,0.00963,,"moneymarket.fun"
"2020-02-20","MCSXX",,0.0097,,"moneymarket.fun"
"2020-02-21","MCSXX",,0.00974,,"moneymarket.fun"
"2020-02-22","MCSXX",,0.00974,,"gapFiller (moneymarket.fun)"
"2020-02-23","MCSXX",,0.00974,,"gapFiller (moneymarket.fun)"
"2020-02-24","MCSXX",,0.00971,,"moneymarket.fun"
"2020-02-25","MCSXX",,0.0097,,"moneymarket.fun"
"2020-02-26","MCSXX",,0.00971,,"moneymarket.fun"
"2020-02-27","MCSXX",,0.00966,,"moneymarket.fun"
"2020-02-28","MCSXX",,0.00965,,"moneymarket.fun"
"2020-02-29","MCSXX",,0.0097,,"EDGAR MFP-2"
"2020-03-01","MCSXX",,0.0097,,"gapFiller (EDGAR MFP-2)"
"2020-03-02","MCSXX",,0.00969,,"moneymarket.fun"
"2020-03-03","MCSXX",,0.00973,,"moneymarket.fun"
"2020-03-04","MCSXX",,0.00978,,"moneymarket.fun"
"2020-03-05","MCSXX",,0.00991,,"moneymarket.fun"
"2020-03-06","MCSXX",,0.01011,,"moneymarket.fun"
"2020-03-07","MCSXX",,0.01011,,"gapFiller (moneymarket.fun)"
"2020-03-08","MCSXX",,0.01011,,"gapFiller (moneymarket.fun)"
"2020-03-09","MCSXX",,0.01011,,"moneymarket.fun"
"2020-03-10","MCSXX",,0.01013,,"moneymarket.fun"
"2020-03-11","MCSXX",,0.01015,,"moneymarket.fun"
"2020-03-12","MCSXX",,0.01017,,"moneymarket.fun"
"2020-03-13","MCSXX",,0.01055,,"moneymarket.fun"
"2020-03-14","MCSXX",,0.01055,,"gapFiller (moneymarket.fun)"
"2020-03-15","MCSXX",,0.01055,,"gapFiller (moneymarket.fun)"
"2020-03-16","MCSXX",,0.01094,,"moneymarket.fun"
"2020-03-17","MCSXX",,0.01163,,"moneymarket.fun"
"2020-03-18","MCSXX",,0.0138,,"moneymarket.fun"
