asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2019-12-31","MSUXX",,0.0149,,"EDGAR MFP-2"
"2020-01-02","MSUXX",,0.014828,,"deep"
"2020-01-03","MSUXX",,0.014783,,"deep"
"2020-01-04","MSUXX",,0.014783,,"gapFiller (deep)"
"2020-01-05","MSUXX",,0.014783,,"gapFiller (deep)"
"2020-01-06","MSUXX",,0.014641,,"deep"
"2020-01-07","MSUXX",,0.014625,,"deep"
"2020-01-08","MSUXX",,0.014609,,"deep"
"2020-01-09","MSUXX",,0.014583,,"deep"
"2020-01-10","MSUXX",,0.014558,,"deep"
"2020-01-11","MSUXX",,0.014558,,"gapFiller (deep)"
"2020-01-12","MSUXX",,0.014558,,"gapFiller (deep)"
"2020-01-13","MSUXX",,0.014489,,"deep"
"2020-01-14","MSUXX",,0.014476,,"deep"
"2020-01-15","MSUXX",,0.014458,,"deep"
"2020-01-16","MSUXX",,0.014462,,"deep"
"2020-01-17","MSUXX",,0.014467,,"deep"
"2020-01-18","MSUXX",,0.014467,,"gapFiller (deep)"
"2020-01-19","MSUXX",,0.014467,,"gapFiller (deep)"
"2020-01-20","MSUXX",,0.014467,,"gapFiller (deep)"
"2020-01-21","MSUXX",,0.014479,,"deep"
"2020-01-22","MSUXX",,0.014485,,"deep"
"2020-01-23","MSUXX",,0.014474,,"deep"
"2020-01-24","MSUXX",,0.014463,,"deep"
"2020-01-25","MSUXX",,0.014463,,"gapFiller (deep)"
"2020-01-26","MSUXX",,0.014463,,"gapFiller (deep)"
"2020-01-27","MSUXX",,0.014429,,"deep"
"2020-01-28","MSUXX",,0.014408,,"deep"
"2020-01-29","MSUXX",,0.014388,,"deep"
"2020-01-30","MSUXX",,0.014378,,"deep"
"2020-01-31","MSUXX",,0.0144,,"EDGAR MFP-2"
"2020-02-01","MSUXX",,0.0144,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","MSUXX",,0.0144,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","MSUXX",,0.014267,,"deep"
"2020-02-04","MSUXX",,0.014257,,"deep"
"2020-02-05","MSUXX",,0.014248,,"deep"
"2020-02-06","MSUXX",,0.014242,,"deep"
"2020-02-07","MSUXX",,0.01425,,"deep"
"2020-02-08","MSUXX",,0.01425,,"gapFiller (deep)"
"2020-02-09","MSUXX",,0.01425,,"gapFiller (deep)"
"2020-02-10","MSUXX",,0.01428,,"deep"
"2020-02-11","MSUXX",,0.014284,,"deep"
"2020-02-12","MSUXX",,0.014287,,"deep"
"2020-02-13","MSUXX",,0.014292,,"deep"
"2020-02-14","MSUXX",,0.014295,,"deep"
"2020-02-15","MSUXX",,0.014295,,"gapFiller (deep)"
"2020-02-16","MSUXX",,0.014295,,"gapFiller (deep)"
"2020-02-17","MSUXX",,0.014295,,"gapFiller (deep)"
"2020-02-18","MSUXX",,0.014303,,"deep"
"2020-02-19","MSUXX",,0.014299,,"deep"
"2020-02-20","MSUXX",,0.014296,,"deep"
"2020-02-21","MSUXX",,0.014294,,"deep"
"2020-02-22","MSUXX",,0.014294,,"gapFiller (deep)"
"2020-02-23","MSUXX",,0.014294,,"gapFiller (deep)"
"2020-02-24","MSUXX",,0.014287,,"deep"
"2020-02-25","MSUXX",,0.014274,,"deep"
"2020-02-26","MSUXX",,0.014259,,"deep"
"2020-02-27","MSUXX",,0.014239,,"deep"
"2020-02-28","MSUXX",,0.014202,,"deep"
"2020-02-29","MSUXX",,0.0142,,"EDGAR MFP-2"
"2020-03-01","MSUXX",,0.0142,,"gapFiller (EDGAR MFP-2)"
"2020-03-02","MSUXX",,0.0141,,"deep"
"2020-03-03","MSUXX",,0.013945,,"deep"
"2020-03-04","MSUXX",,0.013788,,"deep"
"2020-03-05","MSUXX",,0.013625,,"deep"
"2020-03-06","MSUXX",,0.013468,,"deep"
"2020-03-07","MSUXX",,0.013468,,"gapFiller (deep)"
"2020-03-08","MSUXX",,0.013468,,"gapFiller (deep)"
"2020-03-09","MSUXX",,0.012946,,"deep"
"2020-03-10","MSUXX",,0.012529,,"deep"
"2020-03-11","MSUXX",,0.012108,,"deep"
"2020-03-12","MSUXX",,0.01158,,"deep"
"2020-03-13","MSUXX",,0.011013,,"deep"
"2020-03-14","MSUXX",,0.011013,,"gapFiller (deep)"
"2020-03-15","MSUXX",,0.011013,,"gapFiller (deep)"
"2020-03-16","MSUXX",,0.00937,,"deep"
"2020-03-17","MSUXX",,0.009003,,"deep"
"2020-03-18","MSUXX",,0.008686,,"deep"
"2020-03-19","MSUXX",,0.00842,,"deep"
"2020-03-20","MSUXX",,0.00816,,"deep"
"2020-03-21","MSUXX",,0.00816,,"gapFiller (deep)"
"2020-03-22","MSUXX",,0.00816,,"gapFiller (deep)"
"2020-03-23","MSUXX",,0.007322,,"deep"
"2020-03-24","MSUXX",,0.00692,,"deep"
"2020-03-25","MSUXX",,0.006471,,"deep"
"2020-03-26","MSUXX",,0.006058,,"deep"
"2020-03-27","MSUXX",,0.005661,,"deep"
"2020-03-28","MSUXX",,0.005661,,"gapFiller (deep)"
"2020-03-29","MSUXX",,0.005661,,"gapFiller (deep)"
"2020-03-30","MSUXX",,0.004489,,"deep"
"2020-03-31","MSUXX",,0.0043,,"EDGAR MFP-2"
"2020-04-01","MSUXX",,0.004085,,"deep"
"2020-04-02","MSUXX",,0.003896,,"deep"
"2020-04-03","MSUXX",,0.003741,,"deep"
"2020-04-04","MSUXX",,0.003741,,"gapFiller (deep)"
"2020-04-05","MSUXX",,0.003741,,"gapFiller (deep)"
"2020-04-06","MSUXX",,0.003288,,"deep"
"2020-04-07","MSUXX",,0.00326,,"deep"
"2020-04-08","MSUXX",,0.003244,,"deep"
"2020-04-09","MSUXX",,0.003234,,"deep"
"2020-04-10","MSUXX",,0.003234,,"gapFiller (deep)"
"2020-04-11","MSUXX",,0.003234,,"gapFiller (deep)"
"2020-04-12","MSUXX",,0.003234,,"gapFiller (deep)"
"2020-04-13","MSUXX",,0.003181,,"deep"
"2020-04-14","MSUXX",,0.003149,,"deep"
"2020-04-15","MSUXX",,0.003094,,"deep"
"2020-04-16","MSUXX",,0.003033,,"deep"
"2020-04-17","MSUXX",,0.002973,,"deep"
"2020-04-18","MSUXX",,0.002973,,"gapFiller (deep)"
"2020-04-19","MSUXX",,0.002973,,"gapFiller (deep)"
"2020-04-20","MSUXX",,0.002799,,"deep"
"2020-04-21","MSUXX",,0.00272,,"deep"
"2020-04-22","MSUXX",,0.002662,,"deep"
"2020-04-23","MSUXX",,0.002595,,"deep"
"2020-04-24","MSUXX",,0.002531,,"deep"
"2020-04-25","MSUXX",,0.002531,,"gapFiller (deep)"
"2020-04-26","MSUXX",,0.002531,,"gapFiller (deep)"
"2020-04-27","MSUXX",,0.002324,,"deep"
