asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2023-05-31","PNPXX",,0.0479,,"EDGAR MFP-2"
"2023-06-01","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-02","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-03","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-04","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-05","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-06","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-07","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-08","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-09","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-10","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-11","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-12","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-13","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-14","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-15","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-16","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-17","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-18","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-19","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-20","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-21","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-22","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-23","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-24","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-25","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-26","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-27","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-28","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-29","PNPXX",,0.0479,,"gapFiller (EDGAR MFP-2)"
"2023-06-30","PNPXX",,0.0484,,"EDGAR MFP-2"
"2023-07-01","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-02","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-03","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-04","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-05","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-06","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-07","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-08","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-09","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-10","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-11","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-12","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-13","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-14","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-15","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-16","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-17","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-18","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-19","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-20","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-21","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-22","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-23","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-24","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-25","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-26","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-27","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-28","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-29","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-30","PNPXX",,0.0484,,"gapFiller (EDGAR MFP-2)"
"2023-07-31","PNPXX",,0.0494,,"EDGAR MFP-2"
"2023-08-01","PNPXX",,0.0494,,"gapFiller (EDGAR MFP-2)"
"2023-08-02","PNPXX",,0.0494,,"gapFiller (EDGAR MFP-2)"
"2023-08-03","PNPXX",,0.0494,,"gapFiller (EDGAR MFP-2)"
"2023-08-04","PNPXX",,0.0494,,"gapFiller (EDGAR MFP-2)"
"2023-08-05","PNPXX",,0.0494,,"gapFiller (EDGAR MFP-2)"
"2023-08-06","PNPXX",,0.0494,,"gapFiller (EDGAR MFP-2)"
"2023-08-07","PNPXX",,0.0494,,"gapFiller (EDGAR MFP-2)"
"2023-08-08","PNPXX",,0.0494,,"gapFiller (EDGAR MFP-2)"
"2023-08-09","PNPXX",,0.0494,,"gapFiller (EDGAR MFP-2)"
"2023-08-10","PNPXX",,0.0494,,"gapFiller (EDGAR MFP-2)"
