asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2024-08-13","PSFXX",,0.0149,,"EDGAR MFP-3"
"2024-08-14","PSFXX",,0.0223,,"EDGAR MFP-3"
"2024-08-15","PSFXX",,0.0297,,"EDGAR MFP-3"
"2024-08-16","PSFXX",,0.0371,,"EDGAR MFP-3"
"2024-08-17","PSFXX",,0.0371,,"gapFiller (EDGAR MFP-3)"
"2024-08-18","PSFXX",,0.0371,,"gapFiller (EDGAR MFP-3)"
"2024-08-19","PSFXX",,0.0519,,"EDGAR MFP-3"
"2024-08-20","PSFXX",,0.0519,,"EDGAR MFP-3"
"2024-08-21","PSFXX",,0.0519,,"EDGAR MFP-3"
"2024-08-22","PSFXX",,0.0519,,"EDGAR MFP-3"
"2024-08-23","PSFXX",,0.0519,,"EDGAR MFP-3"
"2024-08-24","PSFXX",,0.0519,,"gapFiller (EDGAR MFP-3)"
"2024-08-25","PSFXX",,0.0519,,"gapFiller (EDGAR MFP-3)"
"2024-08-26","PSFXX",,0.0519,,"EDGAR MFP-3"
"2024-08-27","PSFXX",,0.0519,,"EDGAR MFP-3"
"2024-08-28","PSFXX",,0.0519,,"EDGAR MFP-3"
"2024-08-29","PSFXX",,0.0519,,"EDGAR MFP-3"
"2024-08-30","PSFXX",,0.0519,,"EDGAR MFP-3"
"2024-08-31","PSFXX",,0.0519,,"gapFiller (EDGAR MFP-3)"
"2024-09-01","PSFXX",,0.0519,,"gapFiller (EDGAR MFP-3)"
"2024-09-02","PSFXX",,0.0519,,"gapFiller (EDGAR MFP-3)"
"2024-09-03","PSFXX",,0.0519,,"gapFiller (EDGAR MFP-3)"
"2024-09-04","PSFXX",,0.0517,,"EDGAR MFP-3"
"2024-09-05","PSFXX",,0.0517,,"EDGAR MFP-3"
"2024-09-06","PSFXX",,0.0517,,"EDGAR MFP-3"
"2024-09-07","PSFXX",,0.0517,,"gapFiller (EDGAR MFP-3)"
"2024-09-08","PSFXX",,0.0517,,"gapFiller (EDGAR MFP-3)"
"2024-09-09","PSFXX",,0.0516,,"EDGAR MFP-3"
"2024-09-10","PSFXX",,0.0516,,"EDGAR MFP-3"
"2024-09-11","PSFXX",,0.0515,,"EDGAR MFP-3"
"2024-09-12","PSFXX",,0.0515,,"EDGAR MFP-3"
"2024-09-13","PSFXX",,0.0514,,"EDGAR MFP-3"
"2024-09-14","PSFXX",,0.0514,,"gapFiller (EDGAR MFP-3)"
"2024-09-15","PSFXX",,0.0514,,"gapFiller (EDGAR MFP-3)"
"2024-09-16","PSFXX",,0.0513,,"EDGAR MFP-3"
"2024-09-17","PSFXX",,0.0513,,"EDGAR MFP-3"
"2024-09-18","PSFXX",,0.0512,,"EDGAR MFP-3"
"2024-09-19","PSFXX",,0.051,,"EDGAR MFP-3"
"2024-09-20","PSFXX",,0.0506,,"EDGAR MFP-3"
"2024-09-21","PSFXX",,0.0506,,"gapFiller (EDGAR MFP-3)"
"2024-09-22","PSFXX",,0.0506,,"gapFiller (EDGAR MFP-3)"
"2024-09-23","PSFXX",,0.0494,,"EDGAR MFP-3"
"2024-09-24","PSFXX",,0.049,,"EDGAR MFP-3"
"2024-09-25","PSFXX",,0.0486,,"EDGAR MFP-3"
"2024-09-26","PSFXX",,0.0484,,"EDGAR MFP-3"
"2024-09-27","PSFXX",,0.0484,,"EDGAR MFP-3"
"2024-09-28","PSFXX",,0.0484,,"gapFiller (EDGAR MFP-3)"
"2024-09-29","PSFXX",,0.0484,,"gapFiller (EDGAR MFP-3)"
"2024-09-30","PSFXX",,0.0483,,"EDGAR MFP-3"
