asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-10-01","SCAXX",,0.00001,,"gapFiller"
"2020-10-01","SCAXX",,0.00001,,"gapFiller"
"2020-10-01","SCAXX",,0.00001,,"gapFiller"
"2020-10-02","SCAXX",,0.0001,,"gapFiller"
"2020-10-03","SCAXX",,0.0001,,"gapFiller"
"2020-10-04","SCAXX",,0.0001,,"moneymarket.fun"
"2020-10-05","SCAXX",,0.0001,,"moneymarket.fun"
"2020-10-09","SCAXX",,0.0001,,"gapFiller"
"2020-10-09","SCAXX",,0.0001,,"gapFiller"
"2020-10-09","SCAXX",,0.0001,,"gapFiller"
"2020-10-09","SCAXX",,0.0001,,"gapFiller"
"2020-10-11","SCAXX",,0.0001,,"gapFiller"
"2020-10-11","SCAXX",,0.0001,,"gapFiller"
"2020-10-12","SCAXX",,0.0001,,"gapFiller"
"2020-10-15","SCAXX",,0.0001,,"gapFiller"
"2020-10-15","SCAXX",,0.0001,,"gapFiller"
"2020-10-15","SCAXX",,0.0001,,"gapFiller"
"2020-10-16","SCAXX",,0.0001,,"gapFiller"
"2020-10-18","SCAXX",,0.0001,,"gapFiller"
"2020-10-18","SCAXX",,0.0001,,"gapFiller"
"2020-10-19","SCAXX",,0.0001,,"gapFiller"
"2020-10-22","SCAXX",,0.0001,,"gapFiller"
"2020-10-22","SCAXX",,0.0001,,"gapFiller"
"2020-10-22","SCAXX",,0.0001,,"gapFiller"
"2020-10-23","SCAXX",,0.0001,,"gapFiller"
"2020-10-25","SCAXX",,0.0001,,"gapFiller"
"2020-10-25","SCAXX",,0.0001,,"gapFiller"
"2020-10-29","SCAXX",,0.0001,,"gapFiller"
"2020-10-29","SCAXX",,0.0001,,"gapFiller"
"2020-10-29","SCAXX",,0.0001,,"gapFiller"
"2020-10-29","SCAXX",,0.0001,,"gapFiller"
"2020-10-30","SCAXX",,0.0001,,"gapFiller"
"2020-11-01","SCAXX",,0.0001,,"gapFiller"
"2020-11-01","SCAXX",,0.0001,,"gapFiller"
"2020-11-02","SCAXX",,0.0001,,"gapFiller"
"2020-11-05","SCAXX",,0.0001,,"gapFiller"
"2020-11-05","SCAXX",,0.0001,,"gapFiller"
"2020-11-05","SCAXX",,0.0001,,"gapFiller"
"2020-11-06","SCAXX",,0.0001,,"gapFiller"
"2020-11-12","SCAXX",,0.0001,,"gapFiller"
"2020-11-12","SCAXX",,0.0001,,"gapFiller"
"2020-11-12","SCAXX",,0.0001,,"gapFiller"
"2020-11-12","SCAXX",,0.0001,,"gapFiller"
"2020-11-12","SCAXX",,0.0001,,"gapFiller"
"2020-11-12","SCAXX",,0.0001,,"gapFiller"
"2020-11-13","SCAXX",,0.0001,,"gapFiller"
"2020-11-15","SCAXX",,0.0001,,"gapFiller"
"2020-11-15","SCAXX",,0.0001,,"gapFiller"
"2020-11-16","SCAXX",,0.0001,,"gapFiller"
"2020-11-19","SCAXX",,0.0001,,"gapFiller"
"2020-11-19","SCAXX",,0.0001,,"gapFiller"
"2020-11-19","SCAXX",,0.0001,,"gapFiller"
"2020-11-20","SCAXX",,0.0001,,"gapFiller"
"2020-11-23","SCAXX",,0.0001,,"gapFiller"
"2020-11-23","SCAXX",,0.0001,,"gapFiller"
"2020-11-23","SCAXX",,0.0001,,"gapFiller"
"2020-11-26","SCAXX",,0.0001,,"gapFiller"
"2020-11-26","SCAXX",,0.0001,,"gapFiller"
"2020-11-26","SCAXX",,0.0001,,"gapFiller"
"2020-11-27","SCAXX",,0.0001,,"gapFiller"
"2020-11-29","SCAXX",,0.0001,,"gapFiller"
"2020-11-29","SCAXX",,0.0001,,"gapFiller"
"2020-11-30","SCAXX",,0.0001,,"gapFiller"
"2020-12-03","SCAXX",,0.0001,,"gapFiller"
"2020-12-03","SCAXX",,0.0001,,"gapFiller"
"2020-12-03","SCAXX",,0.0001,,"gapFiller"
"2020-12-04","SCAXX",,0.0001,,"gapFiller"
"2020-12-06","SCAXX",,0.0001,,"gapFiller"
"2020-12-06","SCAXX",,0.0001,,"gapFiller"
"2020-12-07","SCAXX",,0.0001,,"gapFiller"
"2020-12-10","SCAXX",,0.0001,,"gapFiller"
"2020-12-10","SCAXX",,0.0001,,"gapFiller"
"2020-12-10","SCAXX",,0.0001,,"gapFiller"
"2020-12-11","SCAXX",,0.0001,,"gapFiller"
"2020-12-13","SCAXX",,0.0001,,"gapFiller"
"2020-12-13","SCAXX",,0.0001,,"gapFiller"
"2020-12-14","SCAXX",,0.0001,,"gapFiller"
"2020-12-17","SCAXX",,0.0001,,"gapFiller"
"2020-12-17","SCAXX",,0.0001,,"gapFiller"
"2020-12-17","SCAXX",,0.0001,,"gapFiller"
"2020-12-18","SCAXX",,0.0001,,"gapFiller"
"2020-12-20","SCAXX",,0.0001,,"gapFiller"
"2020-12-20","SCAXX",,0.0001,,"gapFiller"
"2020-12-24","SCAXX",,0.0001,,"gapFiller"
"2020-12-24","SCAXX",,0.0001,,"gapFiller"
"2020-12-24","SCAXX",,0.0001,,"gapFiller"
"2020-12-24","SCAXX",,0.0001,,"gapFiller"
"2020-12-25","SCAXX",,0.0001,,"gapFiller"
"2020-12-26","SCAXX",,0.0001,,"gapFiller"
"2020-12-27","SCAXX",,0.0001,,"moneymarket.fun"
"2020-12-31","SCAXX",,0.0001,,"gapFiller"
"2020-12-31","SCAXX",,0.0001,,"gapFiller"
"2020-12-31","SCAXX",,0.0001,,"gapFiller"
"2020-12-31","SCAXX",,0.0001,,"gapFiller"
"2021-01-01","SCAXX",,0.0001,,"gapFiller"
"2021-01-03","SCAXX",,0.0001,,"gapFiller"
"2021-01-03","SCAXX",,0.0001,,"gapFiller"
"2021-01-04","SCAXX",,0.0001,,"gapFiller"
"2021-01-07","SCAXX",,0.0001,,"gapFiller"
"2021-01-07","SCAXX",,0.0001,,"gapFiller"
"2021-01-07","SCAXX",,0.0001,,"gapFiller"
"2021-01-08","SCAXX",,0.0001,,"gapFiller"
"2021-01-10","SCAXX",,0.0001,,"gapFiller"
"2021-01-10","SCAXX",,0.0001,,"gapFiller"
"2021-01-11","SCAXX",,0.0001,,"gapFiller"
"2021-01-15","SCAXX",,0.0001,,"gapFiller"
"2021-01-15","SCAXX",,0.0001,,"gapFiller"
"2021-01-15","SCAXX",,0.0001,,"gapFiller"
"2021-01-15","SCAXX",,0.0001,,"gapFiller"
"2021-01-17","SCAXX",,0.0001,,"gapFiller"
"2021-01-17","SCAXX",,0.0001,,"gapFiller"
"2021-01-18","SCAXX",,0.0001,,"gapFiller"
"2021-01-21","SCAXX",,0.0001,,"gapFiller"
"2021-01-21","SCAXX",,0.0001,,"gapFiller"
"2021-01-21","SCAXX",,0.0001,,"gapFiller"
"2021-01-22","SCAXX",,0.0001,,"gapFiller"
"2021-01-24","SCAXX",,0.0001,,"gapFiller"
"2021-01-24","SCAXX",,0.0001,,"gapFiller"
"2021-01-25","SCAXX",,0.0001,,"gapFiller"
"2021-01-28","SCAXX",,0.0001,,"gapFiller"
"2021-01-28","SCAXX",,0.0001,,"gapFiller"
"2021-01-28","SCAXX",,0.0001,,"gapFiller"
"2021-01-29","SCAXX",,0.0001,,"gapFiller"
"2021-01-31","SCAXX",,0.0001,,"gapFiller"
"2021-01-31","SCAXX",,0.0001,,"gapFiller"
"2021-02-01","SCAXX",,0.0001,,"gapFiller"
"2021-02-04","SCAXX",,0.0001,,"gapFiller"
"2021-02-04","SCAXX",,0.0001,,"gapFiller"
"2021-02-04","SCAXX",,0.0001,,"gapFiller"
"2021-02-05","SCAXX",,0.0001,,"gapFiller"
"2021-02-07","SCAXX",,0.0001,,"gapFiller"
"2021-02-07","SCAXX",,0.0001,,"gapFiller"
"2021-02-08","SCAXX",,0.0001,,"gapFiller"
"2021-02-12","SCAXX",,0.0001,,"gapFiller"
"2021-02-12","SCAXX",,0.0001,,"gapFiller"
"2021-02-12","SCAXX",,0.0001,,"gapFiller"
"2021-02-12","SCAXX",,0.0001,,"gapFiller"
"2021-02-14","SCAXX",,0.0001,,"gapFiller"
"2021-02-14","SCAXX",,0.0001,,"gapFiller"
"2021-02-15","SCAXX",,0.0001,,"gapFiller"
"2021-02-18","SCAXX",,0.0001,,"gapFiller"
"2021-02-18","SCAXX",,0.0001,,"gapFiller"
"2021-02-18","SCAXX",,0.0001,,"gapFiller"
"2021-02-19","SCAXX",,0.0001,,"gapFiller"
"2021-02-21","SCAXX",,0.0001,,"gapFiller"
"2021-02-21","SCAXX",,0.0001,,"gapFiller"
"2021-02-22","SCAXX",,0.0001,,"gapFiller"
"2021-02-25","SCAXX",,0.0001,,"gapFiller"
"2021-02-25","SCAXX",,0.0001,,"gapFiller"
"2021-02-25","SCAXX",,0.0001,,"gapFiller"
