asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-01-02","SNAXX",,0.01681,,"moneymarket.fun"
"2020-01-03","SNAXX",,0.01679,,"moneymarket.fun"
"2020-01-04","SNAXX",,0.01679,,"gapFiller (moneymarket.fun)"
"2020-01-05","SNAXX",,0.01679,,"gapFiller (moneymarket.fun)"
"2020-01-06","SNAXX",,0.01677,,"moneymarket.fun"
"2020-01-07","SNAXX",,0.01673,,"moneymarket.fun"
"2020-01-08","SNAXX",,0.0167,,"moneymarket.fun"
"2020-01-09","SNAXX",,0.01667,,"moneymarket.fun"
"2020-01-10","SNAXX",,0.01659,,"moneymarket.fun"
"2020-01-11","SNAXX",,0.01659,,"gapFiller (moneymarket.fun)"
"2020-01-12","SNAXX",,0.01659,,"gapFiller (moneymarket.fun)"
"2020-01-13","SNAXX",,0.01657,,"moneymarket.fun"
"2020-01-14","SNAXX",,0.01656,,"moneymarket.fun"
"2020-01-15","SNAXX",,0.01655,,"moneymarket.fun"
"2020-01-16","SNAXX",,0.01653,,"moneymarket.fun"
"2020-01-17","SNAXX",,0.01645,,"moneymarket.fun"
"2020-01-18","SNAXX",,0.01645,,"gapFiller (moneymarket.fun)"
"2020-01-19","SNAXX",,0.01645,,"gapFiller (moneymarket.fun)"
"2020-01-20","SNAXX",,0.01645,,"gapFiller (moneymarket.fun)"
"2020-01-21","SNAXX",,0.01644,,"moneymarket.fun"
"2020-01-22","SNAXX",,0.01643,,"moneymarket.fun"
"2020-01-23","SNAXX",,0.01641,,"moneymarket.fun"
"2020-01-24","SNAXX",,0.01636,,"moneymarket.fun"
"2020-01-25","SNAXX",,0.01636,,"gapFiller (moneymarket.fun)"
"2020-01-26","SNAXX",,0.01636,,"gapFiller (moneymarket.fun)"
"2020-01-27","SNAXX",,0.01634,,"moneymarket.fun"
"2020-01-28","SNAXX",,0.01633,,"moneymarket.fun"
"2020-01-29","SNAXX",,0.0163,,"moneymarket.fun"
"2020-01-30","SNAXX",,0.0163,,"moneymarket.fun"
"2020-01-31","SNAXX",,0.0163,,"EDGAR MFP-2"
"2020-02-01","SNAXX",,0.0163,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","SNAXX",,0.0163,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","SNAXX",,0.01635,,"moneymarket.fun"
"2020-02-04","SNAXX",,0.01634,,"moneymarket.fun"
"2020-02-05","SNAXX",,0.01635,,"moneymarket.fun"
"2020-02-06","SNAXX",,0.01635,,"moneymarket.fun"
"2020-02-07","SNAXX",,0.01631,,"moneymarket.fun"
"2020-02-08","SNAXX",,0.01631,,"gapFiller (moneymarket.fun)"
"2020-02-09","SNAXX",,0.01631,,"gapFiller (moneymarket.fun)"
"2020-02-10","SNAXX",,0.0163,,"moneymarket.fun"
"2020-02-11","SNAXX",,0.01629,,"moneymarket.fun"
"2020-02-12","SNAXX",,0.01627,,"moneymarket.fun"
"2020-02-13","SNAXX",,0.01624,,"moneymarket.fun"
"2020-02-14","SNAXX",,0.01616,,"moneymarket.fun"
"2020-02-15","SNAXX",,0.01616,,"gapFiller (moneymarket.fun)"
"2020-02-16","SNAXX",,0.01616,,"gapFiller (moneymarket.fun)"
"2020-02-17","SNAXX",,0.01616,,"gapFiller (moneymarket.fun)"
"2020-02-18","SNAXX",,0.01614,,"moneymarket.fun"
"2020-02-19","SNAXX",,0.01613,,"moneymarket.fun"
"2020-02-20","SNAXX",,0.01612,,"moneymarket.fun"
"2020-02-21","SNAXX",,0.01607,,"moneymarket.fun"
