asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-09-24","SNYXX",,0.00006,,"moneymarket.fun"
"2020-09-25","SNYXX",,0.00006,,"gapFiller (moneymarket.fun)"
"2020-09-26","SNYXX",,0.00006,,"gapFiller (moneymarket.fun)"
"2020-09-27","SNYXX",,0.00006,,"gapFiller (moneymarket.fun)"
"2020-09-28","SNYXX",,0.00006,,"gapFiller (moneymarket.fun)"
"2020-09-29","SNYXX",,0.00006,,"gapFiller (moneymarket.fun)"
"2020-09-30","SNYXX",,0.0005,,"EDGAR MFP-2"
"2020-10-01","SNYXX",,0.00044,,"moneymarket.fun"
"2020-10-02","SNYXX",,0.0004,,"moneymarket.fun"
"2020-10-03","SNYXX",,0.0004,,"gapFiller (moneymarket.fun)"
"2020-10-04","SNYXX",,0.0004,,"gapFiller (moneymarket.fun)"
"2020-10-05","SNYXX",,0.00038,,"moneymarket.fun"
"2020-10-06","SNYXX",,0.00037,,"moneymarket.fun"
"2020-10-07","SNYXX",,0.00035,,"moneymarket.fun"
"2020-10-08","SNYXX",,0.00037,,"moneymarket.fun"
"2020-10-09","SNYXX",,0.00044,,"moneymarket.fun"
"2020-10-10","SNYXX",,0.00044,,"gapFiller (moneymarket.fun)"
"2020-10-11","SNYXX",,0.00044,,"gapFiller (moneymarket.fun)"
"2020-10-12","SNYXX",,0.00044,,"gapFiller (moneymarket.fun)"
"2020-10-13","SNYXX",,0.00046,,"moneymarket.fun"
"2020-10-14","SNYXX",,0.00046,,"gapFiller (moneymarket.fun)"
"2020-10-15","SNYXX",,0.0005,,"moneymarket.fun"
"2020-10-16","SNYXX",,0.0005,,"moneymarket.fun"
"2020-10-17","SNYXX",,0.0005,,"gapFiller (moneymarket.fun)"
"2020-10-18","SNYXX",,0.0005,,"gapFiller (moneymarket.fun)"
"2020-10-19","SNYXX",,0.0005,,"moneymarket.fun"
"2020-10-20","SNYXX",,0.00049,,"moneymarket.fun"
"2020-10-21","SNYXX",,0.00049,,"gapFiller (moneymarket.fun)"
"2020-10-22","SNYXX",,0.00048,,"moneymarket.fun"
"2020-10-23","SNYXX",,0.0005,,"moneymarket.fun"
"2020-10-24","SNYXX",,0.0005,,"gapFiller (moneymarket.fun)"
"2020-10-25","SNYXX",,0.0005,,"gapFiller (moneymarket.fun)"
"2020-10-26","SNYXX",,0.00051,,"moneymarket.fun"
"2020-10-27","SNYXX",,0.00051,,"moneymarket.fun"
"2020-10-28","SNYXX",,0.00051,,"gapFiller (moneymarket.fun)"
"2020-10-29","SNYXX",,0.0005,,"moneymarket.fun"
"2020-10-30","SNYXX",,0.0005,,"gapFiller (moneymarket.fun)"
"2020-10-31","SNYXX",,0.0005,,"gapFiller (moneymarket.fun)"
"2020-11-01","SNYXX",,0.0005,,"gapFiller (moneymarket.fun)"
"2020-11-02","SNYXX",,0.00044,,"moneymarket.fun"
"2020-11-03","SNYXX",,0.00042,,"moneymarket.fun"
"2020-11-04","SNYXX",,0.00042,,"gapFiller (moneymarket.fun)"
"2020-11-05","SNYXX",,0.00039,,"moneymarket.fun"
"2020-11-06","SNYXX",,0.00034,,"moneymarket.fun"
"2020-11-07","SNYXX",,0.00034,,"gapFiller (moneymarket.fun)"
"2020-11-08","SNYXX",,0.00034,,"gapFiller (moneymarket.fun)"
"2020-11-09","SNYXX",,0.00034,,"moneymarket.fun"
"2020-11-10","SNYXX",,0.00034,,"moneymarket.fun"
"2020-11-11","SNYXX",,0.00034,,"gapFiller (moneymarket.fun)"
"2020-11-12","SNYXX",,0.00034,,"gapFiller (moneymarket.fun)"
"2020-11-13","SNYXX",,0.00034,,"gapFiller (moneymarket.fun)"
"2020-11-14","SNYXX",,0.00034,,"gapFiller (moneymarket.fun)"
"2020-11-15","SNYXX",,0.00034,,"gapFiller (moneymarket.fun)"
"2020-11-16","SNYXX",,0.00037,,"moneymarket.fun"
"2020-11-17","SNYXX",,0.00036,,"moneymarket.fun"
"2020-11-18","SNYXX",,0.00036,,"gapFiller (moneymarket.fun)"
"2020-11-19","SNYXX",,0.00036,,"moneymarket.fun"
"2020-11-20","SNYXX",,0.00033,,"moneymarket.fun"
"2020-11-21","SNYXX",,0.00033,,"gapFiller (moneymarket.fun)"
"2020-11-22","SNYXX",,0.00033,,"gapFiller (moneymarket.fun)"
"2020-11-23","SNYXX",,0.00033,,"moneymarket.fun"
"2020-11-24","SNYXX",,0.00033,,"moneymarket.fun"
"2020-11-25","SNYXX",,0.00033,,"gapFiller (moneymarket.fun)"
"2020-11-26","SNYXX",,0.00033,,"gapFiller (moneymarket.fun)"
"2020-11-27","SNYXX",,0.00037,,"moneymarket.fun"
"2020-11-28","SNYXX",,0.00037,,"gapFiller (moneymarket.fun)"
"2020-11-29","SNYXX",,0.00037,,"gapFiller (moneymarket.fun)"
"2020-11-30","SNYXX",,0.0004,,"EDGAR MFP-2"
"2020-12-01","SNYXX",,0.00038,,"moneymarket.fun"
"2020-12-02","SNYXX",,0.00038,,"gapFiller (moneymarket.fun)"
"2020-12-03","SNYXX",,0.00036,,"moneymarket.fun"
"2020-12-04","SNYXX",,0.00031,,"moneymarket.fun"
"2020-12-05","SNYXX",,0.00031,,"gapFiller (moneymarket.fun)"
"2020-12-06","SNYXX",,0.00031,,"gapFiller (moneymarket.fun)"
"2020-12-07","SNYXX",,0.0003,,"moneymarket.fun"
"2020-12-08","SNYXX",,0.00029,,"moneymarket.fun"
"2020-12-09","SNYXX",,0.00029,,"gapFiller (moneymarket.fun)"
"2020-12-10","SNYXX",,0.00027,,"moneymarket.fun"
"2020-12-11","SNYXX",,0.00024,,"moneymarket.fun"
"2020-12-12","SNYXX",,0.00024,,"gapFiller (moneymarket.fun)"
"2020-12-13","SNYXX",,0.00024,,"gapFiller (moneymarket.fun)"
"2020-12-14","SNYXX",,0.00023,,"moneymarket.fun"
"2020-12-15","SNYXX",,0.00022,,"moneymarket.fun"
"2020-12-16","SNYXX",,0.00022,,"gapFiller (moneymarket.fun)"
"2020-12-17","SNYXX",,0.00022,,"moneymarket.fun"
"2020-12-18","SNYXX",,0.00024,,"moneymarket.fun"
"2020-12-19","SNYXX",,0.00024,,"gapFiller (moneymarket.fun)"
"2020-12-20","SNYXX",,0.00024,,"gapFiller (moneymarket.fun)"
"2020-12-21","SNYXX",,0.00024,,"moneymarket.fun"
"2020-12-22","SNYXX",,0.00024,,"moneymarket.fun"
"2020-12-23","SNYXX",,0.00024,,"gapFiller (moneymarket.fun)"
"2020-12-24","SNYXX",,0.00026,,"moneymarket.fun"
"2020-12-25","SNYXX",,0.00026,,"gapFiller (moneymarket.fun)"
"2020-12-26","SNYXX",,0.00026,,"gapFiller (moneymarket.fun)"
"2020-12-27","SNYXX",,0.00026,,"gapFiller (moneymarket.fun)"
"2020-12-28","SNYXX",,0.00027,,"moneymarket.fun"
"2020-12-29","SNYXX",,0.00027,,"moneymarket.fun"
"2020-12-30","SNYXX",,0.00027,,"moneymarket.fun"
"2020-12-31","SNYXX",,0.00027,,"gapFiller (moneymarket.fun)"
"2021-01-01","SNYXX",,0.00027,,"gapFiller (moneymarket.fun)"
"2021-01-02","SNYXX",,0.00027,,"gapFiller (moneymarket.fun)"
"2021-01-03","SNYXX",,0.00027,,"gapFiller (moneymarket.fun)"
"2021-01-04","SNYXX",,0.00026,,"moneymarket.fun"
"2021-01-05","SNYXX",,0.00025,,"moneymarket.fun"
"2021-01-06","SNYXX",,0.00025,,"gapFiller (moneymarket.fun)"
"2021-01-07","SNYXX",,0.00023,,"moneymarket.fun"
"2021-01-08","SNYXX",,0.00015,,"moneymarket.fun"
"2021-01-09","SNYXX",,0.00015,,"gapFiller (moneymarket.fun)"
"2021-01-10","SNYXX",,0.00015,,"gapFiller (moneymarket.fun)"
"2021-01-11","SNYXX",,0.00014,,"moneymarket.fun"
"2021-01-12","SNYXX",,0.00012,,"moneymarket.fun"
"2021-01-13","SNYXX",,0.00012,,"gapFiller (moneymarket.fun)"
"2021-01-14","SNYXX",,0.0001,,"moneymarket.fun"
"2021-01-15","SNYXX",,0.0001,,"moneymarket.fun"
"2021-01-16","SNYXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2021-01-17","SNYXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2021-01-18","SNYXX",,0.0001,,"gapFiller (moneymarket.fun)"
