asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2019-12-31","SPRXX",,0.015,,"EDGAR MFP-2"
"2020-01-02","SPRXX",,0.015,,"moneymarket.fun"
"2020-01-03","SPRXX",,0.015,,"moneymarket.fun"
"2020-01-04","SPRXX",,0.015,,"gapFiller (moneymarket.fun)"
"2020-01-05","SPRXX",,0.015,,"gapFiller (moneymarket.fun)"
"2020-01-06","SPRXX",,0.0149,,"moneymarket.fun"
"2020-01-07","SPRXX",,0.0148,,"moneymarket.fun"
"2020-01-08","SPRXX",,0.0148,,"moneymarket.fun"
"2020-01-09","SPRXX",,0.0148,,"moneymarket.fun"
"2020-01-10","SPRXX",,0.0148,,"moneymarket.fun"
"2020-01-11","SPRXX",,0.0148,,"gapFiller (moneymarket.fun)"
"2020-01-12","SPRXX",,0.0148,,"gapFiller (moneymarket.fun)"
"2020-01-13","SPRXX",,0.0147,,"moneymarket.fun"
"2020-01-14","SPRXX",,0.0147,,"moneymarket.fun"
"2020-01-15","SPRXX",,0.0147,,"moneymarket.fun"
"2020-01-16","SPRXX",,0.0147,,"moneymarket.fun"
"2020-01-17","SPRXX",,0.0147,,"moneymarket.fun"
"2020-01-18","SPRXX",,0.0147,,"gapFiller (moneymarket.fun)"
"2020-01-19","SPRXX",,0.0147,,"gapFiller (moneymarket.fun)"
"2020-01-20","SPRXX",,0.0147,,"gapFiller (moneymarket.fun)"
"2020-01-21","SPRXX",,0.0146,,"moneymarket.fun"
"2020-01-22","SPRXX",,0.0146,,"moneymarket.fun"
"2020-01-23","SPRXX",,0.0145,,"moneymarket.fun"
"2020-01-24","SPRXX",,0.0145,,"moneymarket.fun"
"2020-01-25","SPRXX",,0.0145,,"gapFiller (moneymarket.fun)"
"2020-01-26","SPRXX",,0.0145,,"gapFiller (moneymarket.fun)"
"2020-01-27","SPRXX",,0.0145,,"moneymarket.fun"
"2020-01-28","SPRXX",,0.0145,,"moneymarket.fun"
"2020-01-29","SPRXX",,0.0145,,"moneymarket.fun"
"2020-01-30","SPRXX",,0.0144,,"moneymarket.fun"
"2020-01-31","SPRXX",,0.0144,,"EDGAR MFP-2"
"2020-02-01","SPRXX",,0.0144,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","SPRXX",,0.0144,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","SPRXX",,0.0144,,"moneymarket.fun"
"2020-02-04","SPRXX",,0.0144,,"moneymarket.fun"
"2020-02-05","SPRXX",,0.0144,,"moneymarket.fun"
"2020-02-06","SPRXX",,0.0144,,"moneymarket.fun"
"2020-02-07","SPRXX",,0.0144,,"moneymarket.fun"
"2020-02-08","SPRXX",,0.0144,,"gapFiller (moneymarket.fun)"
"2020-02-09","SPRXX",,0.0144,,"gapFiller (moneymarket.fun)"
"2020-02-10","SPRXX",,0.0143,,"moneymarket.fun"
"2020-02-11","SPRXX",,0.0143,,"moneymarket.fun"
"2020-02-12","SPRXX",,0.0143,,"moneymarket.fun"
"2020-02-13","SPRXX",,0.0142,,"moneymarket.fun"
"2020-02-14","SPRXX",,0.0142,,"moneymarket.fun"
"2020-02-15","SPRXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-02-16","SPRXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-02-17","SPRXX",,0.0142,,"gapFiller (moneymarket.fun)"
"2020-02-18","SPRXX",,0.0142,,"moneymarket.fun"
"2020-02-19","SPRXX",,0.0142,,"moneymarket.fun"
"2020-02-20","SPRXX",,0.0141,,"moneymarket.fun"
"2020-02-21","SPRXX",,0.0141,,"moneymarket.fun"
"2020-02-22","SPRXX",,0.0141,,"gapFiller (moneymarket.fun)"
"2020-02-23","SPRXX",,0.0141,,"gapFiller (moneymarket.fun)"
"2020-02-24","SPRXX",,0.0141,,"moneymarket.fun"
"2020-02-25","SPRXX",,0.0141,,"moneymarket.fun"
"2020-02-26","SPRXX",,0.0141,,"moneymarket.fun"
"2020-02-27","SPRXX",,0.0139,,"moneymarket.fun"
"2020-02-28","SPRXX",,0.0139,,"moneymarket.fun"
"2020-02-29","SPRXX",,0.0138,,"EDGAR MFP-2"
"2020-03-01","SPRXX",,0.0138,,"gapFiller (EDGAR MFP-2)"
"2020-03-02","SPRXX",,0.0138,,"moneymarket.fun"
"2020-03-03","SPRXX",,0.0138,,"moneymarket.fun"
"2020-03-04","SPRXX",,0.0136,,"moneymarket.fun"
"2020-03-05","SPRXX",,0.0133,,"moneymarket.fun"
"2020-03-06","SPRXX",,0.013,,"moneymarket.fun"
"2020-03-07","SPRXX",,0.013,,"gapFiller (moneymarket.fun)"
"2020-03-08","SPRXX",,0.013,,"gapFiller (moneymarket.fun)"
"2020-03-09","SPRXX",,0.0121,,"moneymarket.fun"
"2020-03-10","SPRXX",,0.0117,,"moneymarket.fun"
"2020-03-11","SPRXX",,0.0114,,"moneymarket.fun"
"2020-03-12","SPRXX",,0.0113,,"moneymarket.fun"
"2020-03-13","SPRXX",,0.0111,,"moneymarket.fun"
"2020-03-14","SPRXX",,0.0111,,"gapFiller (moneymarket.fun)"
"2020-03-15","SPRXX",,0.0111,,"gapFiller (moneymarket.fun)"
"2020-03-16","SPRXX",,0.0105,,"moneymarket.fun"
"2020-03-17","SPRXX",,0.0103,,"moneymarket.fun"
"2020-03-18","SPRXX",,0.0098,,"moneymarket.fun"
"2020-03-19","SPRXX",,0.0092,,"moneymarket.fun"
"2020-03-20","SPRXX",,0.0086,,"moneymarket.fun"
"2020-03-21","SPRXX",,0.0086,,"gapFiller (moneymarket.fun)"
"2020-03-22","SPRXX",,0.0086,,"gapFiller (moneymarket.fun)"
"2020-03-23","SPRXX",,0.0069,,"moneymarket.fun"
"2020-03-24","SPRXX",,0.0064,,"moneymarket.fun"
"2020-03-25","SPRXX",,0.0061,,"moneymarket.fun"
"2020-03-26","SPRXX",,0.006,,"moneymarket.fun"
"2020-03-27","SPRXX",,0.0059,,"moneymarket.fun"
"2020-03-28","SPRXX",,0.0059,,"gapFiller (moneymarket.fun)"
"2020-03-29","SPRXX",,0.0059,,"gapFiller (moneymarket.fun)"
"2020-03-30","SPRXX",,0.0055,,"moneymarket.fun"
"2020-03-31","SPRXX",,0.0054,,"EDGAR MFP-2"
"2020-04-01","SPRXX",,0.0052,,"moneymarket.fun"
"2020-04-02","SPRXX",,0.005,,"moneymarket.fun"
"2020-04-03","SPRXX",,0.0048,,"moneymarket.fun"
"2020-04-04","SPRXX",,0.0048,,"gapFiller (moneymarket.fun)"
"2020-04-05","SPRXX",,0.0048,,"gapFiller (moneymarket.fun)"
"2020-04-06","SPRXX",,0.0043,,"moneymarket.fun"
"2020-04-07","SPRXX",,0.0041,,"moneymarket.fun"
"2020-04-08","SPRXX",,0.004,,"moneymarket.fun"
"2020-04-09","SPRXX",,0.004,,"moneymarket.fun"
"2020-04-10","SPRXX",,0.004,,"gapFiller (moneymarket.fun)"
"2020-04-11","SPRXX",,0.004,,"gapFiller (moneymarket.fun)"
"2020-04-12","SPRXX",,0.004,,"gapFiller (moneymarket.fun)"
"2020-04-13","SPRXX",,0.0038,,"moneymarket.fun"
"2020-04-14","SPRXX",,0.0038,,"moneymarket.fun"
"2020-04-15","SPRXX",,0.0038,,"moneymarket.fun"
"2020-04-16","SPRXX",,0.0038,,"moneymarket.fun"
"2020-04-17","SPRXX",,0.0038,,"moneymarket.fun"
"2020-04-18","SPRXX",,0.0038,,"gapFiller (moneymarket.fun)"
"2020-04-19","SPRXX",,0.0038,,"gapFiller (moneymarket.fun)"
"2020-04-20","SPRXX",,0.0038,,"moneymarket.fun"
"2020-04-21","SPRXX",,0.0037,,"moneymarket.fun"
"2020-04-22","SPRXX",,0.0037,,"moneymarket.fun"
"2020-04-23","SPRXX",,0.0036,,"moneymarket.fun"
"2020-04-24","SPRXX",,0.0035,,"moneymarket.fun"
"2020-04-25","SPRXX",,0.0035,,"gapFiller (moneymarket.fun)"
"2020-04-26","SPRXX",,0.0035,,"gapFiller (moneymarket.fun)"
"2020-04-27","SPRXX",,0.0033,,"moneymarket.fun"
"2020-04-28","SPRXX",,0.0032,,"moneymarket.fun"
"2020-04-29","SPRXX",,0.0032,,"moneymarket.fun"
"2020-04-30","SPRXX",,0.0031,,"EDGAR MFP-2"
"2020-05-01","SPRXX",,0.0031,,"moneymarket.fun"
"2020-05-02","SPRXX",,0.0031,,"gapFiller (moneymarket.fun)"
"2020-05-03","SPRXX",,0.0031,,"gapFiller (moneymarket.fun)"
"2020-05-04","SPRXX",,0.003,,"moneymarket.fun"
"2020-05-05","SPRXX",,0.0029,,"moneymarket.fun"
"2020-05-06","SPRXX",,0.0028,,"moneymarket.fun"
"2020-05-07","SPRXX",,0.0028,,"moneymarket.fun"
"2020-05-08","SPRXX",,0.0027,,"moneymarket.fun"
"2020-05-09","SPRXX",,0.0027,,"gapFiller (moneymarket.fun)"
"2020-05-10","SPRXX",,0.0027,,"gapFiller (moneymarket.fun)"
"2020-05-11","SPRXX",,0.0025,,"moneymarket.fun"
"2020-05-12","SPRXX",,0.0024,,"moneymarket.fun"
"2020-05-13","SPRXX",,0.0023,,"moneymarket.fun"
"2020-05-14","SPRXX",,0.0022,,"moneymarket.fun"
"2020-05-15","SPRXX",,0.0022,,"moneymarket.fun"
"2020-05-16","SPRXX",,0.0022,,"gapFiller (moneymarket.fun)"
"2020-05-17","SPRXX",,0.0022,,"gapFiller (moneymarket.fun)"
"2020-05-18","SPRXX",,0.0019,,"moneymarket.fun"
"2020-05-19","SPRXX",,0.0018,,"moneymarket.fun"
"2020-05-20","SPRXX",,0.0016,,"moneymarket.fun"
"2020-05-21","SPRXX",,0.0015,,"moneymarket.fun"
"2020-05-22","SPRXX",,0.0015,,"moneymarket.fun"
"2020-05-23","SPRXX",,0.0015,,"gapFiller (moneymarket.fun)"
"2020-05-24","SPRXX",,0.0015,,"gapFiller (moneymarket.fun)"
"2020-05-25","SPRXX",,0.0015,,"gapFiller (moneymarket.fun)"
"2020-05-26","SPRXX",,0.0008,,"moneymarket.fun"
"2020-05-27","SPRXX",,0.0007,,"moneymarket.fun"
"2020-05-28","SPRXX",,0.0006,,"moneymarket.fun"
"2020-05-29","SPRXX",,0.0006,,"moneymarket.fun"
"2020-05-30","SPRXX",,0.0006,,"gapFiller (moneymarket.fun)"
"2020-05-31","SPRXX",,0.0005,,"EDGAR MFP-2"
"2020-06-01","SPRXX",,0.0004,,"moneymarket.fun"
"2020-06-02","SPRXX",,0.0004,,"moneymarket.fun"
"2020-06-03","SPRXX",,0.0004,,"moneymarket.fun"
"2020-06-04","SPRXX",,0.0004,,"moneymarket.fun"
"2020-06-05","SPRXX",,0.0003,,"moneymarket.fun"
"2020-06-06","SPRXX",,0.0003,,"gapFiller (moneymarket.fun)"
"2020-06-07","SPRXX",,0.0003,,"gapFiller (moneymarket.fun)"
"2020-06-08","SPRXX",,0.0002,,"moneymarket.fun"
"2020-06-09","SPRXX",,0.0002,,"moneymarket.fun"
"2020-06-10","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-11","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-12","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-13","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-06-14","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-06-15","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-16","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-17","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-18","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-19","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-20","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-06-21","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-06-22","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-23","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-24","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-25","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-26","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-27","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-06-28","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-06-29","SPRXX",,0.0001,,"moneymarket.fun"
"2020-06-30","SPRXX",,0.0001,,"EDGAR MFP-2"
"2020-07-01","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-02","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-03","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-07-04","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-07-05","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-07-06","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-07","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-08","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-09","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-10","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-11","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-07-12","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-07-13","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-14","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-15","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-16","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-17","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-18","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-07-19","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-07-20","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-21","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-22","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-23","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-24","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-25","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-07-26","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-07-27","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-28","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-29","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-30","SPRXX",,0.0001,,"moneymarket.fun"
"2020-07-31","SPRXX",,0.0001,,"EDGAR MFP-2"
"2020-08-01","SPRXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-08-02","SPRXX",,0.0001,,"gapFiller (EDGAR MFP-2)"
"2020-08-03","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-04","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-05","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-06","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-07","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-08","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-08-09","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-08-10","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-11","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-12","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-13","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-14","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-15","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-08-16","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-08-17","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-18","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-19","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-20","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-21","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-22","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-08-23","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-08-24","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-25","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-26","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-27","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-28","SPRXX",,0.0001,,"moneymarket.fun"
"2020-08-29","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-08-30","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-08-31","SPRXX",,0.0001,,"EDGAR MFP-2"
"2020-09-01","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-02","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-03","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-04","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-05","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-09-06","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-09-07","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-09-08","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-09","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-10","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-11","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-12","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-09-13","SPRXX",,0.0001,,"gapFiller (moneymarket.fun)"
"2020-09-14","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-15","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-16","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-17","SPRXX",,0.0001,,"moneymarket.fun"
"2020-09-18","SPRXX",,0.0001,,"moneymarket.fun"
