asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-01-02","SWGXX",,0.01103,,"moneymarket.fun"
"2020-01-03","SWGXX",,0.01101,,"moneymarket.fun"
"2020-01-04","SWGXX",,0.01101,,"gapFiller (moneymarket.fun)"
"2020-01-05","SWGXX",,0.01101,,"gapFiller (moneymarket.fun)"
"2020-01-06","SWGXX",,0.01099,,"moneymarket.fun"
"2020-01-07","SWGXX",,0.01099,,"moneymarket.fun"
"2020-01-08","SWGXX",,0.01097,,"moneymarket.fun"
"2020-01-09","SWGXX",,0.01097,,"moneymarket.fun"
"2020-01-10","SWGXX",,0.01096,,"moneymarket.fun"
"2020-01-11","SWGXX",,0.01096,,"gapFiller (moneymarket.fun)"
"2020-01-12","SWGXX",,0.01096,,"gapFiller (moneymarket.fun)"
"2020-01-13","SWGXX",,0.01095,,"moneymarket.fun"
"2020-01-14","SWGXX",,0.01094,,"moneymarket.fun"
"2020-01-15","SWGXX",,0.01092,,"moneymarket.fun"
"2020-01-16","SWGXX",,0.01089,,"moneymarket.fun"
"2020-01-17","SWGXX",,0.01079,,"moneymarket.fun"
"2020-01-18","SWGXX",,0.01079,,"gapFiller (moneymarket.fun)"
"2020-01-19","SWGXX",,0.01079,,"gapFiller (moneymarket.fun)"
"2020-01-20","SWGXX",,0.01079,,"gapFiller (moneymarket.fun)"
"2020-01-21","SWGXX",,0.01075,,"moneymarket.fun"
"2020-01-22","SWGXX",,0.01074,,"moneymarket.fun"
"2020-01-23","SWGXX",,0.01073,,"moneymarket.fun"
"2020-01-24","SWGXX",,0.0107,,"moneymarket.fun"
"2020-01-25","SWGXX",,0.0107,,"gapFiller (moneymarket.fun)"
"2020-01-26","SWGXX",,0.0107,,"gapFiller (moneymarket.fun)"
"2020-01-27","SWGXX",,0.01069,,"moneymarket.fun"
"2020-01-28","SWGXX",,0.01068,,"moneymarket.fun"
"2020-01-29","SWGXX",,0.01068,,"moneymarket.fun"
"2020-01-30","SWGXX",,0.01069,,"moneymarket.fun"
"2020-01-31","SWGXX",,0.0108,,"EDGAR MFP-2"
"2020-02-01","SWGXX",,0.0108,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","SWGXX",,0.0108,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","SWGXX",,0.01078,,"moneymarket.fun"
"2020-02-04","SWGXX",,0.01081,,"moneymarket.fun"
"2020-02-05","SWGXX",,0.01084,,"moneymarket.fun"
"2020-02-06","SWGXX",,0.01084,,"moneymarket.fun"
"2020-02-07","SWGXX",,0.01083,,"moneymarket.fun"
"2020-02-08","SWGXX",,0.01083,,"gapFiller (moneymarket.fun)"
"2020-02-09","SWGXX",,0.01083,,"gapFiller (moneymarket.fun)"
"2020-02-10","SWGXX",,0.01082,,"moneymarket.fun"
"2020-02-11","SWGXX",,0.01081,,"moneymarket.fun"
"2020-02-12","SWGXX",,0.0108,,"moneymarket.fun"
"2020-02-13","SWGXX",,0.01079,,"moneymarket.fun"
"2020-02-14","SWGXX",,0.01072,,"moneymarket.fun"
"2020-02-15","SWGXX",,0.01072,,"gapFiller (moneymarket.fun)"
"2020-02-16","SWGXX",,0.01072,,"gapFiller (moneymarket.fun)"
"2020-02-17","SWGXX",,0.01072,,"gapFiller (moneymarket.fun)"
"2020-02-18","SWGXX",,0.01072,,"moneymarket.fun"
"2020-02-19","SWGXX",,0.01073,,"moneymarket.fun"
"2020-02-20","SWGXX",,0.01074,,"moneymarket.fun"
"2020-02-21","SWGXX",,0.01079,,"moneymarket.fun"
"2020-02-22","SWGXX",,0.01079,,"gapFiller (moneymarket.fun)"
"2020-02-23","SWGXX",,0.01079,,"gapFiller (moneymarket.fun)"
"2020-02-24","SWGXX",,0.0108,,"moneymarket.fun"
"2020-02-25","SWGXX",,0.0108,,"moneymarket.fun"
"2020-02-26","SWGXX",,0.01079,,"moneymarket.fun"
"2020-02-27","SWGXX",,0.01078,,"moneymarket.fun"
"2020-02-28","SWGXX",,0.01078,,"moneymarket.fun"
"2020-02-29","SWGXX",,0.01078,,"gapFiller (moneymarket.fun)"
"2020-03-01","SWGXX",,0.01078,,"gapFiller (moneymarket.fun)"
"2020-03-02","SWGXX",,0.01078,,"moneymarket.fun"
"2020-03-03","SWGXX",,0.01077,,"moneymarket.fun"
"2020-03-04","SWGXX",,0.01061,,"moneymarket.fun"
"2020-03-05","SWGXX",,0.01032,,"moneymarket.fun"
