asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-01-03","SWOXX",,0.01381,,"gapFiller"
"2020-01-03","SWOXX",,0.01381,,"gapFiller"
"2020-01-03","SWOXX",,0.01381,,"gapFiller"
"2020-01-04","SWOXX",,0.01279,,"gapFiller"
"2020-01-05","SWOXX",,0.01234,,"moneymarket.fun"
"2020-01-06","SWOXX",,0.0119,,"moneymarket.fun"
"2020-01-07","SWOXX",,0.01134,,"moneymarket.fun"
"2020-01-10","SWOXX",,0.01084,,"gapFiller"
"2020-01-10","SWOXX",,0.01084,,"gapFiller"
"2020-01-10","SWOXX",,0.01084,,"gapFiller"
"2020-01-11","SWOXX",,0.00959,,"gapFiller"
"2020-01-12","SWOXX",,0.00918,,"moneymarket.fun"
"2020-01-13","SWOXX",,0.00878,,"moneymarket.fun"
"2020-01-14","SWOXX",,0.00846,,"moneymarket.fun"
"2020-01-18","SWOXX",,0.00831,,"gapFiller"
"2020-01-18","SWOXX",,0.00831,,"gapFiller"
"2020-01-18","SWOXX",,0.00831,,"gapFiller"
"2020-01-18","SWOXX",,0.00831,,"gapFiller"
"2020-01-19","SWOXX",,0.00774,,"gapFiller"
"2020-01-20","SWOXX",,0.00762,,"moneymarket.fun"
"2020-01-21","SWOXX",,0.00756,,"moneymarket.fun"
"2020-01-24","SWOXX",,0.00761,,"gapFiller"
"2020-01-24","SWOXX",,0.00761,,"gapFiller"
"2020-01-24","SWOXX",,0.00761,,"gapFiller"
"2020-01-25","SWOXX",,0.00776,,"gapFiller"
"2020-01-26","SWOXX",,0.00781,,"moneymarket.fun"
"2020-01-27","SWOXX",,0.00787,,"moneymarket.fun"
"2020-01-28","SWOXX",,0.00793,,"moneymarket.fun"
"2020-01-31","SWOXX",,0.00807,,"gapFiller"
"2020-01-31","SWOXX",,0.00807,,"gapFiller"
"2020-01-31","SWOXX",,0.00807,,"gapFiller"
"2020-02-01","SWOXX",,0.00845,,"gapFiller"
