asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-01-02","SWTXX",,0.01231,,"moneymarket.fun"
"2020-01-03","SWTXX",,0.01129,,"moneymarket.fun"
"2020-01-04","SWTXX",,0.01129,,"gapFiller (moneymarket.fun)"
"2020-01-05","SWTXX",,0.01129,,"gapFiller (moneymarket.fun)"
"2020-01-06","SWTXX",,0.01085,,"moneymarket.fun"
"2020-01-07","SWTXX",,0.0104,,"moneymarket.fun"
"2020-01-08","SWTXX",,0.00984,,"moneymarket.fun"
"2020-01-09","SWTXX",,0.00935,,"moneymarket.fun"
"2020-01-10","SWTXX",,0.00809,,"moneymarket.fun"
"2020-01-11","SWTXX",,0.00809,,"gapFiller (moneymarket.fun)"
"2020-01-12","SWTXX",,0.00809,,"gapFiller (moneymarket.fun)"
"2020-01-13","SWTXX",,0.00768,,"moneymarket.fun"
"2020-01-14","SWTXX",,0.00729,,"moneymarket.fun"
"2020-01-15","SWTXX",,0.00696,,"moneymarket.fun"
"2020-01-16","SWTXX",,0.00682,,"moneymarket.fun"
"2020-01-17","SWTXX",,0.00625,,"moneymarket.fun"
"2020-01-18","SWTXX",,0.00625,,"gapFiller (moneymarket.fun)"
"2020-01-19","SWTXX",,0.00625,,"gapFiller (moneymarket.fun)"
"2020-01-20","SWTXX",,0.00625,,"gapFiller (moneymarket.fun)"
"2020-01-21","SWTXX",,0.00613,,"moneymarket.fun"
"2020-01-22","SWTXX",,0.00606,,"moneymarket.fun"
"2020-01-23","SWTXX",,0.00611,,"moneymarket.fun"
"2020-01-24","SWTXX",,0.00626,,"moneymarket.fun"
"2020-01-25","SWTXX",,0.00626,,"gapFiller (moneymarket.fun)"
"2020-01-26","SWTXX",,0.00626,,"gapFiller (moneymarket.fun)"
"2020-01-27","SWTXX",,0.00631,,"moneymarket.fun"
"2020-01-28","SWTXX",,0.00637,,"moneymarket.fun"
"2020-01-29","SWTXX",,0.00644,,"moneymarket.fun"
"2020-01-30","SWTXX",,0.00657,,"moneymarket.fun"
"2020-01-31","SWTXX",,0.007,,"EDGAR MFP-2"
"2020-02-01","SWTXX",,0.007,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","SWTXX",,0.007,,"gapFiller (EDGAR MFP-2)"
