asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-01-02","SWYXX",,0.01293,,"moneymarket.fun"
"2020-01-03","SWYXX",,0.01166,,"moneymarket.fun"
"2020-01-04","SWYXX",,0.01166,,"gapFiller (moneymarket.fun)"
"2020-01-05","SWYXX",,0.01166,,"gapFiller (moneymarket.fun)"
"2020-01-06","SWYXX",,0.01105,,"moneymarket.fun"
"2020-01-07","SWYXX",,0.01042,,"moneymarket.fun"
"2020-01-08","SWYXX",,0.00962,,"moneymarket.fun"
"2020-01-09","SWYXX",,0.00916,,"moneymarket.fun"
"2020-01-10","SWYXX",,0.00784,,"moneymarket.fun"
"2020-01-11","SWYXX",,0.00784,,"gapFiller (moneymarket.fun)"
"2020-01-12","SWYXX",,0.00784,,"gapFiller (moneymarket.fun)"
"2020-01-13","SWYXX",,0.00742,,"moneymarket.fun"
"2020-01-14","SWYXX",,0.00702,,"moneymarket.fun"
"2020-01-15","SWYXX",,0.00671,,"moneymarket.fun"
"2020-01-16","SWYXX",,0.00653,,"moneymarket.fun"
"2020-01-17","SWYXX",,0.0059,,"moneymarket.fun"
"2020-01-18","SWYXX",,0.0059,,"gapFiller (moneymarket.fun)"
"2020-01-19","SWYXX",,0.0059,,"gapFiller (moneymarket.fun)"
"2020-01-20","SWYXX",,0.0059,,"gapFiller (moneymarket.fun)"
"2020-01-21","SWYXX",,0.00576,,"moneymarket.fun"
"2020-01-22","SWYXX",,0.00571,,"moneymarket.fun"
"2020-01-23","SWYXX",,0.00577,,"moneymarket.fun"
"2020-01-24","SWYXX",,0.00592,,"moneymarket.fun"
"2020-01-25","SWYXX",,0.00592,,"gapFiller (moneymarket.fun)"
"2020-01-26","SWYXX",,0.00592,,"gapFiller (moneymarket.fun)"
"2020-01-27","SWYXX",,0.00598,,"moneymarket.fun"
"2020-01-28","SWYXX",,0.00605,,"moneymarket.fun"
"2020-01-29","SWYXX",,0.00613,,"moneymarket.fun"
"2020-01-30","SWYXX",,0.00627,,"moneymarket.fun"
"2020-01-31","SWYXX",,0.0067,,"EDGAR MFP-2"
"2020-02-01","SWYXX",,0.0067,,"gapFiller (EDGAR MFP-2)"
"2020-02-02","SWYXX",,0.0067,,"gapFiller (EDGAR MFP-2)"
"2020-02-03","SWYXX",,0.00685,,"moneymarket.fun"
"2020-02-04","SWYXX",,0.00694,,"moneymarket.fun"
"2020-02-05","SWYXX",,0.00704,,"moneymarket.fun"
"2020-02-06","SWYXX",,0.00704,,"moneymarket.fun"
"2020-02-07","SWYXX",,0.00722,,"moneymarket.fun"
"2020-02-08","SWYXX",,0.00722,,"gapFiller (moneymarket.fun)"
"2020-02-09","SWYXX",,0.00722,,"gapFiller (moneymarket.fun)"
"2020-02-10","SWYXX",,0.00727,,"moneymarket.fun"
"2020-02-11","SWYXX",,0.00735,,"moneymarket.fun"
"2020-02-12","SWYXX",,0.00743,,"moneymarket.fun"
"2020-02-13","SWYXX",,0.00755,,"moneymarket.fun"
"2020-02-14","SWYXX",,0.0081,,"moneymarket.fun"
"2020-02-15","SWYXX",,0.0081,,"gapFiller (moneymarket.fun)"
"2020-02-16","SWYXX",,0.0081,,"gapFiller (moneymarket.fun)"
"2020-02-17","SWYXX",,0.0081,,"gapFiller (moneymarket.fun)"
"2020-02-18","SWYXX",,0.00823,,"moneymarket.fun"
"2020-02-19","SWYXX",,0.00833,,"moneymarket.fun"
"2020-02-20","SWYXX",,0.00838,,"moneymarket.fun"
"2020-02-21","SWYXX",,0.00854,,"moneymarket.fun"
"2020-02-22","SWYXX",,0.00854,,"gapFiller (moneymarket.fun)"
"2020-02-23","SWYXX",,0.00854,,"gapFiller (moneymarket.fun)"
"2020-02-24","SWYXX",,0.00859,,"moneymarket.fun"
"2020-02-25","SWYXX",,0.00863,,"moneymarket.fun"
"2020-02-26","SWYXX",,0.00867,,"moneymarket.fun"
"2020-02-27","SWYXX",,0.00865,,"moneymarket.fun"
"2020-02-28","SWYXX",,0.00863,,"moneymarket.fun"
"2020-02-29","SWYXX",,0.00863,,"gapFiller (moneymarket.fun)"
"2020-03-01","SWYXX",,0.00863,,"gapFiller (moneymarket.fun)"
"2020-03-02","SWYXX",,0.00863,,"moneymarket.fun"
"2020-03-03","SWYXX",,0.00863,,"moneymarket.fun"
"2020-03-04","SWYXX",,0.00863,,"moneymarket.fun"
"2020-03-05","SWYXX",,0.00871,,"moneymarket.fun"
"2020-03-06","SWYXX",,0.00894,,"moneymarket.fun"
"2020-03-07","SWYXX",,0.00894,,"gapFiller (moneymarket.fun)"
"2020-03-08","SWYXX",,0.00894,,"gapFiller (moneymarket.fun)"
"2020-03-09","SWYXX",,0.00901,,"moneymarket.fun"
"2020-03-10","SWYXX",,0.00908,,"moneymarket.fun"
"2020-03-11","SWYXX",,0.00914,,"moneymarket.fun"
"2020-03-12","SWYXX",,0.00918,,"moneymarket.fun"
"2020-03-13","SWYXX",,0.00927,,"moneymarket.fun"
"2020-03-14","SWYXX",,0.00927,,"gapFiller (moneymarket.fun)"
"2020-03-15","SWYXX",,0.00927,,"gapFiller (moneymarket.fun)"
"2020-03-16","SWYXX",,0.00932,,"moneymarket.fun"
"2020-03-17","SWYXX",,0.00954,,"moneymarket.fun"
"2020-03-18","SWYXX",,0.01112,,"moneymarket.fun"
"2020-03-19","SWYXX",,0.01112,,"moneymarket.fun"
"2020-03-20","SWYXX",,0.02989,,"moneymarket.fun"
"2020-03-21","SWYXX",,0.02989,,"gapFiller (moneymarket.fun)"
"2020-03-22","SWYXX",,0.02989,,"gapFiller (moneymarket.fun)"
"2020-03-23","SWYXX",,0.03415,,"moneymarket.fun"
"2020-03-24","SWYXX",,0.03415,,"moneymarket.fun"
"2020-03-25","SWYXX",,0.03815,,"moneymarket.fun"
"2020-03-26","SWYXX",,0.03815,,"moneymarket.fun"
"2020-03-27","SWYXX",,0.03088,,"moneymarket.fun"
"2020-03-28","SWYXX",,0.03088,,"gapFiller (moneymarket.fun)"
"2020-03-29","SWYXX",,0.03088,,"gapFiller (moneymarket.fun)"
"2020-03-30","SWYXX",,0.03088,,"moneymarket.fun"
"2020-03-31","SWYXX",,0.0267,,"EDGAR MFP-2"
"2020-04-01","SWYXX",,0.02442,,"moneymarket.fun"
"2020-04-02","SWYXX",,0.02172,,"moneymarket.fun"
"2020-04-03","SWYXX",,0.01586,,"moneymarket.fun"
"2020-04-04","SWYXX",,0.01586,,"gapFiller (moneymarket.fun)"
"2020-04-05","SWYXX",,0.01586,,"gapFiller (moneymarket.fun)"
"2020-04-06","SWYXX",,0.0138,,"moneymarket.fun"
"2020-04-07","SWYXX",,0.01184,,"moneymarket.fun"
"2020-04-08","SWYXX",,0.00996,,"moneymarket.fun"
"2020-04-09","SWYXX",,0.00608,,"moneymarket.fun"
"2020-04-10","SWYXX",,0.00608,,"gapFiller (moneymarket.fun)"
"2020-04-11","SWYXX",,0.00608,,"gapFiller (moneymarket.fun)"
