asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2025-05-22","WSTXX",,0.041968,,"moneymarket.fun"
"2025-05-23","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-05-24","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-05-25","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-05-26","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-05-27","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-05-28","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-05-29","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-05-30","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-05-31","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-06-01","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-06-02","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-06-03","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-06-04","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-06-05","WSTXX",,0.041968,,"gapFiller (moneymarket.fun)"
"2025-06-06","WSTXX",,0.04181,0.04194,"BlackRock"
