asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-10-15","BASOX",,0.00306,0.0032,"BlackRock"
"2020-10-15","BBSOX",,0.00599,0.00612,"BlackRock"
"2025-12-08","BCHXX",,0.03748,0.03787,"BlackRock"
"2025-12-08","BEMXX",,0.03798,0.03837,"BlackRock"
"2025-12-08","BFBXX",,0.02985,0.03019,"BlackRock"
"2025-12-08","BFCXX",,0.03765,0.038,"BlackRock"
"2025-12-08","BFFXX",,0.03319,0.03353,"BlackRock"
"2025-12-08","BFMXX",,0.03266,0.03303,"BlackRock"
"2025-12-08","BFRXX",,0.03415,0.03449,"BlackRock"
"2025-12-08","BFTXX",,0.03666,0.03703,"BlackRock"
"2020-10-15","BISOX",,0.00568,0.0058,"BlackRock"
"2025-12-08","BISXX",,0.041,0.04092,"BlackRock"
"2025-12-08","BITXX",,0.03664,0.03704,"BlackRock"
"2025-12-08","BLFXX",,0.03715,0.03749,"BlackRock"
"2025-12-08","BMCXX",,0.02803,0.02826,"BlackRock"
"2025-12-08","BMMXX",,0.03903,0.03926,"BlackRock"
"2025-12-08","BPTXX",,0.03299,0.03339,"BlackRock"
"2025-12-08","BRIXX",,0.0386,0.03881,"BlackRock"
"2025-12-08","BRPXX",,0.03307,0.0334,"BlackRock"
"2025-12-08","BSLXX",,0.02968,0.03007,"BlackRock"
"2025-12-08","BTAXX",,0.03698,0.03737,"BlackRock"
"2025-12-08","BTCXX",,0.03261,0.03301,"BlackRock"
"2025-12-08","BTFXX",,0.03361,0.03401,"BlackRock"
"2025-12-08","BTRXX",,0.03399,0.03439,"BlackRock"
"2025-12-08","BUCXX",,0.03711,0.03751,"BlackRock"
"2025-12-08","BUPXX",,0.03815,0.03849,"BlackRock"
"2025-12-08","CPFXX",,0.034997,,"deep"
"2025-12-08","DGLXX",,0.0376,0.038,"BlackRock"
"2025-12-08","DMMKI",,0.03684,0.03719,"BlackRock"
"2025-12-08","EDUXX",,0.03766,0.03803,"BlackRock"
"2025-12-08","EVEXX",,0.03766,0.03803,"BlackRock"
"2025-12-08","FABXX",0.0171,0.016,0.0192,"Fidelity.com"
"2025-12-08","FAUXX",0.0183,0.017,0.0207,"Fidelity.com"
"2025-12-08","FAWXX",0.0189,0.0179,0.0217,"Fidelity.com"
"2025-12-08","FAYXX",0.0186,0.0172,0.0202,"Fidelity.com"
"2025-12-08","FCEXX",0.0364,0.0364,0.0367,"Fidelity.com"
"2025-12-08","FCGXX",0.0355,0.0356,0.0358,"Fidelity.com"
"2025-12-08","FCIXX",0.037,0.037,0.0373,"Fidelity.com"
"2025-12-08","FCOXX",0.036,0.036,0.0363,"Fidelity.com"
"2025-12-08","FCSXX",0.0354,0.0354,0.0357,"Fidelity.com"
"2025-12-08","FCVXX",0.0365,0.0366,0.0368,"Fidelity.com"
"2025-12-08","FDEXX",0.0157,0.0157,0.0194,"Fidelity.com"
"2025-12-08","FDLXX",0.0352,0.0352,0.0355,"Fidelity.com"
"2025-12-08","FDRXX",0.0363,0.0364,0.0366,"Fidelity.com"
"2025-12-08","FDUXX",0.0327,0.0327,0.033,"Fidelity.com"
"2025-12-08","FERXX",0.0132,0.0132,0.0169,"Fidelity.com"
"2025-12-08","FETXX",0.0189,0.0179,0.0219,"Fidelity.com"
"2025-12-08","FEXXX",0.0199,0.0189,0.0229,"Fidelity.com"
"2025-12-08","FFTXX",,0.0217,,"deep"
"2025-12-08","FGEXX",0.0375,0.0376,0.0378,"Fidelity.com"
"2025-12-08","FGTXX",,0.038396,,"deep"
"2025-12-08","FIGXX",0.038,0.0381,0.0383,"Fidelity.com"
"2025-12-08","FISXX",0.0379,0.0379,0.0382,"Fidelity.com"
"2025-12-08","FMAXX",0.0203,0.0191,0.0229,"Fidelity.com"
"2025-12-08","FMJXX",,0.039508,,"deep"
"2025-12-08","FMOXX",0.0185,0.0185,0.0222,"Fidelity.com"
"2025-12-08","FMPXX",0.0385,0.0385,0.0388,"Fidelity.com"
"2025-12-08","FMSXX",0.0194,0.0181,0.0219,"Fidelity.com"
"2025-12-08","FMYXX",0.038,0.038,0.0383,"Fidelity.com"
"2025-12-08","FNKXX",0.021,0.02,0.0239,"Fidelity.com"
"2025-12-08","FNSXX",0.0389,0.0389,0.0392,"Fidelity.com"
"2025-12-08","FRBXX",0.0383,0.0383,0.0386,"Fidelity.com"
"2025-12-08","FRGXX",0.0384,0.0385,0.0387,"Fidelity.com"
"2025-12-08","FRSXX",0.0379,0.0379,0.0384,"Fidelity.com"
"2025-12-08","FSBXX",0.0192,0.0181,0.0214,"Fidelity.com"
"2025-12-08","FSIXX",0.0375,0.0375,0.038,"Fidelity.com"
"2025-12-08","FSJXX",0.0198,0.0184,0.0214,"Fidelity.com"
"2025-12-08","FSKXX",0.0207,0.0193,0.0224,"Fidelity.com"
"2025-12-08","FSNXX",0.02,0.0191,0.0229,"Fidelity.com"
"2025-12-08","FSPXX",0.0182,0.0172,0.0204,"Fidelity.com"
"2025-12-08","FSRXX",0.0302,0.0302,0.0305,"Fidelity.com"
"2025-12-08","FSXXX",0.0209,0.02,0.0239,"Fidelity.com"
"2025-12-08","FTCXX",0.0214,0.0204,0.0244,"Fidelity.com"
"2025-12-08","FTEXX",0.0201,0.0194,0.023,"Fidelity.com"
"2025-12-08","FTFXX",,0.0222,,"deep"
"2025-12-08","FTIXX",,0.037709,,"deep"
"2025-12-08","FTUXX",0.0374,0.0374,0.0377,"Fidelity.com"
"2025-12-08","FTVXX",0.0329,0.0329,0.0332,"Fidelity.com"
"2025-12-08","FTXXX",,0.02449,,"deep"
"2025-12-08","FTYXX",0.037,0.037,0.0375,"Fidelity.com"
"2025-12-08","FYHXX",0.0373,0.0374,0.038,"Fidelity.com"
"2025-12-08","FZAXX",0.0303,0.0303,0.0306,"Fidelity.com"
"2025-12-08","FZCXX",0.0366,0.0366,0.0369,"Fidelity.com"
"2025-12-08","FZDXX",0.0373,0.0373,0.0376,"Fidelity.com"
"2025-12-08","FZEXX",0.0197,0.0197,0.0234,"Fidelity.com"
"2025-12-08","FZFXX",0.0355,0.0355,0.0358,"Fidelity.com"
"2025-12-08","FZGXX",0.0328,0.0328,0.0331,"Fidelity.com"
"2025-12-08","GABXX",,0.038574,,"deep"
"2025-11-28","GMMF",,0.038,,"EDGAR MFP-3"
"2025-12-08","GOFXX",,0.0388,,"deep"
"2025-12-08","GOIXX",,0.0383,,"deep"
"2025-12-08","GOTXX",,0.037528,,"deep"
"2025-12-08","GOVXX",,0.0388,,"deep"
"2025-12-08","GPAXX",,0.03817,0.03847,"BlackRock"
"2025-12-08","GPCXX",,0.03962,0.03979,"BlackRock"
"2025-12-08","HTSXX",,0.033781,,"deep"
"2025-12-08","HUAXX",,0.03815,0.03849,"BlackRock"
"2025-12-08","MCBXX",,0.02821,0.02849,"BlackRock"
"2025-12-08","MCSXX",,0.01833,0.02314,"BlackRock"
"2025-11-28","MMKT",,0.0392,,"EDGAR MFP-3"
"2025-12-08","MNRSV",,0.03555,0.03588,"BlackRock"
"2025-12-08","MSAXX",,0.03571,0.03599,"BlackRock"
"2025-12-08","MSIXX",,0.03569,0.03599,"BlackRock"
"2025-12-08","MSUXX",,0.037449,,"deep"
"2025-12-08","PCOXX",,0.0396,,"deep"
"2025-12-08","PGYXX",,0.0012,,"deep"
"2025-12-08","PINXX",,0.03624,0.03647,"BlackRock"
"2025-11-28","PMMF",,0.0397,,"EDGAR MFP-3"
"2025-12-08","PNIXX",,0.03903,0.03926,"BlackRock"
"2025-12-08","PNPXX",,0.03629,0.03652,"BlackRock"
"2025-12-08","POIXX",,0.0398,,"deep"
"2025-12-08","PSFXX",,0.03816,0.0385,"BlackRock"
"2024-07-19","PVOXX",,0.0532,,"EDGAR MFP-3"
"2025-11-28","SBIL",,0.0387,,"EDGAR MFP-3"
"2025-12-08","SBIXX",,0.03815,0.03849,"BlackRock"
"2025-12-08","SCAXX",,0.0177,,"schwab.com"
"2025-12-08","SCOXX",,0.0379,,"schwab.com"
"2025-12-08","SCTXX",,0.0213,,"schwab.com"
"2025-12-08","SGUXX",,0.0381,,"schwab.com"
"2025-12-08","SGVT",,0.0368,,"schwab.com"
"2025-12-08","SIGXX",,0.03766,0.03803,"BlackRock"
"2025-12-08","SNAXX",,0.0392,,"schwab.com"
"2025-12-08","SNOXX",,0.0364,,"schwab.com"
"2025-12-08","SNSXX",,0.0361,,"schwab.com"
"2025-12-08","SNVXX",,0.0366,,"schwab.com"
"2025-12-08","SNYXX",,0.0206,,"schwab.com"
"2025-12-08","SPAXX",0.0356,0.0356,0.0359,"Fidelity.com"
"2025-12-08","SPRXX",0.0361,0.0361,0.0364,"Fidelity.com"
"2025-12-08","SUTXX",,0.0376,,"schwab.com"
"2025-12-08","SWGXX",,0.0356,,"schwab.com"
"2025-12-08","SWKXX",,0.0162,,"schwab.com"
"2025-12-08","SWOXX",,0.0216,,"schwab.com"
"2025-12-08","SWTXX",,0.0201,,"schwab.com"
"2025-12-08","SWVXX",,0.0377,,"schwab.com"
"2025-12-08","SWWXX",,0.0198,,"schwab.com"
"2025-12-08","SWYXX",,0.0191,,"schwab.com"
"2025-12-08","TCDXX",,0.03728,0.03744,"BlackRock"
"2025-12-08","TCPXX",,0.03962,0.03979,"BlackRock"
"2025-12-08","TDDXX",,0.03565,0.03599,"BlackRock"
"2025-12-08","TFDXX",,0.03815,0.03849,"BlackRock"
"2025-12-08","TFEXX",,0.03548,0.03587,"BlackRock"
"2025-12-08","TFFXX",,0.03766,0.03803,"BlackRock"
"2025-12-08","TIGXX",,0.03815,0.03849,"BlackRock"
"2025-12-08","TMCXX",,0.03962,0.03979,"BlackRock"
"2025-12-08","TOIXX",,0.0382,,"deep"
"2025-12-08","TPCXX",,0.03912,0.03929,"BlackRock"
"2025-12-08","TSDXX",,0.03517,0.03554,"BlackRock"
"2025-12-08","TSLXX",,0.02931,0.02971,"BlackRock"
"2025-12-08","TSTXX",,0.03798,0.03837,"BlackRock"
"2025-12-08","TTDXX",,0.03521,0.03561,"BlackRock"
"2025-12-08","TTTXX",,0.03761,0.03801,"BlackRock"
"2025-12-08","USDXX",,0.03867,0.03903,"BlackRock"
"2025-12-08","UTIXX",,0.037397,,"deep"
"2025-12-08","VCTXX",0.017517,0.0169,0.0205,"Vanguard.com Inst Price History"
"2025-12-08","VMFXX",0.038417,0.0385,0.0388,"Vanguard.com Inst Price History"
"2025-12-08","VMRXX",0.038539,0.0386,0.0389,"Vanguard.com Inst Price History"
"2025-12-08","VMSXX",0.020805,0.0207,0.0249,"Vanguard.com Inst Price History"
"2025-12-08","VUSXX",0.038488,0.0386,0.0389,"Vanguard.com Inst Price History"
"2025-12-08","VYFXX",0.020428,0.0206,0.0247,"Vanguard.com Inst Price History"
"2025-12-08","WMPXX",,0.039797,,"deep"
"2025-12-08","WOTXX",,0.037371,,"deep"
"2025-12-08","WSTXX",,0.03815,0.03849,"BlackRock"
"2025-12-08","XTSLA",,0.0389,0.03911,"BlackRock"
