asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2024-04-30","FSKXX",,0.0342,,"cnbc"
"2024-04-30","FSNXX",,0.0338,,"cnbc"
"2024-04-30","FSPXX",,0.0313,,"cnbc"
"2024-04-30","FSRXX",,0.0442,,"cnbc"
"2024-04-30","FSXXX",,0.0354,,"cnbc"
"2024-04-30","FTCXX",,0.0359,,"cnbc"
"2024-04-30","FTEXX",,0.0348,,"cnbc"
"2024-04-30","FTFXX",,0.0359,,"cnbc"
"2024-04-30","FTUXX",,0.0514,,"cnbc"
"2024-04-30","FTVXX",,0.0469,,"cnbc"
"2024-04-30","FTYXX",,0.0514,,"cnbc"
"2024-04-30","FZAXX",,0.0443,,"cnbc"
"2024-04-30","FZCXX",,0.0506,,"cnbc"
"2024-04-30","FZDXX",,0.0515,,"cnbc"
"2024-04-30","FZEXX",,0.035,,"cnbc"
"2024-04-30","FZFXX",,0.0495,,"cnbc"
"2024-04-30","FZGXX",,0.0468,,"cnbc"
"2024-04-30","GOFXX",,0.0522,,"cnbc"
"2024-05-01","FSKXX",,0.0339,,"cnbc"
"2024-05-01","FSNXX",,0.0337,,"cnbc"
"2024-05-01","FSPXX",,0.0312,,"cnbc"
"2024-05-01","FSRXX",,0.0442,,"cnbc"
"2024-05-01","FSXXX",,0.035,,"cnbc"
"2024-05-01","FTCXX",,0.0355,,"cnbc"
"2024-05-01","FTEXX",,0.0344,,"cnbc"
"2024-05-01","FTFXX",,0.0359,,"cnbc"
"2024-05-01","FTUXX",,0.0514,,"cnbc"
"2024-05-01","FTVXX",,0.0469,,"cnbc"
"2024-05-01","FTYXX",,0.0514,,"cnbc"
"2024-05-01","FZAXX",,0.0443,,"cnbc"
"2024-05-01","FZCXX",,0.0506,,"cnbc"
"2024-05-01","FZDXX",,0.0515,,"cnbc"
"2024-05-01","FZEXX",,0.0346,,"cnbc"
"2024-05-01","FZFXX",,0.0495,,"cnbc"
"2024-05-01","FZGXX",,0.0468,,"cnbc"
"2024-05-01","GOFXX",,0.0522,,"cnbc"
"2024-05-02","FSKXX",,0.0339,,"cnbc"
"2024-05-02","FSNXX",,0.0337,,"cnbc"
"2024-05-02","FSPXX",,0.0312,,"cnbc"
"2024-05-02","FSRXX",,0.0442,,"cnbc"
"2024-05-02","FSXXX",,0.0349,,"cnbc"
"2024-05-02","FTCXX",,0.0354,,"cnbc"
"2024-05-02","FTEXX",,0.0343,,"cnbc"
"2024-05-02","FTFXX",,0.0354,,"cnbc"
"2024-05-02","FTUXX",,0.0513,,"cnbc"
"2024-05-02","FTVXX",,0.0468,,"cnbc"
"2024-05-02","FTYXX",,0.0513,,"cnbc"
"2024-05-02","FZAXX",,0.0443,,"cnbc"
"2024-05-02","FZCXX",,0.0506,,"cnbc"
"2024-05-02","FZDXX",,0.0515,,"cnbc"
"2024-05-02","FZEXX",,0.0345,,"cnbc"
"2024-05-02","FZFXX",,0.0494,,"cnbc"
"2024-05-02","FZGXX",,0.0468,,"cnbc"
"2024-05-02","GOFXX",,0.0522,,"cnbc"
"2024-05-03","FSKXX",,0.0338,,"cnbc"
"2024-05-03","FSNXX",,0.0337,,"cnbc"
"2024-05-03","FSPXX",,0.0312,,"cnbc"
"2024-05-03","FSRXX",,0.0441,,"cnbc"
"2024-05-03","FSXXX",,0.0349,,"cnbc"
"2024-05-03","FTCXX",,0.0354,,"cnbc"
"2024-05-03","FTEXX",,0.0341,,"cnbc"
"2024-05-03","FTFXX",,0.0353,,"cnbc"
"2024-05-03","FTUXX",,0.0513,,"cnbc"
"2024-05-03","FTVXX",,0.0468,,"cnbc"
"2024-05-03","FTYXX",,0.0513,,"cnbc"
"2024-05-03","FZAXX",,0.0443,,"cnbc"
"2024-05-03","FZCXX",,0.0506,,"cnbc"
"2024-05-03","FZDXX",,0.0514,,"cnbc"
"2024-05-03","FZEXX",,0.0344,,"cnbc"
"2024-05-03","FZFXX",,0.0494,,"cnbc"
"2024-05-03","FZGXX",,0.0468,,"cnbc"
"2024-05-03","GOFXX",,0.0522,,"cnbc"
"2024-05-06","FSKXX",,0.0335,,"cnbc"
"2024-05-06","FSNXX",,0.0336,,"cnbc"
"2024-05-06","FSPXX",,0.031,,"cnbc"
"2024-05-06","FSRXX",,0.0441,,"cnbc"
"2024-05-06","FSXXX",,0.0345,,"cnbc"
"2024-05-06","FTCXX",,0.035,,"cnbc"
"2024-05-06","FTEXX",,0.0338,,"cnbc"
"2024-05-06","FTFXX",,0.0353,,"cnbc"
"2024-05-06","FTUXX",,0.0513,,"cnbc"
"2024-05-06","FTVXX",,0.0468,,"cnbc"
"2024-05-06","FTYXX",,0.0513,,"cnbc"
"2024-05-06","FZAXX",,0.0443,,"cnbc"
"2024-05-06","FZCXX",,0.0505,,"cnbc"
"2024-05-06","FZDXX",,0.0514,,"cnbc"
"2024-05-06","FZEXX",,0.034,,"cnbc"
"2024-05-06","FZFXX",,0.0494,,"cnbc"
"2024-05-06","FZGXX",,0.0468,,"cnbc"
"2024-05-06","GOFXX",,0.0522,,"cnbc"
"2024-05-07","FSKXX",,0.0332,,"cnbc"
"2024-05-07","FSNXX",,0.0334,,"cnbc"
"2024-05-07","FSPXX",,0.0307,,"cnbc"
"2024-05-07","FSRXX",,0.0441,,"cnbc"
"2024-05-07","FSXXX",,0.0342,,"cnbc"
"2024-05-07","FTCXX",,0.0347,,"cnbc"
"2024-05-07","FTEXX",,0.0336,,"cnbc"
"2024-05-07","FTFXX",,0.0353,,"cnbc"
"2024-05-07","FTUXX",,0.0512,,"cnbc"
"2024-05-07","FTVXX",,0.0467,,"cnbc"
"2024-05-07","FTYXX",,0.0512,,"cnbc"
"2024-05-07","FZAXX",,0.0443,,"cnbc"
"2024-05-07","FZCXX",,0.0505,,"cnbc"
"2024-05-07","FZDXX",,0.0513,,"cnbc"
"2024-05-07","FZEXX",,0.0338,,"cnbc"
"2024-05-07","FZFXX",,0.0494,,"cnbc"
"2024-05-07","FZGXX",,0.0467,,"cnbc"
"2024-05-07","GOFXX",,0.0522,,"cnbc"
"2024-05-08","FSKXX",,0.0328,,"cnbc"
"2024-05-08","FSNXX",,0.0328,,"cnbc"
"2024-05-08","FSPXX",,0.0302,,"cnbc"
"2024-05-08","FSRXX",,0.0441,,"cnbc"
"2024-05-08","FSXXX",,0.0338,,"cnbc"
"2024-05-08","FTCXX",,0.0342,,"cnbc"
"2024-05-08","FTEXX",,0.0333,,"cnbc"
"2024-05-08","FTFXX",,0.0335,,"cnbc"
"2024-05-08","FTUXX",,0.0512,,"cnbc"
