asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield
"2025-06-30","BISXX",,0.0447,
"2025-06-30","PGYXX",,0.043,
"2025-06-30","MMKT",,0.0418,
"2025-06-30","SGVT",,0.0396,
"2025-07-03","PCOXX",,0.043,
"2025-07-03","GOFXX",,0.0426,
"2025-07-03","GOVXX",,0.0426,
"2025-07-03","GOIXX",,0.0421,
"2025-07-03","TOIXX",,0.0417,
"2025-07-07","POIXX",,0.0433,
"2025-07-07","SNAXX",,0.04307,
"2025-07-07","FMJXX",,0.042756,
"2025-07-07","USDXX",,0.042607,
"2025-07-07","FRGXX",,0.0426,
"2025-07-07","GABXX",,0.042452,
"2025-07-07","FIGXX",,0.0422,
"2025-07-07","FRBXX",,0.0422,
"2025-07-07","FRSXX",,0.0419,
"2025-07-07","FISXX",,0.0418,
"2025-07-07","SCOXX",,0.041795,
"2025-07-07","VUSXX",,0.04174,
"2025-07-07","FGEXX",,0.0417,
"2025-07-07","SWVXX",,0.04157,
"2025-07-07","FSIXX",,0.0415,
"2025-07-07","FZDXX",,0.0414,
"2025-07-07","FTUXX",,0.0413,
"2025-07-07","FTIXX",,0.041071,
"2025-07-07","WOTXX",,0.041058,
"2025-07-07","FTYXX",,0.041,
"2025-07-07","FYHXX",,0.041,
"2025-07-07","FCVXX",,0.0407,
"2025-07-07","FCEXX",,0.0403,
"2025-07-07","SNOXX",,0.040295,
"2025-07-07","SPRXX",,0.0402,
"2025-07-07","FCGXX",,0.0397,
"2025-07-07","FCSXX",,0.0393,
"2025-07-07","CPFXX",,0.039048,
"2025-07-07","FTVXX",,0.0368,
"2025-07-07","SCTXX",,0.020423,
"2025-07-07","SWOXX",,0.019853,
"2025-07-07","SWWXX",,0.018922,
"2025-07-07","SWTXX",,0.018353,
"2025-07-07","VMSXX",,0.018108,
"2025-07-07","FTCXX",,0.0181,
"2025-07-07","FSXXX",,0.0176,
"2025-07-07","FNKXX",,0.0176,
"2025-07-07","FMAXX",,0.0176,
"2025-07-07","VYFXX",,0.017425,
"2025-07-07","FTEXX",,0.0172,
"2025-07-07","FZEXX",,0.0171,
"2025-07-07","FSBXX",,0.0169,
"2025-07-07","FSNXX",,0.0167,
"2025-07-07","FTFXX",,0.0166,
"2025-07-07","FMSXX",,0.0166,
"2025-07-07","FEXXX",,0.0166,
"2025-07-07","FFTXX",,0.0161,
"2025-07-07","FSPXX",,0.016,
"2025-07-07","FMOXX",,0.0159,
"2025-07-07","FETXX",,0.0156,
"2025-07-07","FAUXX",,0.0155,
"2025-07-07","FAWXX",,0.0155,
"2025-07-07","FABXX",,0.0148,
"2025-07-07","FDEXX",,0.0131,
"2025-07-07","FERXX",,0.0106,
